Datetime,017271-PNL01 LUNG KWONG HSE ^A^ BD A-AMP
24-Jun-23 (Sat) 00:00:00,10.64
24-Jun-23 (Sat) 00:30:00,8.77
24-Jun-23 (Sat) 01:00:00,7.22
24-Jun-23 (Sat) 01:30:00,7.35
24-Jun-23 (Sat) 02:00:00,7.45
24-Jun-23 (Sat) 02:30:00,7.9
24-Jun-23 (Sat) 03:00:00,8.67
24-Jun-23 (Sat) 03:30:00,7.66
24-Jun-23 (Sat) 04:00:00,6.94
24-Jun-23 (Sat) 04:30:00,9.99
24-Jun-23 (Sat) 05:00:00,9.03
24-Jun-23 (Sat) 05:30:00,10.99
24-Jun-23 (Sat) 06:00:00,7.1
24-Jun-23 (Sat) 06:30:00,6.82
24-Jun-23 (Sat) 07:00:00,19.33
24-Jun-23 (Sat) 07:30:00,16.25
24-Jun-23 (Sat) 08:00:00,26.22
24-Jun-23 (Sat) 08:30:00,34.44
24-Jun-23 (Sat) 09:00:00,34.36
24-Jun-23 (Sat) 09:30:00,29.6
24-Jun-23 (Sat) 10:00:00,38.0
24-Jun-23 (Sat) 10:30:00,44.39
24-Jun-23 (Sat) 11:00:00,46.69
24-Jun-23 (Sat) 11:30:00,45.88
24-Jun-23 (Sat) 12:00:00,36.38
24-Jun-23 (Sat) 12:30:00,41.32
24-Jun-23 (Sat) 13:00:00,37.61
24-Jun-23 (Sat) 13:30:00,34.3
24-Jun-23 (Sat) 14:00:00,35.57
24-Jun-23 (Sat) 14:30:00,35.22
24-Jun-23 (Sat) 15:00:00,36.88
24-Jun-23 (Sat) 15:30:00,37.31
24-Jun-23 (Sat) 16:00:00,38.04
24-Jun-23 (Sat) 16:30:00,34.2
24-Jun-23 (Sat) 17:00:00,32.36
24-Jun-23 (Sat) 17:30:00,30.61
24-Jun-23 (Sat) 18:00:00,29.5
24-Jun-23 (Sat) 18:30:00,33.59
24-Jun-23 (Sat) 19:00:00,36.19
24-Jun-23 (Sat) 19:30:00,33.17
24-Jun-23 (Sat) 20:00:00,35.75
24-Jun-23 (Sat) 20:30:00,32.93
24-Jun-23 (Sat) 21:00:00,22.81
24-Jun-23 (Sat) 21:30:00,14.08
24-Jun-23 (Sat) 22:00:00,8.53
24-Jun-23 (Sat) 22:30:00,10.3
24-Jun-23 (Sat) 23:00:00,6.23
24-Jun-23 (Sat) 23:30:00,9.51
25-Jun-23 (Sun) 00:00:00,7.89
25-Jun-23 (Sun) 00:30:00,8.13
25-Jun-23 (Sun) 01:00:00,7.39
25-Jun-23 (Sun) 01:30:00,7.95
25-Jun-23 (Sun) 02:00:00,7.68
25-Jun-23 (Sun) 02:30:00,8.33
25-Jun-23 (Sun) 03:00:00,7.74
25-Jun-23 (Sun) 03:30:00,6.53
25-Jun-23 (Sun) 04:00:00,8.67
25-Jun-23 (Sun) 04:30:00,10.28
25-Jun-23 (Sun) 05:00:00,9.74
25-Jun-23 (Sun) 05:30:00,9.7
25-Jun-23 (Sun) 06:00:00,12.97
25-Jun-23 (Sun) 06:30:00,5.72
25-Jun-23 (Sun) 07:00:00,20.23
25-Jun-23 (Sun) 07:30:00,16.63
25-Jun-23 (Sun) 08:00:00,19.88
25-Jun-23 (Sun) 08:30:00,34.09
25-Jun-23 (Sun) 09:00:00,26.95
25-Jun-23 (Sun) 09:30:00,29.85
25-Jun-23 (Sun) 10:00:00,29.8
25-Jun-23 (Sun) 10:30:00,34.3
25-Jun-23 (Sun) 11:00:00,34.36
25-Jun-23 (Sun) 11:30:00,33.23
25-Jun-23 (Sun) 12:00:00,35.28
25-Jun-23 (Sun) 12:30:00,28.64
25-Jun-23 (Sun) 13:00:00,27.63
25-Jun-23 (Sun) 13:30:00,28.69
25-Jun-23 (Sun) 14:00:00,29.4
25-Jun-23 (Sun) 14:30:00,30.93
25-Jun-23 (Sun) 15:00:00,34.26
25-Jun-23 (Sun) 15:30:00,29.77
25-Jun-23 (Sun) 16:00:00,28.2
25-Jun-23 (Sun) 16:30:00,30.69
25-Jun-23 (Sun) 17:00:00,28.46
25-Jun-23 (Sun) 17:30:00,27.54
25-Jun-23 (Sun) 18:00:00,30.69
25-Jun-23 (Sun) 18:30:00,30.18
25-Jun-23 (Sun) 19:00:00,30.58
25-Jun-23 (Sun) 19:30:00,37.2
25-Jun-23 (Sun) 20:00:00,37.54
25-Jun-23 (Sun) 20:30:00,34.76
25-Jun-23 (Sun) 21:00:00,22.13
25-Jun-23 (Sun) 21:30:00,12.79
25-Jun-23 (Sun) 22:00:00,9.4
25-Jun-23 (Sun) 22:30:00,11.14
25-Jun-23 (Sun) 23:00:00,9.23
