Datetime,029256-PNLBA/1 BD A-L/TX-AMP
24-Jun-23 (Sat) 00:00:00,6.61
24-Jun-23 (Sat) 00:30:00,6.23
24-Jun-23 (Sat) 01:00:00,6.07
24-Jun-23 (Sat) 01:30:00,4.59
24-Jun-23 (Sat) 02:00:00,4.61
24-Jun-23 (Sat) 02:30:00,4.99
24-Jun-23 (Sat) 03:00:00,4.49
24-Jun-23 (Sat) 03:30:00,4.61
24-Jun-23 (Sat) 04:00:00,4.38
24-Jun-23 (Sat) 04:30:00,4.81
24-Jun-23 (Sat) 05:00:00,4.6
24-Jun-23 (Sat) 05:30:00,5.06
24-Jun-23 (Sat) 06:00:00,5.77
24-Jun-23 (Sat) 06:30:00,7.35
24-Jun-23 (Sat) 07:00:00,16.45
24-Jun-23 (Sat) 07:30:00,15.61
24-Jun-23 (Sat) 08:00:00,14.94
24-Jun-23 (Sat) 08:30:00,17.26
24-Jun-23 (Sat) 09:00:00,18.25
24-Jun-23 (Sat) 09:30:00,17.98
24-Jun-23 (Sat) 10:00:00,21.93
24-Jun-23 (Sat) 10:30:00,21.56
24-Jun-23 (Sat) 11:00:00,23.3
24-Jun-23 (Sat) 11:30:00,24.79
24-Jun-23 (Sat) 12:00:00,23.38
24-Jun-23 (Sat) 12:30:00,22.1
24-Jun-23 (Sat) 13:00:00,23.48
24-Jun-23 (Sat) 13:30:00,24.93
24-Jun-23 (Sat) 14:00:00,21.22
24-Jun-23 (Sat) 14:30:00,22.43
24-Jun-23 (Sat) 15:00:00,22.71
24-Jun-23 (Sat) 15:30:00,23.95
24-Jun-23 (Sat) 16:00:00,21.61
24-Jun-23 (Sat) 16:30:00,22.46
24-Jun-23 (Sat) 17:00:00,21.29
24-Jun-23 (Sat) 17:30:00,20.63
24-Jun-23 (Sat) 18:00:00,23.13
24-Jun-23 (Sat) 18:30:00,22.37
24-Jun-23 (Sat) 19:00:00,22.71
24-Jun-23 (Sat) 19:30:00,20.73
24-Jun-23 (Sat) 20:00:00,20.63
24-Jun-23 (Sat) 20:30:00,18.33
24-Jun-23 (Sat) 21:00:00,16.93
24-Jun-23 (Sat) 21:30:00,16.36
24-Jun-23 (Sat) 22:00:00,14.08
24-Jun-23 (Sat) 22:30:00,11.32
24-Jun-23 (Sat) 23:00:00,8.74
24-Jun-23 (Sat) 23:30:00,6.55
25-Jun-23 (Sun) 00:00:00,6.11
25-Jun-23 (Sun) 00:30:00,5.18
25-Jun-23 (Sun) 01:00:00,5.55
25-Jun-23 (Sun) 01:30:00,5.06
25-Jun-23 (Sun) 02:00:00,4.81
