Datetime.1,029256-PNLBA/2 BD A-BD B-AMP
24-Jun-23 (Sat) 00:00:00,6.82
24-Jun-23 (Sat) 00:30:00,6.33
24-Jun-23 (Sat) 01:00:00,6.03
24-Jun-23 (Sat) 01:30:00,5.52
24-Jun-23 (Sat) 02:00:00,5.94
24-Jun-23 (Sat) 02:30:00,5.75
24-Jun-23 (Sat) 03:00:00,5.4
24-Jun-23 (Sat) 03:30:00,5.48
24-Jun-23 (Sat) 04:00:00,4.56
24-Jun-23 (Sat) 04:30:00,6.35
24-Jun-23 (Sat) 05:00:00,6.52
24-Jun-23 (Sat) 05:30:00,7.31
24-Jun-23 (Sat) 06:00:00,5.74
24-Jun-23 (Sat) 06:30:00,6.94
24-Jun-23 (Sat) 07:00:00,5.72
24-Jun-23 (Sat) 07:30:00,4.26
24-Jun-23 (Sat) 08:00:00,14.05
24-Jun-23 (Sat) 08:30:00,16.95
24-Jun-23 (Sat) 09:00:00,16.3
24-Jun-23 (Sat) 09:30:00,12.25
24-Jun-23 (Sat) 10:00:00,20.48
24-Jun-23 (Sat) 10:30:00,23.01
24-Jun-23 (Sat) 11:00:00,24.06
24-Jun-23 (Sat) 11:30:00,19.53
24-Jun-23 (Sat) 12:00:00,13.53
24-Jun-23 (Sat) 12:30:00,16.04
24-Jun-23 (Sat) 13:00:00,15.85
24-Jun-23 (Sat) 13:30:00,12.39
24-Jun-23 (Sat) 14:00:00,12.31
24-Jun-23 (Sat) 14:30:00,14.04
24-Jun-23 (Sat) 15:00:00,15.44
24-Jun-23 (Sat) 15:30:00,16.57
24-Jun-23 (Sat) 16:00:00,15.93
24-Jun-23 (Sat) 16:30:00,12.79
24-Jun-23 (Sat) 17:00:00,11.55
24-Jun-23 (Sat) 17:30:00,9.72
24-Jun-23 (Sat) 18:00:00,7.39
24-Jun-23 (Sat) 18:30:00,11.57
24-Jun-23 (Sat) 19:00:00,13.02
24-Jun-23 (Sat) 19:30:00,11.99
24-Jun-23 (Sat) 20:00:00,13.44
24-Jun-23 (Sat) 20:30:00,15.35
24-Jun-23 (Sat) 21:00:00,8.3
24-Jun-23 (Sat) 21:30:00,10.22
24-Jun-23 (Sat) 22:00:00,11.4
24-Jun-23 (Sat) 22:30:00,5.8
24-Jun-23 (Sat) 23:00:00,2.99
24-Jun-23 (Sat) 23:30:00,5.94
25-Jun-23 (Sun) 00:00:00,5.33
25-Jun-23 (Sun) 00:30:00,5.91
25-Jun-23 (Sun) 01:00:00,4.58
25-Jun-23 (Sun) 01:30:00,4.73
25-Jun-23 (Sun) 02:00:00,5.2
25-Jun-23 (Sun) 02:30:00,5.89
25-Jun-23 (Sun) 03:00:00,4.9
25-Jun-23 (Sun) 03:30:00,4.43
25-Jun-23 (Sun) 04:00:00,5.22
25-Jun-23 (Sun) 04:30:00,6.74
25-Jun-23 (Sun) 05:00:00,5.94
25-Jun-23 (Sun) 05:30:00,5.87
25-Jun-23 (Sun) 06:00:00,9.06
25-Jun-23 (Sun) 06:30:00,6.85
25-Jun-23 (Sun) 07:00:00,5.45
25-Jun-23 (Sun) 07:30:00,3.81
25-Jun-23 (Sun) 08:00:00,4.56
25-Jun-23 (Sun) 08:30:00,15.24
25-Jun-23 (Sun) 09:00:00,9.84
25-Jun-23 (Sun) 09:30:00,11.54
25-Jun-23 (Sun) 10:00:00,14.69
25-Jun-23 (Sun) 10:30:00,11.72
25-Jun-23 (Sun) 11:00:00,11.72
25-Jun-23 (Sun) 11:30:00,10.68
25-Jun-23 (Sun) 12:00:00,13.05
25-Jun-23 (Sun) 12:30:00,6.49
25-Jun-23 (Sun) 13:00:00,5.55
25-Jun-23 (Sun) 13:30:00,7.54
25-Jun-23 (Sun) 14:00:00,9.32
25-Jun-23 (Sun) 14:30:00,8.58
25-Jun-23 (Sun) 15:00:00,9.49
25-Jun-23 (Sun) 15:30:00,8.22
25-Jun-23 (Sun) 16:00:00,6.49
25-Jun-23 (Sun) 16:30:00,7.54
25-Jun-23 (Sun) 17:00:00,8.1
25-Jun-23 (Sun) 17:30:00,6.56
25-Jun-23 (Sun) 18:00:00,7.54
25-Jun-23 (Sun) 18:30:00,6.58
25-Jun-23 (Sun) 19:00:00,9.96
25-Jun-23 (Sun) 19:30:00,13.81
25-Jun-23 (Sun) 20:00:00,14.07
25-Jun-23 (Sun) 20:30:00,12.86
25-Jun-23 (Sun) 21:00:00,8.22
25-Jun-23 (Sun) 21:30:00,9.02
25-Jun-23 (Sun) 22:00:00,10.76
25-Jun-23 (Sun) 22:30:00,8.19
25-Jun-23 (Sun) 23:00:00,6.79
25-Jun-23 (Sun) 23:30:00,5.98
26-Jun-23 (Mon) 00:00:00,5.87
26-Jun-23 (Mon) 00:30:00,5.43
26-Jun-23 (Mon) 01:00:00,5.52
26-Jun-23 (Mon) 01:30:00,4.72
26-Jun-23 (Mon) 02:00:00,5.2
26-Jun-23 (Mon) 02:30:00,4.32
26-Jun-23 (Mon) 03:00:00,4.88
26-Jun-23 (Mon) 03:30:00,3.48
26-Jun-23 (Mon) 04:00:00,4.5
26-Jun-23 (Mon) 04:30:00,5.04
26-Jun-23 (Mon) 05:00:00,4.79
26-Jun-23 (Mon) 05:30:00,5.2
26-Jun-23 (Mon) 06:00:00,5.58
26-Jun-23 (Mon) 06:30:00,5.75
26-Jun-23 (Mon) 07:00:00,5.94
26-Jun-23 (Mon) 07:30:00,8.42
26-Jun-23 (Mon) 08:00:00,7.71
26-Jun-23 (Mon) 08:30:00,19.2
26-Jun-23 (Mon) 09:00:00,18.07
26-Jun-23 (Mon) 09:30:00,10.03
26-Jun-23 (Mon) 10:00:00,17.43
26-Jun-23 (Mon) 10:30:00,16.16
26-Jun-23 (Mon) 11:00:00,26.22
26-Jun-23 (Mon) 11:30:00,26.54
26-Jun-23 (Mon) 12:00:00,17.99
26-Jun-23 (Mon) 12:30:00,16.97
26-Jun-23 (Mon) 13:00:00,18.71
26-Jun-23 (Mon) 13:30:00,13.5
26-Jun-23 (Mon) 14:00:00,16.22
26-Jun-23 (Mon) 14:30:00,9.95
26-Jun-23 (Mon) 15:00:00,14.36
26-Jun-23 (Mon) 15:30:00,14.53
26-Jun-23 (Mon) 16:00:00,13.25
26-Jun-23 (Mon) 16:30:00,10.7
26-Jun-23 (Mon) 17:00:00,10.27
26-Jun-23 (Mon) 17:30:00,6.73
26-Jun-23 (Mon) 18:00:00,6.87
26-Jun-23 (Mon) 18:30:00,9.17
26-Jun-23 (Mon) 19:00:00,10.77
26-Jun-23 (Mon) 19:30:00,8.77
26-Jun-23 (Mon) 20:00:00,11.19
26-Jun-23 (Mon) 20:30:00,16.42
26-Jun-23 (Mon) 21:00:00,11.19
26-Jun-23 (Mon) 21:30:00,10.22
26-Jun-23 (Mon) 22:00:00,9.6
26-Jun-23 (Mon) 22:30:00,8.56
26-Jun-23 (Mon) 23:00:00,7.78
26-Jun-23 (Mon) 23:30:00,6.81
27-Jun-23 (Tue) 00:00:00,5.8
27-Jun-23 (Tue) 00:30:00,5.72
27-Jun-23 (Tue) 01:00:00,5.22
27-Jun-23 (Tue) 01:30:00,5.8
27-Jun-23 (Tue) 02:00:00,5.91
27-Jun-23 (Tue) 02:30:00,5.54
27-Jun-23 (Tue) 03:00:00,4.09
27-Jun-23 (Tue) 03:30:00,4.87
27-Jun-23 (Tue) 04:00:00,4.58
27-Jun-23 (Tue) 04:30:00,6.33
27-Jun-23 (Tue) 05:00:00,6.24
27-Jun-23 (Tue) 05:30:00,4.9
27-Jun-23 (Tue) 06:00:00,5.58
27-Jun-23 (Tue) 06:30:00,5.87
27-Jun-23 (Tue) 07:00:00,9.0
27-Jun-23 (Tue) 07:30:00,5.04
27-Jun-23 (Tue) 08:00:00,10.38
27-Jun-23 (Tue) 08:30:00,19.75
27-Jun-23 (Tue) 09:00:00,16.89
27-Jun-23 (Tue) 09:30:00,17.29
27-Jun-23 (Tue) 10:00:00,19.55
27-Jun-23 (Tue) 10:30:00,19.82
27-Jun-23 (Tue) 11:00:00,18.95
27-Jun-23 (Tue) 11:30:00,20.83
27-Jun-23 (Tue) 12:00:00,19.94
27-Jun-23 (Tue) 12:30:00,16.54
27-Jun-23 (Tue) 13:00:00,14.05
27-Jun-23 (Tue) 13:30:00,13.0
27-Jun-23 (Tue) 14:00:00,14.76
27-Jun-23 (Tue) 14:30:00,15.96
27-Jun-23 (Tue) 15:00:00,21.7
27-Jun-23 (Tue) 15:30:00,20.72
27-Jun-23 (Tue) 16:00:00,14.68
27-Jun-23 (Tue) 16:30:00,12.3
27-Jun-23 (Tue) 17:00:00,10.38
27-Jun-23 (Tue) 17:30:00,12.39
27-Jun-23 (Tue) 18:00:00,9.84
27-Jun-23 (Tue) 18:30:00,14.71
27-Jun-23 (Tue) 19:00:00,11.25
27-Jun-23 (Tue) 19:30:00,11.7
27-Jun-23 (Tue) 20:00:00,15.73
27-Jun-23 (Tue) 20:30:00,17.44
27-Jun-23 (Tue) 21:00:00,8.93
27-Jun-23 (Tue) 21:30:00,10.76
27-Jun-23 (Tue) 22:00:00,6.81
27-Jun-23 (Tue) 22:30:00,6.5
27-Jun-23 (Tue) 23:00:00,7.93
27-Jun-23 (Tue) 23:30:00,6.47
28-Jun-23 (Wed) 00:00:00,6.24
28-Jun-23 (Wed) 00:30:00,7.71
28-Jun-23 (Wed) 01:00:00,5.86
28-Jun-23 (Wed) 01:30:00,5.58
28-Jun-23 (Wed) 02:00:00,5.6
28-Jun-23 (Wed) 02:30:00,5.26
28-Jun-23 (Wed) 03:00:00,5.78
28-Jun-23 (Wed) 03:30:00,4.91
28-Jun-23 (Wed) 04:00:00,4.24
28-Jun-23 (Wed) 04:30:00,6.58
28-Jun-23 (Wed) 05:00:00,6.35
28-Jun-23 (Wed) 05:30:00,6.58
28-Jun-23 (Wed) 06:00:00,6.71
28-Jun-23 (Wed) 06:30:00,9.25
28-Jun-23 (Wed) 07:00:00,4.03
28-Jun-23 (Wed) 07:30:00,7.2
28-Jun-23 (Wed) 08:00:00,6.56
28-Jun-23 (Wed) 08:30:00,20.89
28-Jun-23 (Wed) 09:00:00,14.76
28-Jun-23 (Wed) 09:30:00,12.76
28-Jun-23 (Wed) 10:00:00,16.51
28-Jun-23 (Wed) 10:30:00,23.47
28-Jun-23 (Wed) 11:00:00,19.04
28-Jun-23 (Wed) 11:30:00,21.47
28-Jun-23 (Wed) 12:00:00,18.22
28-Jun-23 (Wed) 12:30:00,13.4
28-Jun-23 (Wed) 13:00:00,13.99
28-Jun-23 (Wed) 13:30:00,8.77
28-Jun-23 (Wed) 14:00:00,10.01
28-Jun-23 (Wed) 14:30:00,11.49
28-Jun-23 (Wed) 15:00:00,11.54
28-Jun-23 (Wed) 15:30:00,10.19
28-Jun-23 (Wed) 16:00:00,15.78
28-Jun-23 (Wed) 16:30:00,11.02
28-Jun-23 (Wed) 17:00:00,11.72
28-Jun-23 (Wed) 17:30:00,13.55
28-Jun-23 (Wed) 18:00:00,7.42
28-Jun-23 (Wed) 18:30:00,10.68
28-Jun-23 (Wed) 19:00:00,10.85
28-Jun-23 (Wed) 19:30:00,12.76
28-Jun-23 (Wed) 20:00:00,11.72
28-Jun-23 (Wed) 20:30:00,18.56
28-Jun-23 (Wed) 21:00:00,9.72
28-Jun-23 (Wed) 21:30:00,11.34
28-Jun-23 (Wed) 22:00:00,7.72
28-Jun-23 (Wed) 22:30:00,6.33
28-Jun-23 (Wed) 23:00:00,8.58
28-Jun-23 (Wed) 23:30:00,7.25
29-Jun-23 (Thu) 00:00:00,7.31
29-Jun-23 (Thu) 00:30:00,7.2
29-Jun-23 (Thu) 01:00:00,6.52
29-Jun-23 (Thu) 01:30:00,4.24
29-Jun-23 (Thu) 02:00:00,5.48
29-Jun-23 (Thu) 02:30:00,5.72
29-Jun-23 (Thu) 03:00:00,5.29
29-Jun-23 (Thu) 03:30:00,4.82
29-Jun-23 (Thu) 04:00:00,5.02
29-Jun-23 (Thu) 04:30:00,6.1
29-Jun-23 (Thu) 05:00:00,5.97
29-Jun-23 (Thu) 05:30:00,5.86
29-Jun-23 (Thu) 06:00:00,5.55
29-Jun-23 (Thu) 06:30:00,6.04
29-Jun-23 (Thu) 07:00:00,5.33
29-Jun-23 (Thu) 07:30:00,8.8
29-Jun-23 (Thu) 08:00:00,9.41
29-Jun-23 (Thu) 08:30:00,11.34
29-Jun-23 (Thu) 09:00:00,15.58
29-Jun-23 (Thu) 09:30:00,17.84
29-Jun-23 (Thu) 10:00:00,16.05
29-Jun-23 (Thu) 10:30:00,17.52
29-Jun-23 (Thu) 11:00:00,19.2
29-Jun-23 (Thu) 11:30:00,22.49
29-Jun-23 (Thu) 12:00:00,18.71
29-Jun-23 (Thu) 12:30:00,16.07
