Datetime.3,029256-PNLBB/4 BD B-LUNG KWONG HSE ^B^ TX-AMP
24-Jun-23 (Sat) 00:00:00,36.53
24-Jun-23 (Sat) 00:30:00,40.56
24-Jun-23 (Sat) 01:00:00,36.92
24-Jun-23 (Sat) 01:30:00,34.12
24-Jun-23 (Sat) 02:00:00,33.41
24-Jun-23 (Sat) 02:30:00,33.04
24-Jun-23 (Sat) 03:00:00,32.75
24-Jun-23 (Sat) 03:30:00,30.47
24-Jun-23 (Sat) 04:00:00,29.98
24-Jun-23 (Sat) 04:30:00,29.63
24-Jun-23 (Sat) 05:00:00,31.89
24-Jun-23 (Sat) 05:30:00,30.76
24-Jun-23 (Sat) 06:00:00,35.16
24-Jun-23 (Sat) 06:30:00,32.41
24-Jun-23 (Sat) 07:00:00,32.02
24-Jun-23 (Sat) 07:30:00,30.5
24-Jun-23 (Sat) 08:00:00,33.3
24-Jun-23 (Sat) 08:30:00,33.38
24-Jun-23 (Sat) 09:00:00,38.9
24-Jun-23 (Sat) 09:30:00,37.74
24-Jun-23 (Sat) 10:00:00,36.5
24-Jun-23 (Sat) 10:30:00,38.32
24-Jun-23 (Sat) 11:00:00,41.63
24-Jun-23 (Sat) 11:30:00,39.66
24-Jun-23 (Sat) 12:00:00,38.13
24-Jun-23 (Sat) 12:30:00,40.82
24-Jun-23 (Sat) 13:00:00,41.56
24-Jun-23 (Sat) 13:30:00,37.81
24-Jun-23 (Sat) 14:00:00,37.64
24-Jun-23 (Sat) 14:30:00,39.48
24-Jun-23 (Sat) 15:00:00,38.28
24-Jun-23 (Sat) 15:30:00,39.4
24-Jun-23 (Sat) 16:00:00,37.76
24-Jun-23 (Sat) 16:30:00,36.26
24-Jun-23 (Sat) 17:00:00,36.65
24-Jun-23 (Sat) 17:30:00,43.4
24-Jun-23 (Sat) 18:00:00,39.88
24-Jun-23 (Sat) 18:30:00,40.71
24-Jun-23 (Sat) 19:00:00,42.9
24-Jun-23 (Sat) 19:30:00,43.17
24-Jun-23 (Sat) 20:00:00,43.77
24-Jun-23 (Sat) 20:30:00,44.48
24-Jun-23 (Sat) 21:00:00,44.76
24-Jun-23 (Sat) 21:30:00,42.94
24-Jun-23 (Sat) 22:00:00,41.07
24-Jun-23 (Sat) 22:30:00,40.75
24-Jun-23 (Sat) 23:00:00,36.98
24-Jun-23 (Sat) 23:30:00,35.18
25-Jun-23 (Sun) 00:00:00,33.1
25-Jun-23 (Sun) 00:30:00,34.31
25-Jun-23 (Sun) 01:00:00,32.77
25-Jun-23 (Sun) 01:30:00,31.14
25-Jun-23 (Sun) 02:00:00,30.52
25-Jun-23 (Sun) 02:30:00,30.35
25-Jun-23 (Sun) 03:00:00,29.34
25-Jun-23 (Sun) 03:30:00,31.9
25-Jun-23 (Sun) 04:00:00,29.88
25-Jun-23 (Sun) 04:30:00,27.45
25-Jun-23 (Sun) 05:00:00,31.83
25-Jun-23 (Sun) 05:30:00,31.35
25-Jun-23 (Sun) 06:00:00,33.6
25-Jun-23 (Sun) 06:30:00,31.7
