Datetime.4,029256-PNLBB/5 BD B-WONG TAI SIN LOWER BLK B TX-AMP
24-Jun-23 (Sat) 00:00:00,0.27
24-Jun-23 (Sat) 00:30:00,0.26
24-Jun-23 (Sat) 01:00:00,0.28
24-Jun-23 (Sat) 01:30:00,0.26
24-Jun-23 (Sat) 02:00:00,0.27
24-Jun-23 (Sat) 02:30:00,0.27
24-Jun-23 (Sat) 03:00:00,0.27
24-Jun-23 (Sat) 03:30:00,0.26
24-Jun-23 (Sat) 04:00:00,0.26
24-Jun-23 (Sat) 04:30:00,0.27
24-Jun-23 (Sat) 05:00:00,0.27
24-Jun-23 (Sat) 05:30:00,0.26
24-Jun-23 (Sat) 06:00:00,0.24
24-Jun-23 (Sat) 06:30:00,0.28
24-Jun-23 (Sat) 07:00:00,18.28
24-Jun-23 (Sat) 07:30:00,18.43
24-Jun-23 (Sat) 08:00:00,28.1
24-Jun-23 (Sat) 08:30:00,36.43
24-Jun-23 (Sat) 09:00:00,29.54
24-Jun-23 (Sat) 09:30:00,30.95
24-Jun-23 (Sat) 10:00:00,37.0
24-Jun-23 (Sat) 10:30:00,37.29
24-Jun-23 (Sat) 11:00:00,45.43
24-Jun-23 (Sat) 11:30:00,46.46
24-Jun-23 (Sat) 12:00:00,35.38
24-Jun-23 (Sat) 12:30:00,35.52
24-Jun-23 (Sat) 13:00:00,36.81
24-Jun-23 (Sat) 13:30:00,36.75
24-Jun-23 (Sat) 14:00:00,36.89
24-Jun-23 (Sat) 14:30:00,36.86
24-Jun-23 (Sat) 15:00:00,36.92
24-Jun-23 (Sat) 15:30:00,36.37
24-Jun-23 (Sat) 16:00:00,36.16
24-Jun-23 (Sat) 16:30:00,36.25
24-Jun-23 (Sat) 17:00:00,36.44
24-Jun-23 (Sat) 17:30:00,36.29
24-Jun-23 (Sat) 18:00:00,35.44
24-Jun-23 (Sat) 18:30:00,35.71
24-Jun-23 (Sat) 19:00:00,35.55
24-Jun-23 (Sat) 19:30:00,35.76
24-Jun-23 (Sat) 20:00:00,35.48
24-Jun-23 (Sat) 20:30:00,33.08
24-Jun-23 (Sat) 21:00:00,4.18
24-Jun-23 (Sat) 21:30:00,0.58
24-Jun-23 (Sat) 22:00:00,0.53
24-Jun-23 (Sat) 22:30:00,0.51
24-Jun-23 (Sat) 23:00:00,0.52
24-Jun-23 (Sat) 23:30:00,0.3
25-Jun-23 (Sun) 00:00:00,0.3
25-Jun-23 (Sun) 00:30:00,0.27
25-Jun-23 (Sun) 01:00:00,0.27
25-Jun-23 (Sun) 01:30:00,0.29
25-Jun-23 (Sun) 02:00:00,0.29
25-Jun-23 (Sun) 02:30:00,0.3
25-Jun-23 (Sun) 03:00:00,0.29
25-Jun-23 (Sun) 03:30:00,0.3
25-Jun-23 (Sun) 04:00:00,0.29
25-Jun-23 (Sun) 04:30:00,0.3
25-Jun-23 (Sun) 05:00:00,0.3
25-Jun-23 (Sun) 05:30:00,0.29
25-Jun-23 (Sun) 06:00:00,0.3
25-Jun-23 (Sun) 06:30:00,0.29
25-Jun-23 (Sun) 07:00:00,17.69
25-Jun-23 (Sun) 07:30:00,18.43
25-Jun-23 (Sun) 08:00:00,29.08
25-Jun-23 (Sun) 08:30:00,34.91
25-Jun-23 (Sun) 09:00:00,29.1
25-Jun-23 (Sun) 09:30:00,33.99
25-Jun-23 (Sun) 10:00:00,34.85
25-Jun-23 (Sun) 10:30:00,34.68
25-Jun-23 (Sun) 11:00:00,36.15
25-Jun-23 (Sun) 11:30:00,36.86
