Datetime.6,029256-PNLBB/7 BD B-BD A-AMP
24-Jun-23 (Sat) 00:00:00,6.47
24-Jun-23 (Sat) 00:30:00,6.24
24-Jun-23 (Sat) 01:00:00,5.89
24-Jun-23 (Sat) 01:30:00,5.4
24-Jun-23 (Sat) 02:00:00,5.94
24-Jun-23 (Sat) 02:30:00,5.94
24-Jun-23 (Sat) 03:00:00,5.17
24-Jun-23 (Sat) 03:30:00,5.45
24-Jun-23 (Sat) 04:00:00,4.21
24-Jun-23 (Sat) 04:30:00,6.5
24-Jun-23 (Sat) 05:00:00,6.53
24-Jun-23 (Sat) 05:30:00,7.13
24-Jun-23 (Sat) 06:00:00,5.65
24-Jun-23 (Sat) 06:30:00,6.74
24-Jun-23 (Sat) 07:00:00,5.94
24-Jun-23 (Sat) 07:30:00,3.89
24-Jun-23 (Sat) 08:00:00,14.27
24-Jun-23 (Sat) 08:30:00,16.8
24-Jun-23 (Sat) 09:00:00,16.45
24-Jun-23 (Sat) 09:30:00,12.24
24-Jun-23 (Sat) 10:00:00,19.44
24-Jun-23 (Sat) 10:30:00,22.81
24-Jun-23 (Sat) 11:00:00,23.47
24-Jun-23 (Sat) 11:30:00,19.5
24-Jun-23 (Sat) 12:00:00,13.6
24-Jun-23 (Sat) 12:30:00,16.59
24-Jun-23 (Sat) 13:00:00,15.52
24-Jun-23 (Sat) 13:30:00,9.89
24-Jun-23 (Sat) 14:00:00,12.21
24-Jun-23 (Sat) 14:30:00,13.89
24-Jun-23 (Sat) 15:00:00,15.38
24-Jun-23 (Sat) 15:30:00,16.24
24-Jun-23 (Sat) 16:00:00,16.39
24-Jun-23 (Sat) 16:30:00,12.97
24-Jun-23 (Sat) 17:00:00,10.96
24-Jun-23 (Sat) 17:30:00,10.04
24-Jun-23 (Sat) 18:00:00,6.93
24-Jun-23 (Sat) 18:30:00,10.97
24-Jun-23 (Sat) 19:00:00,12.97
24-Jun-23 (Sat) 19:30:00,11.15
24-Jun-23 (Sat) 20:00:00,12.76
24-Jun-23 (Sat) 20:30:00,15.26
24-Jun-23 (Sat) 21:00:00,8.19
24-Jun-23 (Sat) 21:30:00,9.92
24-Jun-23 (Sat) 22:00:00,11.25
24-Jun-23 (Sat) 22:30:00,5.92
24-Jun-23 (Sat) 23:00:00,3.42
24-Jun-23 (Sat) 23:30:00,5.91
25-Jun-23 (Sun) 00:00:00,5.45
25-Jun-23 (Sun) 00:30:00,5.65
25-Jun-23 (Sun) 01:00:00,4.58
25-Jun-23 (Sun) 01:30:00,4.73
25-Jun-23 (Sun) 02:00:00,5.04
25-Jun-23 (Sun) 02:30:00,5.69
25-Jun-23 (Sun) 03:00:00,4.94
25-Jun-23 (Sun) 03:30:00,4.41
25-Jun-23 (Sun) 04:00:00,5.16
25-Jun-23 (Sun) 04:30:00,6.93
25-Jun-23 (Sun) 05:00:00,5.77
25-Jun-23 (Sun) 05:30:00,5.69
25-Jun-23 (Sun) 06:00:00,9.0
25-Jun-23 (Sun) 06:30:00,6.7
25-Jun-23 (Sun) 07:00:00,5.48
25-Jun-23 (Sun) 07:30:00,3.62
25-Jun-23 (Sun) 08:00:00,4.49
25-Jun-23 (Sun) 08:30:00,14.77
25-Jun-23 (Sun) 09:00:00,9.48
25-Jun-23 (Sun) 09:30:00,11.64
25-Jun-23 (Sun) 10:00:00,13.6
25-Jun-23 (Sun) 10:30:00,12.47
25-Jun-23 (Sun) 11:00:00,10.53
25-Jun-23 (Sun) 11:30:00,9.25
25-Jun-23 (Sun) 12:00:00,10.61
25-Jun-23 (Sun) 12:30:00,6.09
25-Jun-23 (Sun) 13:00:00,4.72
25-Jun-23 (Sun) 13:30:00,7.87
25-Jun-23 (Sun) 14:00:00,9.92
25-Jun-23 (Sun) 14:30:00,10.36
25-Jun-23 (Sun) 15:00:00,9.08
25-Jun-23 (Sun) 15:30:00,7.57
25-Jun-23 (Sun) 16:00:00,6.13
25-Jun-23 (Sun) 16:30:00,8.0
25-Jun-23 (Sun) 17:00:00,7.14
25-Jun-23 (Sun) 17:30:00,6.76
25-Jun-23 (Sun) 18:00:00,7.42
25-Jun-23 (Sun) 18:30:00,6.67
25-Jun-23 (Sun) 19:00:00,10.12
25-Jun-23 (Sun) 19:30:00,13.44
25-Jun-23 (Sun) 20:00:00,15.59
25-Jun-23 (Sun) 20:30:00,13.96
25-Jun-23 (Sun) 21:00:00,7.9
25-Jun-23 (Sun) 21:30:00,8.97
25-Jun-23 (Sun) 22:00:00,11.05
25-Jun-23 (Sun) 22:30:00,8.19
25-Jun-23 (Sun) 23:00:00,6.45
25-Jun-23 (Sun) 23:30:00,5.77
26-Jun-23 (Mon) 00:00:00,5.91
26-Jun-23 (Mon) 00:30:00,5.4
26-Jun-23 (Mon) 01:00:00,5.42
26-Jun-23 (Mon) 01:30:00,4.59
26-Jun-23 (Mon) 02:00:00,5.19
26-Jun-23 (Mon) 02:30:00,4.39
26-Jun-23 (Mon) 03:00:00,4.87
26-Jun-23 (Mon) 03:30:00,3.49
26-Jun-23 (Mon) 04:00:00,4.67
26-Jun-23 (Mon) 04:30:00,5.19
26-Jun-23 (Mon) 05:00:00,5.01
26-Jun-23 (Mon) 05:30:00,4.96
26-Jun-23 (Mon) 06:00:00,5.6
26-Jun-23 (Mon) 06:30:00,5.84
26-Jun-23 (Mon) 07:00:00,5.91
26-Jun-23 (Mon) 07:30:00,7.71
26-Jun-23 (Mon) 08:00:00,7.58
26-Jun-23 (Mon) 08:30:00,17.41
26-Jun-23 (Mon) 09:00:00,18.02
26-Jun-23 (Mon) 09:30:00,10.56
26-Jun-23 (Mon) 10:00:00,17.04
26-Jun-23 (Mon) 10:30:00,15.44
26-Jun-23 (Mon) 11:00:00,25.71
26-Jun-23 (Mon) 11:30:00,26.52
26-Jun-23 (Mon) 12:00:00,18.17
26-Jun-23 (Mon) 12:30:00,16.54
26-Jun-23 (Mon) 13:00:00,19.2
26-Jun-23 (Mon) 13:30:00,14.54
26-Jun-23 (Mon) 14:00:00,15.11
26-Jun-23 (Mon) 14:30:00,9.52
26-Jun-23 (Mon) 15:00:00,13.95
26-Jun-23 (Mon) 15:30:00,12.71
26-Jun-23 (Mon) 16:00:00,13.21
26-Jun-23 (Mon) 16:30:00,11.23
26-Jun-23 (Mon) 17:00:00,8.38
