Datetime.1,029327-PNL2 LUNG FAI HSE ^B^ TX-AMP
24-Jun-23 (Sat) 00:00:00,35.25
24-Jun-23 (Sat) 00:30:00,32.34
24-Jun-23 (Sat) 01:00:00,32.41
24-Jun-23 (Sat) 01:30:00,30.12
24-Jun-23 (Sat) 02:00:00,29.37
24-Jun-23 (Sat) 02:30:00,29.02
24-Jun-23 (Sat) 03:00:00,28.07
24-Jun-23 (Sat) 03:30:00,27.66
24-Jun-23 (Sat) 04:00:00,27.93
24-Jun-23 (Sat) 04:30:00,25.66
24-Jun-23 (Sat) 05:00:00,25.69
24-Jun-23 (Sat) 05:30:00,25.46
24-Jun-23 (Sat) 06:00:00,25.98
24-Jun-23 (Sat) 06:30:00,23.09
24-Jun-23 (Sat) 07:00:00,22.25
24-Jun-23 (Sat) 07:30:00,20.89
24-Jun-23 (Sat) 08:00:00,20.35
24-Jun-23 (Sat) 08:30:00,19.88
24-Jun-23 (Sat) 09:00:00,18.67
24-Jun-23 (Sat) 09:30:00,18.81
24-Jun-23 (Sat) 10:00:00,17.38
24-Jun-23 (Sat) 10:30:00,15.83
24-Jun-23 (Sat) 11:00:00,16.59
24-Jun-23 (Sat) 11:30:00,16.51
24-Jun-23 (Sat) 12:00:00,15.69
24-Jun-23 (Sat) 12:30:00,15.06
24-Jun-23 (Sat) 13:00:00,15.77
24-Jun-23 (Sat) 13:30:00,15.87
24-Jun-23 (Sat) 14:00:00,16.17
24-Jun-23 (Sat) 14:30:00,16.48
24-Jun-23 (Sat) 15:00:00,15.32
24-Jun-23 (Sat) 15:30:00,17.17
24-Jun-23 (Sat) 16:00:00,16.33
24-Jun-23 (Sat) 16:30:00,17.78
24-Jun-23 (Sat) 17:00:00,15.8
24-Jun-23 (Sat) 17:30:00,15.74
24-Jun-23 (Sat) 18:00:00,18.97
24-Jun-23 (Sat) 18:30:00,19.52
24-Jun-23 (Sat) 19:00:00,19.93
24-Jun-23 (Sat) 19:30:00,24.96
24-Jun-23 (Sat) 20:00:00,24.2
24-Jun-23 (Sat) 20:30:00,25.14
24-Jun-23 (Sat) 21:00:00,26.28
24-Jun-23 (Sat) 21:30:00,29.31
24-Jun-23 (Sat) 22:00:00,31.55
24-Jun-23 (Sat) 22:30:00,30.61
24-Jun-23 (Sat) 23:00:00,31.41
24-Jun-23 (Sat) 23:30:00,32.65
25-Jun-23 (Sun) 00:00:00,32.56
25-Jun-23 (Sun) 00:30:00,29.91
25-Jun-23 (Sun) 01:00:00,28.89
25-Jun-23 (Sun) 01:30:00,28.41
25-Jun-23 (Sun) 02:00:00,25.33
25-Jun-23 (Sun) 02:30:00,25.73
25-Jun-23 (Sun) 03:00:00,25.34
25-Jun-23 (Sun) 03:30:00,24.07
25-Jun-23 (Sun) 04:00:00,24.0
25-Jun-23 (Sun) 04:30:00,23.77
25-Jun-23 (Sun) 05:00:00,22.41
25-Jun-23 (Sun) 05:30:00,22.4
25-Jun-23 (Sun) 06:00:00,20.63
25-Jun-23 (Sun) 06:30:00,20.27
25-Jun-23 (Sun) 07:00:00,19.5
25-Jun-23 (Sun) 07:30:00,20.59
25-Jun-23 (Sun) 08:00:00,20.53
25-Jun-23 (Sun) 08:30:00,19.72
25-Jun-23 (Sun) 09:00:00,17.06
25-Jun-23 (Sun) 09:30:00,18.8
25-Jun-23 (Sun) 10:00:00,17.77
25-Jun-23 (Sun) 10:30:00,17.43
25-Jun-23 (Sun) 11:00:00,19.61
25-Jun-23 (Sun) 11:30:00,17.55
25-Jun-23 (Sun) 12:00:00,18.31
25-Jun-23 (Sun) 12:30:00,18.36
25-Jun-23 (Sun) 13:00:00,18.71
25-Jun-23 (Sun) 13:30:00,16.86
25-Jun-23 (Sun) 14:00:00,16.12
25-Jun-23 (Sun) 14:30:00,16.56
25-Jun-23 (Sun) 15:00:00,16.62
25-Jun-23 (Sun) 15:30:00,16.96
25-Jun-23 (Sun) 16:00:00,17.07
25-Jun-23 (Sun) 16:30:00,17.33
25-Jun-23 (Sun) 17:00:00,17.79
25-Jun-23 (Sun) 17:30:00,20.1
25-Jun-23 (Sun) 18:00:00,20.47
25-Jun-23 (Sun) 18:30:00,21.55
25-Jun-23 (Sun) 19:00:00,21.14
25-Jun-23 (Sun) 19:30:00,25.88
25-Jun-23 (Sun) 20:00:00,25.98
25-Jun-23 (Sun) 20:30:00,26.22
25-Jun-23 (Sun) 21:00:00,29.99
25-Jun-23 (Sun) 21:30:00,30.16
25-Jun-23 (Sun) 22:00:00,31.22
25-Jun-23 (Sun) 22:30:00,33.12
25-Jun-23 (Sun) 23:00:00,34.86
25-Jun-23 (Sun) 23:30:00,31.7
26-Jun-23 (Mon) 00:00:00,31.79
26-Jun-23 (Mon) 00:30:00,31.49
26-Jun-23 (Mon) 01:00:00,29.81
26-Jun-23 (Mon) 01:30:00,29.76
26-Jun-23 (Mon) 02:00:00,27.55
26-Jun-23 (Mon) 02:30:00,26.9
26-Jun-23 (Mon) 03:00:00,26.51
26-Jun-23 (Mon) 03:30:00,25.72
26-Jun-23 (Mon) 04:00:00,24.37
26-Jun-23 (Mon) 04:30:00,23.97
26-Jun-23 (Mon) 05:00:00,23.1
26-Jun-23 (Mon) 05:30:00,22.41
26-Jun-23 (Mon) 06:00:00,20.94
26-Jun-23 (Mon) 06:30:00,20.17
26-Jun-23 (Mon) 07:00:00,17.79
26-Jun-23 (Mon) 07:30:00,17.89
26-Jun-23 (Mon) 08:00:00,18.55
26-Jun-23 (Mon) 08:30:00,16.51
26-Jun-23 (Mon) 09:00:00,14.76
26-Jun-23 (Mon) 09:30:00,13.54
26-Jun-23 (Mon) 10:00:00,13.97
26-Jun-23 (Mon) 10:30:00,14.65
26-Jun-23 (Mon) 11:00:00,14.56
26-Jun-23 (Mon) 11:30:00,14.41
26-Jun-23 (Mon) 12:00:00,16.09
26-Jun-23 (Mon) 12:30:00,14.87
26-Jun-23 (Mon) 13:00:00,15.01
26-Jun-23 (Mon) 13:30:00,15.42
26-Jun-23 (Mon) 14:00:00,15.21
26-Jun-23 (Mon) 14:30:00,15.19
26-Jun-23 (Mon) 15:00:00,14.44
26-Jun-23 (Mon) 15:30:00,14.67
26-Jun-23 (Mon) 16:00:00,15.42
26-Jun-23 (Mon) 16:30:00,17.27
26-Jun-23 (Mon) 17:00:00,17.05
26-Jun-23 (Mon) 17:30:00,16.1
26-Jun-23 (Mon) 18:00:00,18.18
26-Jun-23 (Mon) 18:30:00,22.48
26-Jun-23 (Mon) 19:00:00,24.94
26-Jun-23 (Mon) 19:30:00,27.42
26-Jun-23 (Mon) 20:00:00,27.13
26-Jun-23 (Mon) 20:30:00,29.07
26-Jun-23 (Mon) 21:00:00,32.63
26-Jun-23 (Mon) 21:30:00,31.77
26-Jun-23 (Mon) 22:00:00,36.48
26-Jun-23 (Mon) 22:30:00,35.18
26-Jun-23 (Mon) 23:00:00,33.53
26-Jun-23 (Mon) 23:30:00,33.21
27-Jun-23 (Tue) 00:00:00,30.5
27-Jun-23 (Tue) 00:30:00,30.21
27-Jun-23 (Tue) 01:00:00,30.49
27-Jun-23 (Tue) 01:30:00,27.39
27-Jun-23 (Tue) 02:00:00,27.09
27-Jun-23 (Tue) 02:30:00,27.28
27-Jun-23 (Tue) 03:00:00,26.52
27-Jun-23 (Tue) 03:30:00,24.99
27-Jun-23 (Tue) 04:00:00,25.41
27-Jun-23 (Tue) 04:30:00,24.66
27-Jun-23 (Tue) 05:00:00,23.84
27-Jun-23 (Tue) 05:30:00,23.14
27-Jun-23 (Tue) 06:00:00,22.84
27-Jun-23 (Tue) 06:30:00,22.09
27-Jun-23 (Tue) 07:00:00,21.05
27-Jun-23 (Tue) 07:30:00,18.59
27-Jun-23 (Tue) 08:00:00,18.44
27-Jun-23 (Tue) 08:30:00,16.39
27-Jun-23 (Tue) 09:00:00,15.07
27-Jun-23 (Tue) 09:30:00,15.69
27-Jun-23 (Tue) 10:00:00,14.32
27-Jun-23 (Tue) 10:30:00,13.48
27-Jun-23 (Tue) 11:00:00,14.12
27-Jun-23 (Tue) 11:30:00,14.71
27-Jun-23 (Tue) 12:00:00,13.07
27-Jun-23 (Tue) 12:30:00,13.76
27-Jun-23 (Tue) 13:00:00,13.84
27-Jun-23 (Tue) 13:30:00,15.84
27-Jun-23 (Tue) 14:00:00,14.34
27-Jun-23 (Tue) 14:30:00,13.9
27-Jun-23 (Tue) 15:00:00,14.92
27-Jun-23 (Tue) 15:30:00,15.11
27-Jun-23 (Tue) 16:00:00,16.78
27-Jun-23 (Tue) 16:30:00,16.05
27-Jun-23 (Tue) 17:00:00,16.01
27-Jun-23 (Tue) 17:30:00,16.56
27-Jun-23 (Tue) 18:00:00,19.23
27-Jun-23 (Tue) 18:30:00,23.92
27-Jun-23 (Tue) 19:00:00,22.62
27-Jun-23 (Tue) 19:30:00,25.76
27-Jun-23 (Tue) 20:00:00,29.35
27-Jun-23 (Tue) 20:30:00,28.58
27-Jun-23 (Tue) 21:00:00,31.72
27-Jun-23 (Tue) 21:30:00,29.84
27-Jun-23 (Tue) 22:00:00,33.21
27-Jun-23 (Tue) 22:30:00,33.59
27-Jun-23 (Tue) 23:00:00,33.38
27-Jun-23 (Tue) 23:30:00,35.12
28-Jun-23 (Wed) 00:00:00,31.98
28-Jun-23 (Wed) 00:30:00,33.04
28-Jun-23 (Wed) 01:00:00,30.03
28-Jun-23 (Wed) 01:30:00,28.73
28-Jun-23 (Wed) 02:00:00,28.77
28-Jun-23 (Wed) 02:30:00,27.81
28-Jun-23 (Wed) 03:00:00,27.72
28-Jun-23 (Wed) 03:30:00,26.01
28-Jun-23 (Wed) 04:00:00,26.92
28-Jun-23 (Wed) 04:30:00,24.39
