Datetime.2,029327-PNL3 LUNG FAI HSE A/C PLT-AMP
24-Jun-23 (Sat) 00:00:00,94.56
24-Jun-23 (Sat) 00:30:00,91.75
24-Jun-23 (Sat) 01:00:00,87.51
24-Jun-23 (Sat) 01:30:00,83.35
24-Jun-23 (Sat) 02:00:00,81.12
24-Jun-23 (Sat) 02:30:00,81.33
24-Jun-23 (Sat) 03:00:00,74.25
24-Jun-23 (Sat) 03:30:00,73.96
24-Jun-23 (Sat) 04:00:00,73.61
24-Jun-23 (Sat) 04:30:00,75.93
24-Jun-23 (Sat) 05:00:00,73.84
24-Jun-23 (Sat) 05:30:00,74.95
24-Jun-23 (Sat) 06:00:00,78.98
24-Jun-23 (Sat) 06:30:00,82.93
24-Jun-23 (Sat) 07:00:00,97.9
24-Jun-23 (Sat) 07:30:00,103.2
24-Jun-23 (Sat) 08:00:00,109.04
24-Jun-23 (Sat) 08:30:00,113.06
24-Jun-23 (Sat) 09:00:00,114.14
24-Jun-23 (Sat) 09:30:00,114.37
24-Jun-23 (Sat) 10:00:00,123.55
24-Jun-23 (Sat) 10:30:00,123.31
24-Jun-23 (Sat) 11:00:00,124.85
24-Jun-23 (Sat) 11:30:00,129.92
24-Jun-23 (Sat) 12:00:00,125.13
24-Jun-23 (Sat) 12:30:00,118.5
24-Jun-23 (Sat) 13:00:00,119.19
24-Jun-23 (Sat) 13:30:00,116.02
24-Jun-23 (Sat) 14:00:00,115.56
24-Jun-23 (Sat) 14:30:00,115.79
24-Jun-23 (Sat) 15:00:00,113.38
24-Jun-23 (Sat) 15:30:00,115.34
24-Jun-23 (Sat) 16:00:00,111.94
24-Jun-23 (Sat) 16:30:00,111.53
24-Jun-23 (Sat) 17:00:00,113.3
24-Jun-23 (Sat) 17:30:00,109.59
24-Jun-23 (Sat) 18:00:00,115.68
24-Jun-23 (Sat) 18:30:00,116.99
24-Jun-23 (Sat) 19:00:00,120.23
24-Jun-23 (Sat) 19:30:00,122.21
24-Jun-23 (Sat) 20:00:00,125.31
24-Jun-23 (Sat) 20:30:00,118.56
24-Jun-23 (Sat) 21:00:00,109.32
24-Jun-23 (Sat) 21:30:00,100.5
24-Jun-23 (Sat) 22:00:00,92.62
24-Jun-23 (Sat) 22:30:00,92.93
24-Jun-23 (Sat) 23:00:00,94.58
24-Jun-23 (Sat) 23:30:00,91.78
25-Jun-23 (Sun) 00:00:00,91.75
25-Jun-23 (Sun) 00:30:00,82.93
25-Jun-23 (Sun) 01:00:00,80.61
25-Jun-23 (Sun) 01:30:00,79.64
25-Jun-23 (Sun) 02:00:00,73.43
25-Jun-23 (Sun) 02:30:00,69.73
25-Jun-23 (Sun) 03:00:00,67.03
25-Jun-23 (Sun) 03:30:00,66.62
25-Jun-23 (Sun) 04:00:00,67.11
25-Jun-23 (Sun) 04:30:00,67.49
25-Jun-23 (Sun) 05:00:00,66.39
25-Jun-23 (Sun) 05:30:00,65.78
25-Jun-23 (Sun) 06:00:00,72.71
25-Jun-23 (Sun) 06:30:00,80.1
25-Jun-23 (Sun) 07:00:00,89.77
25-Jun-23 (Sun) 07:30:00,98.91
25-Jun-23 (Sun) 08:00:00,105.72
25-Jun-23 (Sun) 08:30:00,106.98
25-Jun-23 (Sun) 09:00:00,105.82
25-Jun-23 (Sun) 09:30:00,111.74
25-Jun-23 (Sun) 10:00:00,114.58
25-Jun-23 (Sun) 10:30:00,117.07
25-Jun-23 (Sun) 11:00:00,116.11
25-Jun-23 (Sun) 11:30:00,114.86
25-Jun-23 (Sun) 12:00:00,118.0
25-Jun-23 (Sun) 12:30:00,114.7
25-Jun-23 (Sun) 13:00:00,114.2
25-Jun-23 (Sun) 13:30:00,111.82
25-Jun-23 (Sun) 14:00:00,109.99
25-Jun-23 (Sun) 14:30:00,112.67
25-Jun-23 (Sun) 15:00:00,113.09
25-Jun-23 (Sun) 15:30:00,111.19
25-Jun-23 (Sun) 16:00:00,112.16
25-Jun-23 (Sun) 16:30:00,110.75
25-Jun-23 (Sun) 17:00:00,110.31
25-Jun-23 (Sun) 17:30:00,116.02
25-Jun-23 (Sun) 18:00:00,120.62
25-Jun-23 (Sun) 18:30:00,117.85
25-Jun-23 (Sun) 19:00:00,119.97
25-Jun-23 (Sun) 19:30:00,123.33
25-Jun-23 (Sun) 20:00:00,122.23
25-Jun-23 (Sun) 20:30:00,123.83
25-Jun-23 (Sun) 21:00:00,112.63
25-Jun-23 (Sun) 21:30:00,100.57
25-Jun-23 (Sun) 22:00:00,97.74
25-Jun-23 (Sun) 22:30:00,98.33
25-Jun-23 (Sun) 23:00:00,95.87
25-Jun-23 (Sun) 23:30:00,92.64
26-Jun-23 (Mon) 00:00:00,89.54
26-Jun-23 (Mon) 00:30:00,85.42
26-Jun-23 (Mon) 01:00:00,83.74
26-Jun-23 (Mon) 01:30:00,80.87
26-Jun-23 (Mon) 02:00:00,77.79
26-Jun-23 (Mon) 02:30:00,73.6
26-Jun-23 (Mon) 03:00:00,71.49
26-Jun-23 (Mon) 03:30:00,69.81
26-Jun-23 (Mon) 04:00:00,67.87
26-Jun-23 (Mon) 04:30:00,68.45
26-Jun-23 (Mon) 05:00:00,66.81
26-Jun-23 (Mon) 05:30:00,68.22
26-Jun-23 (Mon) 06:00:00,72.63
26-Jun-23 (Mon) 06:30:00,76.62
26-Jun-23 (Mon) 07:00:00,90.38
26-Jun-23 (Mon) 07:30:00,99.15
26-Jun-23 (Mon) 08:00:00,104.92
26-Jun-23 (Mon) 08:30:00,116.47
26-Jun-23 (Mon) 09:00:00,119.13
26-Jun-23 (Mon) 09:30:00,118.96
26-Jun-23 (Mon) 10:00:00,119.11
26-Jun-23 (Mon) 10:30:00,121.31
26-Jun-23 (Mon) 11:00:00,125.86
26-Jun-23 (Mon) 11:30:00,131.49
26-Jun-23 (Mon) 12:00:00,122.38
26-Jun-23 (Mon) 12:30:00,125.55
26-Jun-23 (Mon) 13:00:00,123.16
26-Jun-23 (Mon) 13:30:00,124.26
26-Jun-23 (Mon) 14:00:00,125.71
26-Jun-23 (Mon) 14:30:00,118.7
26-Jun-23 (Mon) 15:00:00,121.39
26-Jun-23 (Mon) 15:30:00,121.17
26-Jun-23 (Mon) 16:00:00,120.43
26-Jun-23 (Mon) 16:30:00,119.46
26-Jun-23 (Mon) 17:00:00,121.34
26-Jun-23 (Mon) 17:30:00,119.1
26-Jun-23 (Mon) 18:00:00,122.78
26-Jun-23 (Mon) 18:30:00,124.65
26-Jun-23 (Mon) 19:00:00,125.64
26-Jun-23 (Mon) 19:30:00,125.31
26-Jun-23 (Mon) 20:00:00,126.73
26-Jun-23 (Mon) 20:30:00,127.45
26-Jun-23 (Mon) 21:00:00,116.73
26-Jun-23 (Mon) 21:30:00,104.37
26-Jun-23 (Mon) 22:00:00,105.46
26-Jun-23 (Mon) 22:30:00,101.08
26-Jun-23 (Mon) 23:00:00,95.23
26-Jun-23 (Mon) 23:30:00,91.45
27-Jun-23 (Tue) 00:00:00,91.45
27-Jun-23 (Tue) 00:30:00,84.66
27-Jun-23 (Tue) 01:00:00,81.45
27-Jun-23 (Tue) 01:30:00,77.61
27-Jun-23 (Tue) 02:00:00,75.01
27-Jun-23 (Tue) 02:30:00,74.22
27-Jun-23 (Tue) 03:00:00,69.86
27-Jun-23 (Tue) 03:30:00,68.59
27-Jun-23 (Tue) 04:00:00,68.62
27-Jun-23 (Tue) 04:30:00,70.18
27-Jun-23 (Tue) 05:00:00,66.93
27-Jun-23 (Tue) 05:30:00,68.76
27-Jun-23 (Tue) 06:00:00,72.82
27-Jun-23 (Tue) 06:30:00,74.34
27-Jun-23 (Tue) 07:00:00,94.06
27-Jun-23 (Tue) 07:30:00,102.1
27-Jun-23 (Tue) 08:00:00,109.01
27-Jun-23 (Tue) 08:30:00,119.88
27-Jun-23 (Tue) 09:00:00,125.84
27-Jun-23 (Tue) 09:30:00,120.24
27-Jun-23 (Tue) 10:00:00,122.56
27-Jun-23 (Tue) 10:30:00,122.03
27-Jun-23 (Tue) 11:00:00,124.9
27-Jun-23 (Tue) 11:30:00,128.47
27-Jun-23 (Tue) 12:00:00,123.48
27-Jun-23 (Tue) 12:30:00,123.65
27-Jun-23 (Tue) 13:00:00,121.31
27-Jun-23 (Tue) 13:30:00,125.66
27-Jun-23 (Tue) 14:00:00,121.3
27-Jun-23 (Tue) 14:30:00,120.7
27-Jun-23 (Tue) 15:00:00,122.36
27-Jun-23 (Tue) 15:30:00,125.19
