Datetime.1,158064-PNL2 JUN011-AMP
24-Jun-23 (Sat) 00:00:00,100.01
24-Jun-23 (Sat) 00:30:00,97.64
24-Jun-23 (Sat) 01:00:00,90.93
24-Jun-23 (Sat) 01:30:00,87.91
24-Jun-23 (Sat) 02:00:00,85.82
24-Jun-23 (Sat) 02:30:00,85.85
24-Jun-23 (Sat) 03:00:00,78.07
24-Jun-23 (Sat) 03:30:00,77.23
24-Jun-23 (Sat) 04:00:00,77.06
24-Jun-23 (Sat) 04:30:00,80.57
24-Jun-23 (Sat) 05:00:00,77.94
24-Jun-23 (Sat) 05:30:00,78.22
24-Jun-23 (Sat) 06:00:00,86.6
24-Jun-23 (Sat) 06:30:00,94.52
24-Jun-23 (Sat) 07:00:00,106.74
24-Jun-23 (Sat) 07:30:00,114.31
24-Jun-23 (Sat) 08:00:00,118.63
24-Jun-23 (Sat) 08:30:00,121.33
24-Jun-23 (Sat) 09:00:00,138.33
24-Jun-23 (Sat) 09:30:00,141.18
24-Jun-23 (Sat) 10:00:00,140.64
24-Jun-23 (Sat) 10:30:00,147.69
24-Jun-23 (Sat) 11:00:00,148.78
24-Jun-23 (Sat) 11:30:00,156.06
24-Jun-23 (Sat) 12:00:00,147.95
24-Jun-23 (Sat) 12:30:00,145.24
24-Jun-23 (Sat) 13:00:00,148.21
24-Jun-23 (Sat) 13:30:00,142.23
24-Jun-23 (Sat) 14:00:00,142.61
24-Jun-23 (Sat) 14:30:00,143.22
24-Jun-23 (Sat) 15:00:00,141.93
24-Jun-23 (Sat) 15:30:00,140.57
24-Jun-23 (Sat) 16:00:00,137.29
24-Jun-23 (Sat) 16:30:00,134.95
24-Jun-23 (Sat) 17:00:00,138.69
24-Jun-23 (Sat) 17:30:00,135.59
24-Jun-23 (Sat) 18:00:00,140.03
24-Jun-23 (Sat) 18:30:00,140.57
24-Jun-23 (Sat) 19:00:00,144.23
24-Jun-23 (Sat) 19:30:00,147.34
24-Jun-23 (Sat) 20:00:00,141.9
24-Jun-23 (Sat) 20:30:00,139.01
24-Jun-23 (Sat) 21:00:00,138.8
24-Jun-23 (Sat) 21:30:00,138.52
24-Jun-23 (Sat) 22:00:00,136.66
24-Jun-23 (Sat) 22:30:00,118.52
24-Jun-23 (Sat) 23:00:00,112.06
24-Jun-23 (Sat) 23:30:00,97.98
25-Jun-23 (Sun) 00:00:00,96.68
25-Jun-23 (Sun) 00:30:00,88.67
