Datetime.1,188528-PNL2 LUNG KWONG HSE ^A^ BD B-AMP
24-Jun-23 (Sat) 00:00:00,35.63
24-Jun-23 (Sat) 00:30:00,35.68
24-Jun-23 (Sat) 01:00:00,34.73
24-Jun-23 (Sat) 01:30:00,34.18
24-Jun-23 (Sat) 02:00:00,34.13
24-Jun-23 (Sat) 02:30:00,32.82
24-Jun-23 (Sat) 03:00:00,29.63
24-Jun-23 (Sat) 03:30:00,29.83
24-Jun-23 (Sat) 04:00:00,29.3
24-Jun-23 (Sat) 04:30:00,26.84
24-Jun-23 (Sat) 05:00:00,26.84
24-Jun-23 (Sat) 05:30:00,25.96
24-Jun-23 (Sat) 06:00:00,32.44
24-Jun-23 (Sat) 06:30:00,35.17
24-Jun-23 (Sat) 07:00:00,49.58
24-Jun-23 (Sat) 07:30:00,48.72
24-Jun-23 (Sat) 08:00:00,48.66
24-Jun-23 (Sat) 08:30:00,52.28
24-Jun-23 (Sat) 09:00:00,54.93
24-Jun-23 (Sat) 09:30:00,54.57
24-Jun-23 (Sat) 10:00:00,54.84
24-Jun-23 (Sat) 10:30:00,61.2
24-Jun-23 (Sat) 11:00:00,60.58
24-Jun-23 (Sat) 11:30:00,64.27
24-Jun-23 (Sat) 12:00:00,62.01
24-Jun-23 (Sat) 12:30:00,61.16
24-Jun-23 (Sat) 13:00:00,62.76
24-Jun-23 (Sat) 13:30:00,64.17
24-Jun-23 (Sat) 14:00:00,61.8
24-Jun-23 (Sat) 14:30:00,61.91
24-Jun-23 (Sat) 15:00:00,61.57
24-Jun-23 (Sat) 15:30:00,62.97
24-Jun-23 (Sat) 16:00:00,57.04
24-Jun-23 (Sat) 16:30:00,59.66
24-Jun-23 (Sat) 17:00:00,61.13
24-Jun-23 (Sat) 17:30:00,63.88
24-Jun-23 (Sat) 18:00:00,65.58
24-Jun-23 (Sat) 18:30:00,62.29
24-Jun-23 (Sat) 19:00:00,64.27
24-Jun-23 (Sat) 19:30:00,67.35
24-Jun-23 (Sat) 20:00:00,64.61
24-Jun-23 (Sat) 20:30:00,61.34
24-Jun-23 (Sat) 21:00:00,58.95
24-Jun-23 (Sat) 21:30:00,51.15
24-Jun-23 (Sat) 22:00:00,50.02
24-Jun-23 (Sat) 22:30:00,45.41
24-Jun-23 (Sat) 23:00:00,42.71
24-Jun-23 (Sat) 23:30:00,36.09
25-Jun-23 (Sun) 00:00:00,38.19
25-Jun-23 (Sun) 00:30:00,34.1
25-Jun-23 (Sun) 01:00:00,32.82
25-Jun-23 (Sun) 01:30:00,28.79
25-Jun-23 (Sun) 02:00:00,29.85
25-Jun-23 (Sun) 02:30:00,28.57
25-Jun-23 (Sun) 03:00:00,27.77
25-Jun-23 (Sun) 03:30:00,28.49
25-Jun-23 (Sun) 04:00:00,28.32
25-Jun-23 (Sun) 04:30:00,23.51
25-Jun-23 (Sun) 05:00:00,25.42
25-Jun-23 (Sun) 05:30:00,27.31
25-Jun-23 (Sun) 06:00:00,32.09
25-Jun-23 (Sun) 06:30:00,33.68
25-Jun-23 (Sun) 07:00:00,44.05
25-Jun-23 (Sun) 07:30:00,48.98
25-Jun-23 (Sun) 08:00:00,50.13
25-Jun-23 (Sun) 08:30:00,54.7
25-Jun-23 (Sun) 09:00:00,54.8
25-Jun-23 (Sun) 09:30:00,60.11
25-Jun-23 (Sun) 10:00:00,58.79
25-Jun-23 (Sun) 10:30:00,61.02
25-Jun-23 (Sun) 11:00:00,64.06
25-Jun-23 (Sun) 11:30:00,68.41
25-Jun-23 (Sun) 12:00:00,64.07
25-Jun-23 (Sun) 12:30:00,66.87
25-Jun-23 (Sun) 13:00:00,65.86
25-Jun-23 (Sun) 13:30:00,66.07
25-Jun-23 (Sun) 14:00:00,63.28
25-Jun-23 (Sun) 14:30:00,64.18
25-Jun-23 (Sun) 15:00:00,64.68
25-Jun-23 (Sun) 15:30:00,65.07
25-Jun-23 (Sun) 16:00:00,61.53
25-Jun-23 (Sun) 16:30:00,66.7
25-Jun-23 (Sun) 17:00:00,63.83
25-Jun-23 (Sun) 17:30:00,65.42
25-Jun-23 (Sun) 18:00:00,67.38
25-Jun-23 (Sun) 18:30:00,67.63
25-Jun-23 (Sun) 19:00:00,64.55
25-Jun-23 (Sun) 19:30:00,63.66
25-Jun-23 (Sun) 20:00:00,67.16
25-Jun-23 (Sun) 20:30:00,63.55
25-Jun-23 (Sun) 21:00:00,56.54
25-Jun-23 (Sun) 21:30:00,52.31
25-Jun-23 (Sun) 22:00:00,49.21
25-Jun-23 (Sun) 22:30:00,42.02
25-Jun-23 (Sun) 23:00:00,42.33
25-Jun-23 (Sun) 23:30:00,35.63
26-Jun-23 (Mon) 00:00:00,31.37
26-Jun-23 (Mon) 00:30:00,32.33
26-Jun-23 (Mon) 01:00:00,34.32
26-Jun-23 (Mon) 01:30:00,31.92
26-Jun-23 (Mon) 02:00:00,32.79
26-Jun-23 (Mon) 02:30:00,30.41
26-Jun-23 (Mon) 03:00:00,27.79
26-Jun-23 (Mon) 03:30:00,29.89
26-Jun-23 (Mon) 04:00:00,27.16
26-Jun-23 (Mon) 04:30:00,24.87
26-Jun-23 (Mon) 05:00:00,25.41
26-Jun-23 (Mon) 05:30:00,26.34
26-Jun-23 (Mon) 06:00:00,30.53
26-Jun-23 (Mon) 06:30:00,32.09
26-Jun-23 (Mon) 07:00:00,45.06
26-Jun-23 (Mon) 07:30:00,41.49
26-Jun-23 (Mon) 08:00:00,41.32
26-Jun-23 (Mon) 08:30:00,45.81
26-Jun-23 (Mon) 09:00:00,47.84
26-Jun-23 (Mon) 09:30:00,54.58
26-Jun-23 (Mon) 10:00:00,51.74
26-Jun-23 (Mon) 10:30:00,50.97
26-Jun-23 (Mon) 11:00:00,54.38
26-Jun-23 (Mon) 11:30:00,56.15
26-Jun-23 (Mon) 12:00:00,54.89
26-Jun-23 (Mon) 12:30:00,55.67
26-Jun-23 (Mon) 13:00:00,58.2
26-Jun-23 (Mon) 13:30:00,60.29
26-Jun-23 (Mon) 14:00:00,63.22
26-Jun-23 (Mon) 14:30:00,61.2
26-Jun-23 (Mon) 15:00:00,59.79
26-Jun-23 (Mon) 15:30:00,60.17
26-Jun-23 (Mon) 16:00:00,58.72
26-Jun-23 (Mon) 16:30:00,57.91
26-Jun-23 (Mon) 17:00:00,63.01
26-Jun-23 (Mon) 17:30:00,63.95
26-Jun-23 (Mon) 18:00:00,64.64
26-Jun-23 (Mon) 18:30:00,65.89
26-Jun-23 (Mon) 19:00:00,63.52
26-Jun-23 (Mon) 19:30:00,67.69
26-Jun-23 (Mon) 20:00:00,67.4
26-Jun-23 (Mon) 20:30:00,60.67
26-Jun-23 (Mon) 21:00:00,59.07
26-Jun-23 (Mon) 21:30:00,47.38
26-Jun-23 (Mon) 22:00:00,50.48
26-Jun-23 (Mon) 22:30:00,40.65
26-Jun-23 (Mon) 23:00:00,41.64
26-Jun-23 (Mon) 23:30:00,35.75
27-Jun-23 (Tue) 00:00:00,34.29
