Datetime.2,188528-PNL3 L/TX-AMP
24-Jun-23 (Sat) 00:00:00,1.74
24-Jun-23 (Sat) 00:30:00,1.63
24-Jun-23 (Sat) 01:00:00,1.54
24-Jun-23 (Sat) 01:30:00,1.59
24-Jun-23 (Sat) 02:00:00,1.66
24-Jun-23 (Sat) 02:30:00,1.62
24-Jun-23 (Sat) 03:00:00,1.65
24-Jun-23 (Sat) 03:30:00,1.59
24-Jun-23 (Sat) 04:00:00,1.61
24-Jun-23 (Sat) 04:30:00,1.66
24-Jun-23 (Sat) 05:00:00,1.64
24-Jun-23 (Sat) 05:30:00,1.62
24-Jun-23 (Sat) 06:00:00,1.64
24-Jun-23 (Sat) 06:30:00,1.72
24-Jun-23 (Sat) 07:00:00,1.73
24-Jun-23 (Sat) 07:30:00,2.28
24-Jun-23 (Sat) 08:00:00,7.68
24-Jun-23 (Sat) 08:30:00,12.45
24-Jun-23 (Sat) 09:00:00,14.28
24-Jun-23 (Sat) 09:30:00,15.78
24-Jun-23 (Sat) 10:00:00,17.58
24-Jun-23 (Sat) 10:30:00,19.23
24-Jun-23 (Sat) 11:00:00,19.96
24-Jun-23 (Sat) 11:30:00,19.14
24-Jun-23 (Sat) 12:00:00,13.96
24-Jun-23 (Sat) 12:30:00,14.21
24-Jun-23 (Sat) 13:00:00,13.38
24-Jun-23 (Sat) 13:30:00,9.21
24-Jun-23 (Sat) 14:00:00,8.9
24-Jun-23 (Sat) 14:30:00,8.58
24-Jun-23 (Sat) 15:00:00,7.75
24-Jun-23 (Sat) 15:30:00,9.78
24-Jun-23 (Sat) 16:00:00,7.32
24-Jun-23 (Sat) 16:30:00,6.96
24-Jun-23 (Sat) 17:00:00,6.19
24-Jun-23 (Sat) 17:30:00,4.43
24-Jun-23 (Sat) 18:00:00,3.46
24-Jun-23 (Sat) 18:30:00,3.53
24-Jun-23 (Sat) 19:00:00,3.17
24-Jun-23 (Sat) 19:30:00,2.72
24-Jun-23 (Sat) 20:00:00,2.82
24-Jun-23 (Sat) 20:30:00,2.74
24-Jun-23 (Sat) 21:00:00,2.85
24-Jun-23 (Sat) 21:30:00,2.8
24-Jun-23 (Sat) 22:00:00,2.69
24-Jun-23 (Sat) 22:30:00,2.66
24-Jun-23 (Sat) 23:00:00,1.9
24-Jun-23 (Sat) 23:30:00,1.55
25-Jun-23 (Sun) 00:00:00,1.57
25-Jun-23 (Sun) 00:30:00,1.47
25-Jun-23 (Sun) 01:00:00,1.53
25-Jun-23 (Sun) 01:30:00,1.52
25-Jun-23 (Sun) 02:00:00,1.47
25-Jun-23 (Sun) 02:30:00,1.49
25-Jun-23 (Sun) 03:00:00,1.49
25-Jun-23 (Sun) 03:30:00,1.5
25-Jun-23 (Sun) 04:00:00,1.88
25-Jun-23 (Sun) 04:30:00,1.58
25-Jun-23 (Sun) 05:00:00,1.56
25-Jun-23 (Sun) 05:30:00,1.47
25-Jun-23 (Sun) 06:00:00,1.45
25-Jun-23 (Sun) 06:30:00,1.52
25-Jun-23 (Sun) 07:00:00,1.63
25-Jun-23 (Sun) 07:30:00,1.66
25-Jun-23 (Sun) 08:00:00,1.88
25-Jun-23 (Sun) 08:30:00,2.79
25-Jun-23 (Sun) 09:00:00,4.66
25-Jun-23 (Sun) 09:30:00,4.6
25-Jun-23 (Sun) 10:00:00,4.77
25-Jun-23 (Sun) 10:30:00,5.08
25-Jun-23 (Sun) 11:00:00,5.42
25-Jun-23 (Sun) 11:30:00,3.38
25-Jun-23 (Sun) 12:00:00,2.44
25-Jun-23 (Sun) 12:30:00,2.55
25-Jun-23 (Sun) 13:00:00,2.42
25-Jun-23 (Sun) 13:30:00,2.18
25-Jun-23 (Sun) 14:00:00,2.64
25-Jun-23 (Sun) 14:30:00,2.17
25-Jun-23 (Sun) 15:00:00,2.24
25-Jun-23 (Sun) 15:30:00,2.01
25-Jun-23 (Sun) 16:00:00,2.04
25-Jun-23 (Sun) 16:30:00,2.03
25-Jun-23 (Sun) 17:00:00,2.1
25-Jun-23 (Sun) 17:30:00,1.98
25-Jun-23 (Sun) 18:00:00,2.35
25-Jun-23 (Sun) 18:30:00,2.22
25-Jun-23 (Sun) 19:00:00,2.14
25-Jun-23 (Sun) 19:30:00,2.24
25-Jun-23 (Sun) 20:00:00,2.22
25-Jun-23 (Sun) 20:30:00,2.24
25-Jun-23 (Sun) 21:00:00,2.22
25-Jun-23 (Sun) 21:30:00,2.24
25-Jun-23 (Sun) 22:00:00,1.9
25-Jun-23 (Sun) 22:30:00,1.7
25-Jun-23 (Sun) 23:00:00,1.54
25-Jun-23 (Sun) 23:30:00,1.54
26-Jun-23 (Mon) 00:00:00,1.48
26-Jun-23 (Mon) 00:30:00,1.54
26-Jun-23 (Mon) 01:00:00,1.59
26-Jun-23 (Mon) 01:30:00,1.51
26-Jun-23 (Mon) 02:00:00,1.54
26-Jun-23 (Mon) 02:30:00,1.48
26-Jun-23 (Mon) 03:00:00,1.48
26-Jun-23 (Mon) 03:30:00,1.64
26-Jun-23 (Mon) 04:00:00,1.58
26-Jun-23 (Mon) 04:30:00,1.53
26-Jun-23 (Mon) 05:00:00,1.57
26-Jun-23 (Mon) 05:30:00,1.53
26-Jun-23 (Mon) 06:00:00,1.56
26-Jun-23 (Mon) 06:30:00,1.57
26-Jun-23 (Mon) 07:00:00,2.38
26-Jun-23 (Mon) 07:30:00,10.28
