Datetime,223459-PNL1 WING SIN HSE-AMP
24-Jun-23 (Sat) 00:00:00,47.91
24-Jun-23 (Sat) 00:30:00,44.54
24-Jun-23 (Sat) 01:00:00,41.95
24-Jun-23 (Sat) 01:30:00,38.94
24-Jun-23 (Sat) 02:00:00,39.45
24-Jun-23 (Sat) 02:30:00,37.71
24-Jun-23 (Sat) 03:00:00,36.76
24-Jun-23 (Sat) 03:30:00,35.92
24-Jun-23 (Sat) 04:00:00,34.42
24-Jun-23 (Sat) 04:30:00,37.2
24-Jun-23 (Sat) 05:00:00,35.05
24-Jun-23 (Sat) 05:30:00,35.75
24-Jun-23 (Sat) 06:00:00,37.08
24-Jun-23 (Sat) 06:30:00,43.03
24-Jun-23 (Sat) 07:00:00,53.29
24-Jun-23 (Sat) 07:30:00,56.05
24-Jun-23 (Sat) 08:00:00,58.7
24-Jun-23 (Sat) 08:30:00,65.54
24-Jun-23 (Sat) 09:00:00,68.29
24-Jun-23 (Sat) 09:30:00,68.44
24-Jun-23 (Sat) 10:00:00,70.25
24-Jun-23 (Sat) 10:30:00,72.92
24-Jun-23 (Sat) 11:00:00,77.78
24-Jun-23 (Sat) 11:30:00,78.94
24-Jun-23 (Sat) 12:00:00,73.05
24-Jun-23 (Sat) 12:30:00,74.45
24-Jun-23 (Sat) 13:00:00,73.2
24-Jun-23 (Sat) 13:30:00,68.74
24-Jun-23 (Sat) 14:00:00,72.01
24-Jun-23 (Sat) 14:30:00,68.76
24-Jun-23 (Sat) 15:00:00,73.03
24-Jun-23 (Sat) 15:30:00,69.72
24-Jun-23 (Sat) 16:00:00,69.17
24-Jun-23 (Sat) 16:30:00,71.28
24-Jun-23 (Sat) 17:00:00,68.13
24-Jun-23 (Sat) 17:30:00,64.79
24-Jun-23 (Sat) 18:00:00,65.89
24-Jun-23 (Sat) 18:30:00,71.37
24-Jun-23 (Sat) 19:00:00,72.89
24-Jun-23 (Sat) 19:30:00,71.41
24-Jun-23 (Sat) 20:00:00,67.77
24-Jun-23 (Sat) 20:30:00,67.19
24-Jun-23 (Sat) 21:00:00,65.23
24-Jun-23 (Sat) 21:30:00,61.51
24-Jun-23 (Sat) 22:00:00,58.99
24-Jun-23 (Sat) 22:30:00,57.73
24-Jun-23 (Sat) 23:00:00,52.25
24-Jun-23 (Sat) 23:30:00,45.52
25-Jun-23 (Sun) 00:00:00,44.39
25-Jun-23 (Sun) 00:30:00,39.64
25-Jun-23 (Sun) 01:00:00,39.58
25-Jun-23 (Sun) 01:30:00,38.5
25-Jun-23 (Sun) 02:00:00,37.68
25-Jun-23 (Sun) 02:30:00,33.52
25-Jun-23 (Sun) 03:00:00,33.59
25-Jun-23 (Sun) 03:30:00,31.5
25-Jun-23 (Sun) 04:00:00,32.27
25-Jun-23 (Sun) 04:30:00,33.3
25-Jun-23 (Sun) 05:00:00,33.57
25-Jun-23 (Sun) 05:30:00,34.64
25-Jun-23 (Sun) 06:00:00,37.92
25-Jun-23 (Sun) 06:30:00,41.47
25-Jun-23 (Sun) 07:00:00,46.43
25-Jun-23 (Sun) 07:30:00,54.2
25-Jun-23 (Sun) 08:00:00,57.41
25-Jun-23 (Sun) 08:30:00,64.0
25-Jun-23 (Sun) 09:00:00,61.95
25-Jun-23 (Sun) 09:30:00,67.49
25-Jun-23 (Sun) 10:00:00,69.49
25-Jun-23 (Sun) 10:30:00,71.2
25-Jun-23 (Sun) 11:00:00,70.25
25-Jun-23 (Sun) 11:30:00,72.28
25-Jun-23 (Sun) 12:00:00,74.89
25-Jun-23 (Sun) 12:30:00,70.02
25-Jun-23 (Sun) 13:00:00,70.7
25-Jun-23 (Sun) 13:30:00,70.79
25-Jun-23 (Sun) 14:00:00,70.1
25-Jun-23 (Sun) 14:30:00,68.71
25-Jun-23 (Sun) 15:00:00,71.55
25-Jun-23 (Sun) 15:30:00,68.22
25-Jun-23 (Sun) 16:00:00,65.77
25-Jun-23 (Sun) 16:30:00,69.25
25-Jun-23 (Sun) 17:00:00,68.24
25-Jun-23 (Sun) 17:30:00,70.13
25-Jun-23 (Sun) 18:00:00,71.98
25-Jun-23 (Sun) 18:30:00,71.93
25-Jun-23 (Sun) 19:00:00,72.04
25-Jun-23 (Sun) 19:30:00,74.22
25-Jun-23 (Sun) 20:00:00,72.65
25-Jun-23 (Sun) 20:30:00,71.92
25-Jun-23 (Sun) 21:00:00,68.59
25-Jun-23 (Sun) 21:30:00,65.52
25-Jun-23 (Sun) 22:00:00,61.51
25-Jun-23 (Sun) 22:30:00,58.23
25-Jun-23 (Sun) 23:00:00,55.65
25-Jun-23 (Sun) 23:30:00,46.08
26-Jun-23 (Mon) 00:00:00,42.71
26-Jun-23 (Mon) 00:30:00,39.72
26-Jun-23 (Mon) 01:00:00,40.16
26-Jun-23 (Mon) 01:30:00,37.74
26-Jun-23 (Mon) 02:00:00,36.81
26-Jun-23 (Mon) 02:30:00,33.52
26-Jun-23 (Mon) 03:00:00,32.26
26-Jun-23 (Mon) 03:30:00,32.24
26-Jun-23 (Mon) 04:00:00,31.82
26-Jun-23 (Mon) 04:30:00,32.67
26-Jun-23 (Mon) 05:00:00,31.48
