Datetime.1,223459-PNL2 UPPER WTS PH 4 ^B^-AMP
24-Jun-23 (Sat) 00:00:00,51.16
24-Jun-23 (Sat) 00:30:00,47.93
24-Jun-23 (Sat) 01:00:00,45.93
24-Jun-23 (Sat) 01:30:00,42.76
24-Jun-23 (Sat) 02:00:00,43.17
24-Jun-23 (Sat) 02:30:00,41.14
24-Jun-23 (Sat) 03:00:00,40.18
24-Jun-23 (Sat) 03:30:00,39.02
24-Jun-23 (Sat) 04:00:00,37.8
24-Jun-23 (Sat) 04:30:00,40.74
24-Jun-23 (Sat) 05:00:00,38.5
24-Jun-23 (Sat) 05:30:00,38.93
24-Jun-23 (Sat) 06:00:00,40.91
24-Jun-23 (Sat) 06:30:00,46.4
24-Jun-23 (Sat) 07:00:00,57.79
24-Jun-23 (Sat) 07:30:00,62.17
24-Jun-23 (Sat) 08:00:00,65.65
24-Jun-23 (Sat) 08:30:00,76.54
24-Jun-23 (Sat) 09:00:00,79.71
24-Jun-23 (Sat) 09:30:00,80.52
24-Jun-23 (Sat) 10:00:00,82.11
24-Jun-23 (Sat) 10:30:00,86.21
24-Jun-23 (Sat) 11:00:00,90.69
24-Jun-23 (Sat) 11:30:00,91.72
24-Jun-23 (Sat) 12:00:00,86.57
24-Jun-23 (Sat) 12:30:00,87.74
24-Jun-23 (Sat) 13:00:00,86.23
24-Jun-23 (Sat) 13:30:00,81.47
24-Jun-23 (Sat) 14:00:00,83.97
24-Jun-23 (Sat) 14:30:00,79.76
24-Jun-23 (Sat) 15:00:00,83.96
24-Jun-23 (Sat) 15:30:00,80.9
24-Jun-23 (Sat) 16:00:00,80.37
24-Jun-23 (Sat) 16:30:00,80.45
24-Jun-23 (Sat) 17:00:00,78.74
24-Jun-23 (Sat) 17:30:00,74.72
24-Jun-23 (Sat) 18:00:00,76.74
24-Jun-23 (Sat) 18:30:00,79.94
24-Jun-23 (Sat) 19:00:00,81.12
24-Jun-23 (Sat) 19:30:00,79.18
24-Jun-23 (Sat) 20:00:00,75.4
24-Jun-23 (Sat) 20:30:00,74.65
24-Jun-23 (Sat) 21:00:00,72.99
24-Jun-23 (Sat) 21:30:00,68.58
24-Jun-23 (Sat) 22:00:00,66.16
24-Jun-23 (Sat) 22:30:00,62.73
24-Jun-23 (Sat) 23:00:00,56.78
24-Jun-23 (Sat) 23:30:00,49.96
25-Jun-23 (Sun) 00:00:00,48.4
25-Jun-23 (Sun) 00:30:00,43.99
25-Jun-23 (Sun) 01:00:00,43.9
25-Jun-23 (Sun) 01:30:00,42.12
25-Jun-23 (Sun) 02:00:00,41.2
25-Jun-23 (Sun) 02:30:00,36.73
25-Jun-23 (Sun) 03:00:00,37.2
25-Jun-23 (Sun) 03:30:00,34.62
25-Jun-23 (Sun) 04:00:00,35.78
25-Jun-23 (Sun) 04:30:00,36.61
25-Jun-23 (Sun) 05:00:00,36.76
25-Jun-23 (Sun) 05:30:00,37.77
25-Jun-23 (Sun) 06:00:00,40.96
25-Jun-23 (Sun) 06:30:00,44.69
25-Jun-23 (Sun) 07:00:00,50.65
25-Jun-23 (Sun) 07:30:00,58.99
25-Jun-23 (Sun) 08:00:00,62.9
25-Jun-23 (Sun) 08:30:00,72.47
25-Jun-23 (Sun) 09:00:00,70.94
25-Jun-23 (Sun) 09:30:00,76.46
