Datetime,223464-PNL4 JUN011
24-Jun-23 (Sat) 00:00:00,88.38
24-Jun-23 (Sat) 00:30:00,86.03
24-Jun-23 (Sat) 01:00:00,81.38
24-Jun-23 (Sat) 01:30:00,78.02
24-Jun-23 (Sat) 02:00:00,75.78
24-Jun-23 (Sat) 02:30:00,76.07
24-Jun-23 (Sat) 03:00:00,68.38
24-Jun-23 (Sat) 03:30:00,68.27
24-Jun-23 (Sat) 04:00:00,67.67
24-Jun-23 (Sat) 04:30:00,69.72
24-Jun-23 (Sat) 05:00:00,67.29
24-Jun-23 (Sat) 05:30:00,68.71
24-Jun-23 (Sat) 06:00:00,71.81
24-Jun-23 (Sat) 06:30:00,73.69
24-Jun-23 (Sat) 07:00:00,86.63
24-Jun-23 (Sat) 07:30:00,92.27
24-Jun-23 (Sat) 08:00:00,94.59
24-Jun-23 (Sat) 08:30:00,104.69
24-Jun-23 (Sat) 09:00:00,110.03
24-Jun-23 (Sat) 09:30:00,113.09
24-Jun-23 (Sat) 10:00:00,111.22
24-Jun-23 (Sat) 10:30:00,118.06
24-Jun-23 (Sat) 11:00:00,118.66
24-Jun-23 (Sat) 11:30:00,123.55
24-Jun-23 (Sat) 12:00:00,119.27
24-Jun-23 (Sat) 12:30:00,115.71
24-Jun-23 (Sat) 13:00:00,118.81
24-Jun-23 (Sat) 13:30:00,113.74
24-Jun-23 (Sat) 14:00:00,112.58
24-Jun-23 (Sat) 14:30:00,113.76
24-Jun-23 (Sat) 15:00:00,109.65
24-Jun-23 (Sat) 15:30:00,110.03
24-Jun-23 (Sat) 16:00:00,108.91
24-Jun-23 (Sat) 16:30:00,106.74
24-Jun-23 (Sat) 17:00:00,107.14
24-Jun-23 (Sat) 17:30:00,108.83
24-Jun-23 (Sat) 18:00:00,113.57
24-Jun-23 (Sat) 18:30:00,111.29
24-Jun-23 (Sat) 19:00:00,115.12
24-Jun-23 (Sat) 19:30:00,117.04
24-Jun-23 (Sat) 20:00:00,113.9
24-Jun-23 (Sat) 20:30:00,112.86
24-Jun-23 (Sat) 21:00:00,111.13
24-Jun-23 (Sat) 21:30:00,109.7
24-Jun-23 (Sat) 22:00:00,107.65
24-Jun-23 (Sat) 22:30:00,102.1
24-Jun-23 (Sat) 23:00:00,95.42
24-Jun-23 (Sat) 23:30:00,85.5
25-Jun-23 (Sun) 00:00:00,85.51
25-Jun-23 (Sun) 00:30:00,78.92
25-Jun-23 (Sun) 01:00:00,76.48
25-Jun-23 (Sun) 01:30:00,74.4
25-Jun-23 (Sun) 02:00:00,67.45
25-Jun-23 (Sun) 02:30:00,65.19
25-Jun-23 (Sun) 03:00:00,62.53
25-Jun-23 (Sun) 03:30:00,63.08
25-Jun-23 (Sun) 04:00:00,62.78
25-Jun-23 (Sun) 04:30:00,62.88
25-Jun-23 (Sun) 05:00:00,63.48
25-Jun-23 (Sun) 05:30:00,63.81
25-Jun-23 (Sun) 06:00:00,65.66
25-Jun-23 (Sun) 06:30:00,71.06
25-Jun-23 (Sun) 07:00:00,79.21
25-Jun-23 (Sun) 07:30:00,85.76
25-Jun-23 (Sun) 08:00:00,92.24
25-Jun-23 (Sun) 08:30:00,98.8
25-Jun-23 (Sun) 09:00:00,101.76
25-Jun-23 (Sun) 09:30:00,105.72
25-Jun-23 (Sun) 10:00:00,108.26
25-Jun-23 (Sun) 10:30:00,109.79
25-Jun-23 (Sun) 11:00:00,109.62
25-Jun-23 (Sun) 11:30:00,111.41
25-Jun-23 (Sun) 12:00:00,113.38
25-Jun-23 (Sun) 12:30:00,111.09
25-Jun-23 (Sun) 13:00:00,110.58
25-Jun-23 (Sun) 13:30:00,109.33
25-Jun-23 (Sun) 14:00:00,104.51
25-Jun-23 (Sun) 14:30:00,108.83
25-Jun-23 (Sun) 15:00:00,106.57
25-Jun-23 (Sun) 15:30:00,107.94
25-Jun-23 (Sun) 16:00:00,106.52
25-Jun-23 (Sun) 16:30:00,106.78
25-Jun-23 (Sun) 17:00:00,107.1
25-Jun-23 (Sun) 17:30:00,109.91
25-Jun-23 (Sun) 18:00:00,115.13
25-Jun-23 (Sun) 18:30:00,112.46
25-Jun-23 (Sun) 19:00:00,116.82
25-Jun-23 (Sun) 19:30:00,117.57
25-Jun-23 (Sun) 20:00:00,118.21
25-Jun-23 (Sun) 20:30:00,118.47
25-Jun-23 (Sun) 21:00:00,117.28
25-Jun-23 (Sun) 21:30:00,113.99
25-Jun-23 (Sun) 22:00:00,110.78
25-Jun-23 (Sun) 22:30:00,100.25
25-Jun-23 (Sun) 23:00:00,97.98
25-Jun-23 (Sun) 23:30:00,85.85
26-Jun-23 (Mon) 00:00:00,83.42
26-Jun-23 (Mon) 00:30:00,78.57
26-Jun-23 (Mon) 01:00:00,77.29
26-Jun-23 (Mon) 01:30:00,71.25
26-Jun-23 (Mon) 02:00:00,72.12
26-Jun-23 (Mon) 02:30:00,68.68
26-Jun-23 (Mon) 03:00:00,66.04
26-Jun-23 (Mon) 03:30:00,64.76
26-Jun-23 (Mon) 04:00:00,63.78
26-Jun-23 (Mon) 04:30:00,63.07
26-Jun-23 (Mon) 05:00:00,62.62
26-Jun-23 (Mon) 05:30:00,65.25
26-Jun-23 (Mon) 06:00:00,66.55
26-Jun-23 (Mon) 06:30:00,68.96
26-Jun-23 (Mon) 07:00:00,82.72
26-Jun-23 (Mon) 07:30:00,90.64
26-Jun-23 (Mon) 08:00:00,99.12
26-Jun-23 (Mon) 08:30:00,110.78
26-Jun-23 (Mon) 09:00:00,121.42
26-Jun-23 (Mon) 09:30:00,124.97
26-Jun-23 (Mon) 10:00:00,125.29
26-Jun-23 (Mon) 10:30:00,130.19
26-Jun-23 (Mon) 11:00:00,130.34
26-Jun-23 (Mon) 11:30:00,129.51
26-Jun-23 (Mon) 12:00:00,129.46
26-Jun-23 (Mon) 12:30:00,133.52
26-Jun-23 (Mon) 13:00:00,128.07
26-Jun-23 (Mon) 13:30:00,128.89
26-Jun-23 (Mon) 14:00:00,133.2
26-Jun-23 (Mon) 14:30:00,127.66
26-Jun-23 (Mon) 15:00:00,128.62
26-Jun-23 (Mon) 15:30:00,126.45
26-Jun-23 (Mon) 16:00:00,125.57
26-Jun-23 (Mon) 16:30:00,125.37
26-Jun-23 (Mon) 17:00:00,127.2
26-Jun-23 (Mon) 17:30:00,125.83
26-Jun-23 (Mon) 18:00:00,126.79
26-Jun-23 (Mon) 18:30:00,131.14
26-Jun-23 (Mon) 19:00:00,125.48
26-Jun-23 (Mon) 19:30:00,130.54
26-Jun-23 (Mon) 20:00:00,126.7
26-Jun-23 (Mon) 20:30:00,120.12
26-Jun-23 (Mon) 21:00:00,119.91
26-Jun-23 (Mon) 21:30:00,114.32
26-Jun-23 (Mon) 22:00:00,114.58
26-Jun-23 (Mon) 22:30:00,98.25
26-Jun-23 (Mon) 23:00:00,95.72
26-Jun-23 (Mon) 23:30:00,85.47
27-Jun-23 (Tue) 00:00:00,80.75
27-Jun-23 (Tue) 00:30:00,79.07
27-Jun-23 (Tue) 01:00:00,75.06
27-Jun-23 (Tue) 01:30:00,71.9
27-Jun-23 (Tue) 02:00:00,68.21
27-Jun-23 (Tue) 02:30:00,68.45
27-Jun-23 (Tue) 03:00:00,65.42
27-Jun-23 (Tue) 03:30:00,63.13
27-Jun-23 (Tue) 04:00:00,62.69
27-Jun-23 (Tue) 04:30:00,64.17
27-Jun-23 (Tue) 05:00:00,63.66
27-Jun-23 (Tue) 05:30:00,65.32
27-Jun-23 (Tue) 06:00:00,66.91
27-Jun-23 (Tue) 06:30:00,69.4
27-Jun-23 (Tue) 07:00:00,81.13
27-Jun-23 (Tue) 07:30:00,94.5
27-Jun-23 (Tue) 08:00:00,100.6
27-Jun-23 (Tue) 08:30:00,113.33
27-Jun-23 (Tue) 09:00:00,120.7
27-Jun-23 (Tue) 09:30:00,125.93
27-Jun-23 (Tue) 10:00:00,128.76
27-Jun-23 (Tue) 10:30:00,128.62
27-Jun-23 (Tue) 11:00:00,133.3
27-Jun-23 (Tue) 11:30:00,135.2
27-Jun-23 (Tue) 12:00:00,135.85
27-Jun-23 (Tue) 12:30:00,131.23
27-Jun-23 (Tue) 13:00:00,129.41
27-Jun-23 (Tue) 13:30:00,131.82
27-Jun-23 (Tue) 14:00:00,127.95
27-Jun-23 (Tue) 14:30:00,130.22
27-Jun-23 (Tue) 15:00:00,127.26
27-Jun-23 (Tue) 15:30:00,129.17
27-Jun-23 (Tue) 16:00:00,127.12
27-Jun-23 (Tue) 16:30:00,126.87
27-Jun-23 (Tue) 17:00:00,124.41
27-Jun-23 (Tue) 17:30:00,127.05
27-Jun-23 (Tue) 18:00:00,127.67
27-Jun-23 (Tue) 18:30:00,131.17
27-Jun-23 (Tue) 19:00:00,124.62
27-Jun-23 (Tue) 19:30:00,128.71
27-Jun-23 (Tue) 20:00:00,124.01
27-Jun-23 (Tue) 20:30:00,122.73
27-Jun-23 (Tue) 21:00:00,125.42
27-Jun-23 (Tue) 21:30:00,120.0
27-Jun-23 (Tue) 22:00:00,112.57
27-Jun-23 (Tue) 22:30:00,107.36
27-Jun-23 (Tue) 23:00:00,99.89
27-Jun-23 (Tue) 23:30:00,86.25
28-Jun-23 (Wed) 00:00:00,89.94
28-Jun-23 (Wed) 00:30:00,82.14
28-Jun-23 (Wed) 01:00:00,79.2
28-Jun-23 (Wed) 01:30:00,74.74
28-Jun-23 (Wed) 02:00:00,71.23
28-Jun-23 (Wed) 02:30:00,68.45
28-Jun-23 (Wed) 03:00:00,68.93
28-Jun-23 (Wed) 03:30:00,66.71
28-Jun-23 (Wed) 04:00:00,65.61
28-Jun-23 (Wed) 04:30:00,67.6
28-Jun-23 (Wed) 05:00:00,70.47
28-Jun-23 (Wed) 05:30:00,66.88
28-Jun-23 (Wed) 06:00:00,69.48
28-Jun-23 (Wed) 06:30:00,78.48
28-Jun-23 (Wed) 07:00:00,85.68
28-Jun-23 (Wed) 07:30:00,95.2
28-Jun-23 (Wed) 08:00:00,100.31
28-Jun-23 (Wed) 08:30:00,108.94
28-Jun-23 (Wed) 09:00:00,118.75
28-Jun-23 (Wed) 09:30:00,122.07
28-Jun-23 (Wed) 10:00:00,120.41
28-Jun-23 (Wed) 10:30:00,124.62
28-Jun-23 (Wed) 11:00:00,125.32
28-Jun-23 (Wed) 11:30:00,130.86
28-Jun-23 (Wed) 12:00:00,130.51
28-Jun-23 (Wed) 12:30:00,125.75
28-Jun-23 (Wed) 13:00:00,128.04
28-Jun-23 (Wed) 13:30:00,127.52
28-Jun-23 (Wed) 14:00:00,121.83
