Datetime.1,328239-PNL2 LUNG FAI HSE ^A^-AMP
24-Jun-23 (Sat) 00:00:00,55.54
24-Jun-23 (Sat) 00:30:00,52.19
24-Jun-23 (Sat) 01:00:00,48.63
24-Jun-23 (Sat) 01:30:00,47.0
24-Jun-23 (Sat) 02:00:00,45.98
24-Jun-23 (Sat) 02:30:00,46.16
24-Jun-23 (Sat) 03:00:00,40.67
24-Jun-23 (Sat) 03:30:00,41.09
24-Jun-23 (Sat) 04:00:00,39.29
24-Jun-23 (Sat) 04:30:00,40.5
24-Jun-23 (Sat) 05:00:00,40.56
24-Jun-23 (Sat) 05:30:00,40.09
24-Jun-23 (Sat) 06:00:00,32.27
24-Jun-23 (Sat) 06:30:00,32.65
24-Jun-23 (Sat) 07:00:00,44.1
24-Jun-23 (Sat) 07:30:00,50.22
24-Jun-23 (Sat) 08:00:00,53.99
24-Jun-23 (Sat) 08:30:00,61.24
24-Jun-23 (Sat) 09:00:00,56.93
24-Jun-23 (Sat) 09:30:00,56.41
24-Jun-23 (Sat) 10:00:00,65.77
24-Jun-23 (Sat) 10:30:00,68.0
24-Jun-23 (Sat) 11:00:00,65.98
24-Jun-23 (Sat) 11:30:00,63.49
24-Jun-23 (Sat) 12:00:00,66.07
24-Jun-23 (Sat) 12:30:00,60.61
24-Jun-23 (Sat) 13:00:00,59.69
24-Jun-23 (Sat) 13:30:00,57.91
24-Jun-23 (Sat) 14:00:00,57.91
24-Jun-23 (Sat) 14:30:00,55.3
24-Jun-23 (Sat) 15:00:00,53.74
24-Jun-23 (Sat) 15:30:00,53.67
24-Jun-23 (Sat) 16:00:00,56.18
24-Jun-23 (Sat) 16:30:00,54.46
24-Jun-23 (Sat) 17:00:00,54.06
24-Jun-23 (Sat) 17:30:00,55.54
24-Jun-23 (Sat) 18:00:00,54.28
24-Jun-23 (Sat) 18:30:00,57.63
24-Jun-23 (Sat) 19:00:00,61.13
24-Jun-23 (Sat) 19:30:00,59.42
24-Jun-23 (Sat) 20:00:00,56.57
24-Jun-23 (Sat) 20:30:00,57.7
24-Jun-23 (Sat) 21:00:00,51.9
24-Jun-23 (Sat) 21:30:00,42.74
24-Jun-23 (Sat) 22:00:00,42.07
24-Jun-23 (Sat) 22:30:00,44.92
24-Jun-23 (Sat) 23:00:00,48.95
24-Jun-23 (Sat) 23:30:00,51.7
25-Jun-23 (Sun) 00:00:00,52.71
25-Jun-23 (Sun) 00:30:00,47.06
