Datetime,350659-PNL1 L/TX-AMP
24-Jun-23 (Sat) 00:00:00,0.5
24-Jun-23 (Sat) 00:30:00,0.48
24-Jun-23 (Sat) 01:00:00,0.48
24-Jun-23 (Sat) 01:30:00,0.48
24-Jun-23 (Sat) 02:00:00,0.49
24-Jun-23 (Sat) 02:30:00,0.49
24-Jun-23 (Sat) 03:00:00,0.48
24-Jun-23 (Sat) 03:30:00,0.48
24-Jun-23 (Sat) 04:00:00,0.46
24-Jun-23 (Sat) 04:30:00,0.47
24-Jun-23 (Sat) 05:00:00,0.48
24-Jun-23 (Sat) 05:30:00,0.48
24-Jun-23 (Sat) 06:00:00,0.43
24-Jun-23 (Sat) 06:30:00,0.71
24-Jun-23 (Sat) 07:00:00,1.58
24-Jun-23 (Sat) 07:30:00,1.85
24-Jun-23 (Sat) 08:00:00,3.15
24-Jun-23 (Sat) 08:30:00,7.55
24-Jun-23 (Sat) 09:00:00,8.75
24-Jun-23 (Sat) 09:30:00,8.32
24-Jun-23 (Sat) 10:00:00,7.16
24-Jun-23 (Sat) 10:30:00,7.82
24-Jun-23 (Sat) 11:00:00,8.15
24-Jun-23 (Sat) 11:30:00,8.0
24-Jun-23 (Sat) 12:00:00,8.06
24-Jun-23 (Sat) 12:30:00,7.75
24-Jun-23 (Sat) 13:00:00,7.63
24-Jun-23 (Sat) 13:30:00,6.15
24-Jun-23 (Sat) 14:00:00,6.26
24-Jun-23 (Sat) 14:30:00,3.91
24-Jun-23 (Sat) 15:00:00,2.0
24-Jun-23 (Sat) 15:30:00,1.97
24-Jun-23 (Sat) 16:00:00,1.46
24-Jun-23 (Sat) 16:30:00,1.41
24-Jun-23 (Sat) 17:00:00,1.46
24-Jun-23 (Sat) 17:30:00,0.85
24-Jun-23 (Sat) 18:00:00,0.79
24-Jun-23 (Sat) 18:30:00,0.65
24-Jun-23 (Sat) 19:00:00,0.64
24-Jun-23 (Sat) 19:30:00,0.62
24-Jun-23 (Sat) 20:00:00,0.63
24-Jun-23 (Sat) 20:30:00,0.51
24-Jun-23 (Sat) 21:00:00,0.53
24-Jun-23 (Sat) 21:30:00,0.54
24-Jun-23 (Sat) 22:00:00,0.45
24-Jun-23 (Sat) 22:30:00,0.52
24-Jun-23 (Sat) 23:00:00,0.52
24-Jun-23 (Sat) 23:30:00,0.58
25-Jun-23 (Sun) 00:00:00,0.58
25-Jun-23 (Sun) 00:30:00,0.51
25-Jun-23 (Sun) 01:00:00,0.73
25-Jun-23 (Sun) 01:30:00,0.72
25-Jun-23 (Sun) 02:00:00,0.68
25-Jun-23 (Sun) 02:30:00,0.67
25-Jun-23 (Sun) 03:00:00,0.54
25-Jun-23 (Sun) 03:30:00,0.54
25-Jun-23 (Sun) 04:00:00,0.58
25-Jun-23 (Sun) 04:30:00,0.52
25-Jun-23 (Sun) 05:00:00,0.54
25-Jun-23 (Sun) 05:30:00,0.55
25-Jun-23 (Sun) 06:00:00,0.48
25-Jun-23 (Sun) 06:30:00,1.35
25-Jun-23 (Sun) 07:00:00,0.9
25-Jun-23 (Sun) 07:30:00,0.4
25-Jun-23 (Sun) 08:00:00,0.54
25-Jun-23 (Sun) 08:30:00,0.62
25-Jun-23 (Sun) 09:00:00,0.41
25-Jun-23 (Sun) 09:30:00,0.39
25-Jun-23 (Sun) 10:00:00,0.38
25-Jun-23 (Sun) 10:30:00,0.37
25-Jun-23 (Sun) 11:00:00,0.4
25-Jun-23 (Sun) 11:30:00,0.38
25-Jun-23 (Sun) 12:00:00,0.6
25-Jun-23 (Sun) 12:30:00,0.58
25-Jun-23 (Sun) 13:00:00,0.38
25-Jun-23 (Sun) 13:30:00,0.37
25-Jun-23 (Sun) 14:00:00,0.37
25-Jun-23 (Sun) 14:30:00,0.36
25-Jun-23 (Sun) 15:00:00,0.37
25-Jun-23 (Sun) 15:30:00,0.41
25-Jun-23 (Sun) 16:00:00,0.37
25-Jun-23 (Sun) 16:30:00,0.38
25-Jun-23 (Sun) 17:00:00,0.41
25-Jun-23 (Sun) 17:30:00,0.37
25-Jun-23 (Sun) 18:00:00,0.51
25-Jun-23 (Sun) 18:30:00,0.53
25-Jun-23 (Sun) 19:00:00,1.48
25-Jun-23 (Sun) 19:30:00,0.43
25-Jun-23 (Sun) 20:00:00,0.53
25-Jun-23 (Sun) 20:30:00,0.67
25-Jun-23 (Sun) 21:00:00,0.62
25-Jun-23 (Sun) 21:30:00,0.42
25-Jun-23 (Sun) 22:00:00,0.41
25-Jun-23 (Sun) 22:30:00,0.42
25-Jun-23 (Sun) 23:00:00,0.58
25-Jun-23 (Sun) 23:30:00,0.62
26-Jun-23 (Mon) 00:00:00,0.62
26-Jun-23 (Mon) 00:30:00,0.62
26-Jun-23 (Mon) 01:00:00,0.56
26-Jun-23 (Mon) 01:30:00,0.53
26-Jun-23 (Mon) 02:00:00,0.53
26-Jun-23 (Mon) 02:30:00,0.54
26-Jun-23 (Mon) 03:00:00,0.53
26-Jun-23 (Mon) 03:30:00,0.47
26-Jun-23 (Mon) 04:00:00,0.47
26-Jun-23 (Mon) 04:30:00,0.48
26-Jun-23 (Mon) 05:00:00,0.48
26-Jun-23 (Mon) 05:30:00,0.78
26-Jun-23 (Mon) 06:00:00,0.53
26-Jun-23 (Mon) 06:30:00,0.45
26-Jun-23 (Mon) 07:00:00,1.35
26-Jun-23 (Mon) 07:30:00,3.19
26-Jun-23 (Mon) 08:00:00,3.56
26-Jun-23 (Mon) 08:30:00,12.8
26-Jun-23 (Mon) 09:00:00,12.56
26-Jun-23 (Mon) 09:30:00,12.96
26-Jun-23 (Mon) 10:00:00,10.75
26-Jun-23 (Mon) 10:30:00,10.96
26-Jun-23 (Mon) 11:00:00,13.57
26-Jun-23 (Mon) 11:30:00,13.82
26-Jun-23 (Mon) 12:00:00,11.84
26-Jun-23 (Mon) 12:30:00,7.42
26-Jun-23 (Mon) 13:00:00,7.19
26-Jun-23 (Mon) 13:30:00,6.62
26-Jun-23 (Mon) 14:00:00,6.0
26-Jun-23 (Mon) 14:30:00,6.44
26-Jun-23 (Mon) 15:00:00,5.32
26-Jun-23 (Mon) 15:30:00,4.31
26-Jun-23 (Mon) 16:00:00,4.48
26-Jun-23 (Mon) 16:30:00,3.69
26-Jun-23 (Mon) 17:00:00,3.28
26-Jun-23 (Mon) 17:30:00,2.44
26-Jun-23 (Mon) 18:00:00,1.85
26-Jun-23 (Mon) 18:30:00,0.56
26-Jun-23 (Mon) 19:00:00,0.58
26-Jun-23 (Mon) 19:30:00,1.25
26-Jun-23 (Mon) 20:00:00,0.53
26-Jun-23 (Mon) 20:30:00,0.54
26-Jun-23 (Mon) 21:00:00,0.48
26-Jun-23 (Mon) 21:30:00,0.45
26-Jun-23 (Mon) 22:00:00,0.93
26-Jun-23 (Mon) 22:30:00,0.97
26-Jun-23 (Mon) 23:00:00,0.63
26-Jun-23 (Mon) 23:30:00,0.56
27-Jun-23 (Tue) 00:00:00,0.52
27-Jun-23 (Tue) 00:30:00,0.53
27-Jun-23 (Tue) 01:00:00,0.58
27-Jun-23 (Tue) 01:30:00,0.54
27-Jun-23 (Tue) 02:00:00,0.53
27-Jun-23 (Tue) 02:30:00,0.54
27-Jun-23 (Tue) 03:00:00,0.55
27-Jun-23 (Tue) 03:30:00,0.5
27-Jun-23 (Tue) 04:00:00,0.47
27-Jun-23 (Tue) 04:30:00,0.48
27-Jun-23 (Tue) 05:00:00,0.48
27-Jun-23 (Tue) 05:30:00,0.49
27-Jun-23 (Tue) 06:00:00,0.39
27-Jun-23 (Tue) 06:30:00,1.01
27-Jun-23 (Tue) 07:00:00,1.4
27-Jun-23 (Tue) 07:30:00,2.3
27-Jun-23 (Tue) 08:00:00,2.8
27-Jun-23 (Tue) 08:30:00,12.59
27-Jun-23 (Tue) 09:00:00,12.72
27-Jun-23 (Tue) 09:30:00,13.14
27-Jun-23 (Tue) 10:00:00,12.96
27-Jun-23 (Tue) 10:30:00,13.22
27-Jun-23 (Tue) 11:00:00,13.52
27-Jun-23 (Tue) 11:30:00,10.75
27-Jun-23 (Tue) 12:00:00,13.21
27-Jun-23 (Tue) 12:30:00,10.19
27-Jun-23 (Tue) 13:00:00,8.93
27-Jun-23 (Tue) 13:30:00,7.38
27-Jun-23 (Tue) 14:00:00,7.43
27-Jun-23 (Tue) 14:30:00,7.0
27-Jun-23 (Tue) 15:00:00,6.32
27-Jun-23 (Tue) 15:30:00,5.43
27-Jun-23 (Tue) 16:00:00,4.31
27-Jun-23 (Tue) 16:30:00,4.11
27-Jun-23 (Tue) 17:00:00,3.6
27-Jun-23 (Tue) 17:30:00,3.05
27-Jun-23 (Tue) 18:00:00,2.1
27-Jun-23 (Tue) 18:30:00,0.76
27-Jun-23 (Tue) 19:00:00,0.67
27-Jun-23 (Tue) 19:30:00,0.54
27-Jun-23 (Tue) 20:00:00,0.5
27-Jun-23 (Tue) 20:30:00,0.53
27-Jun-23 (Tue) 21:00:00,0.72
27-Jun-23 (Tue) 21:30:00,0.52
27-Jun-23 (Tue) 22:00:00,0.52
27-Jun-23 (Tue) 22:30:00,0.52
27-Jun-23 (Tue) 23:00:00,0.53
27-Jun-23 (Tue) 23:30:00,0.53
28-Jun-23 (Wed) 00:00:00,0.64
28-Jun-23 (Wed) 00:30:00,0.64
28-Jun-23 (Wed) 01:00:00,0.66
28-Jun-23 (Wed) 01:30:00,0.6
28-Jun-23 (Wed) 02:00:00,0.6
28-Jun-23 (Wed) 02:30:00,0.53
28-Jun-23 (Wed) 03:00:00,0.62
28-Jun-23 (Wed) 03:30:00,0.54
28-Jun-23 (Wed) 04:00:00,0.53
28-Jun-23 (Wed) 04:30:00,0.53
28-Jun-23 (Wed) 05:00:00,0.49
28-Jun-23 (Wed) 05:30:00,0.8
28-Jun-23 (Wed) 06:00:00,0.46
28-Jun-23 (Wed) 06:30:00,0.86
28-Jun-23 (Wed) 07:00:00,1.27
28-Jun-23 (Wed) 07:30:00,3.48
28-Jun-23 (Wed) 08:00:00,3.79
28-Jun-23 (Wed) 08:30:00,11.98
28-Jun-23 (Wed) 09:00:00,12.34
28-Jun-23 (Wed) 09:30:00,12.96
28-Jun-23 (Wed) 10:00:00,12.07
28-Jun-23 (Wed) 10:30:00,12.65
28-Jun-23 (Wed) 11:00:00,11.43
28-Jun-23 (Wed) 11:30:00,12.67
28-Jun-23 (Wed) 12:00:00,11.72
28-Jun-23 (Wed) 12:30:00,8.08
28-Jun-23 (Wed) 13:00:00,8.52
28-Jun-23 (Wed) 13:30:00,7.44
28-Jun-23 (Wed) 14:00:00,5.91
28-Jun-23 (Wed) 14:30:00,6.02
28-Jun-23 (Wed) 15:00:00,5.07
28-Jun-23 (Wed) 15:30:00,4.24
28-Jun-23 (Wed) 16:00:00,4.17
28-Jun-23 (Wed) 16:30:00,2.93
28-Jun-23 (Wed) 17:00:00,2.89
28-Jun-23 (Wed) 17:30:00,2.79
28-Jun-23 (Wed) 18:00:00,2.14
28-Jun-23 (Wed) 18:30:00,0.84
28-Jun-23 (Wed) 19:00:00,0.58
28-Jun-23 (Wed) 19:30:00,1.11
28-Jun-23 (Wed) 20:00:00,0.65
28-Jun-23 (Wed) 20:30:00,0.48
28-Jun-23 (Wed) 21:00:00,0.47
28-Jun-23 (Wed) 21:30:00,0.47
28-Jun-23 (Wed) 22:00:00,0.49
28-Jun-23 (Wed) 22:30:00,0.49
28-Jun-23 (Wed) 23:00:00,0.66
28-Jun-23 (Wed) 23:30:00,0.51
29-Jun-23 (Thu) 00:00:00,0.5
29-Jun-23 (Thu) 00:30:00,0.48
29-Jun-23 (Thu) 01:00:00,0.49
29-Jun-23 (Thu) 01:30:00,0.51
29-Jun-23 (Thu) 02:00:00,0.51
29-Jun-23 (Thu) 02:30:00,0.5
29-Jun-23 (Thu) 03:00:00,0.5
29-Jun-23 (Thu) 03:30:00,0.52
29-Jun-23 (Thu) 04:00:00,0.52
29-Jun-23 (Thu) 04:30:00,0.51
29-Jun-23 (Thu) 05:00:00,0.5
29-Jun-23 (Thu) 05:30:00,0.5
29-Jun-23 (Thu) 06:00:00,0.51
29-Jun-23 (Thu) 06:30:00,0.62
29-Jun-23 (Thu) 07:00:00,1.86
29-Jun-23 (Thu) 07:30:00,2.62
29-Jun-23 (Thu) 08:00:00,3.73
29-Jun-23 (Thu) 08:30:00,10.78
29-Jun-23 (Thu) 09:00:00,10.63
29-Jun-23 (Thu) 09:30:00,10.96
29-Jun-23 (Thu) 10:00:00,13.12
29-Jun-23 (Thu) 10:30:00,13.13
29-Jun-23 (Thu) 11:00:00,12.69
29-Jun-23 (Thu) 11:30:00,13.98
29-Jun-23 (Thu) 12:00:00,13.33
29-Jun-23 (Thu) 12:30:00,8.44
29-Jun-23 (Thu) 13:00:00,9.76
29-Jun-23 (Thu) 13:30:00,9.19
29-Jun-23 (Thu) 14:00:00,6.81
29-Jun-23 (Thu) 14:30:00,6.66
29-Jun-23 (Thu) 15:00:00,5.55
29-Jun-23 (Thu) 15:30:00,5.44
29-Jun-23 (Thu) 16:00:00,3.88
29-Jun-23 (Thu) 16:30:00,3.91
29-Jun-23 (Thu) 17:00:00,3.97
29-Jun-23 (Thu) 17:30:00,3.15
29-Jun-23 (Thu) 18:00:00,1.77
29-Jun-23 (Thu) 18:30:00,0.72
29-Jun-23 (Thu) 19:00:00,0.67
29-Jun-23 (Thu) 19:30:00,1.0
29-Jun-23 (Thu) 20:00:00,0.48
29-Jun-23 (Thu) 20:30:00,0.55
29-Jun-23 (Thu) 21:00:00,0.47
29-Jun-23 (Thu) 21:30:00,0.46
29-Jun-23 (Thu) 22:00:00,0.43
29-Jun-23 (Thu) 22:30:00,0.75
29-Jun-23 (Thu) 23:00:00,0.59
29-Jun-23 (Thu) 23:30:00,0.51
30-Jun-23 (Fri) 00:00:00,0.47
30-Jun-23 (Fri) 00:30:00,0.43
30-Jun-23 (Fri) 01:00:00,0.48
30-Jun-23 (Fri) 01:30:00,0.46
30-Jun-23 (Fri) 02:00:00,0.43
30-Jun-23 (Fri) 02:30:00,0.47
30-Jun-23 (Fri) 03:00:00,0.43
30-Jun-23 (Fri) 03:30:00,0.43
30-Jun-23 (Fri) 04:00:00,0.48
30-Jun-23 (Fri) 04:30:00,0.48
30-Jun-23 (Fri) 05:00:00,0.47
30-Jun-23 (Fri) 05:30:00,0.52
30-Jun-23 (Fri) 06:00:00,0.53
30-Jun-23 (Fri) 06:30:00,0.4
30-Jun-23 (Fri) 07:00:00,2.65
30-Jun-23 (Fri) 07:30:00,2.37
30-Jun-23 (Fri) 08:00:00,4.41
30-Jun-23 (Fri) 08:30:00,13.17
30-Jun-23 (Fri) 09:00:00,12.39
30-Jun-23 (Fri) 09:30:00,12.32
30-Jun-23 (Fri) 10:00:00,12.03
30-Jun-23 (Fri) 10:30:00,12.1
30-Jun-23 (Fri) 11:00:00,14.97
30-Jun-23 (Fri) 11:30:00,14.28
30-Jun-23 (Fri) 12:00:00,12.4
30-Jun-23 (Fri) 12:30:00,7.52
30-Jun-23 (Fri) 13:00:00,7.41
30-Jun-23 (Fri) 13:30:00,9.44
30-Jun-23 (Fri) 14:00:00,8.3
30-Jun-23 (Fri) 14:30:00,8.8
30-Jun-23 (Fri) 15:00:00,7.49
30-Jun-23 (Fri) 15:30:00,6.89
30-Jun-23 (Fri) 16:00:00,5.91
30-Jun-23 (Fri) 16:30:00,4.86
30-Jun-23 (Fri) 17:00:00,2.81
30-Jun-23 (Fri) 17:30:00,2.68
30-Jun-23 (Fri) 18:00:00,1.61
30-Jun-23 (Fri) 18:30:00,0.78
30-Jun-23 (Fri) 19:00:00,0.73
30-Jun-23 (Fri) 19:30:00,0.59
30-Jun-23 (Fri) 20:00:00,0.59
