Datetime.1,350659-PNL2 MEI TAK HOUSE-AMP
24-Jun-23 (Sat) 00:00:00,79.01
24-Jun-23 (Sat) 00:30:00,74.86
24-Jun-23 (Sat) 01:00:00,69.14
24-Jun-23 (Sat) 01:30:00,66.62
24-Jun-23 (Sat) 02:00:00,65.36
24-Jun-23 (Sat) 02:30:00,65.98
24-Jun-23 (Sat) 03:00:00,60.11
24-Jun-23 (Sat) 03:30:00,59.1
24-Jun-23 (Sat) 04:00:00,58.14
24-Jun-23 (Sat) 04:30:00,63.92
24-Jun-23 (Sat) 05:00:00,60.11
24-Jun-23 (Sat) 05:30:00,62.73
24-Jun-23 (Sat) 06:00:00,63.59
24-Jun-23 (Sat) 06:30:00,65.39
24-Jun-23 (Sat) 07:00:00,83.77
24-Jun-23 (Sat) 07:30:00,88.75
24-Jun-23 (Sat) 08:00:00,101.02
24-Jun-23 (Sat) 08:30:00,113.35
24-Jun-23 (Sat) 09:00:00,118.47
24-Jun-23 (Sat) 09:30:00,118.95
24-Jun-23 (Sat) 10:00:00,121.4
24-Jun-23 (Sat) 10:30:00,128.99
24-Jun-23 (Sat) 11:00:00,130.68
24-Jun-23 (Sat) 11:30:00,133.5
24-Jun-23 (Sat) 12:00:00,129.73
24-Jun-23 (Sat) 12:30:00,125.43
24-Jun-23 (Sat) 13:00:00,123.98
24-Jun-23 (Sat) 13:30:00,120.01
24-Jun-23 (Sat) 14:00:00,120.15
24-Jun-23 (Sat) 14:30:00,118.81
24-Jun-23 (Sat) 15:00:00,114.76
24-Jun-23 (Sat) 15:30:00,115.96
24-Jun-23 (Sat) 16:00:00,111.87
24-Jun-23 (Sat) 16:30:00,110.48
24-Jun-23 (Sat) 17:00:00,111.42
24-Jun-23 (Sat) 17:30:00,109.58
24-Jun-23 (Sat) 18:00:00,111.06
24-Jun-23 (Sat) 18:30:00,112.32
24-Jun-23 (Sat) 19:00:00,114.6
24-Jun-23 (Sat) 19:30:00,114.51
24-Jun-23 (Sat) 20:00:00,111.87
24-Jun-23 (Sat) 20:30:00,110.97
24-Jun-23 (Sat) 21:00:00,106.72
24-Jun-23 (Sat) 21:30:00,100.85
24-Jun-23 (Sat) 22:00:00,96.79
24-Jun-23 (Sat) 22:30:00,93.28
24-Jun-23 (Sat) 23:00:00,82.75
24-Jun-23 (Sat) 23:30:00,74.8
25-Jun-23 (Sun) 00:00:00,74.16
25-Jun-23 (Sun) 00:30:00,69.09
25-Jun-23 (Sun) 01:00:00,66.59
25-Jun-23 (Sun) 01:30:00,64.85
25-Jun-23 (Sun) 02:00:00,60.23
25-Jun-23 (Sun) 02:30:00,57.42
25-Jun-23 (Sun) 03:00:00,55.04
25-Jun-23 (Sun) 03:30:00,54.38
25-Jun-23 (Sun) 04:00:00,55.83
25-Jun-23 (Sun) 04:30:00,57.01
25-Jun-23 (Sun) 05:00:00,58.23
25-Jun-23 (Sun) 05:30:00,58.67
25-Jun-23 (Sun) 06:00:00,61.4
25-Jun-23 (Sun) 06:30:00,65.13
25-Jun-23 (Sun) 07:00:00,76.33
25-Jun-23 (Sun) 07:30:00,83.21
25-Jun-23 (Sun) 08:00:00,90.96
25-Jun-23 (Sun) 08:30:00,100.86
25-Jun-23 (Sun) 09:00:00,102.91
25-Jun-23 (Sun) 09:30:00,107.41
25-Jun-23 (Sun) 10:00:00,110.03
25-Jun-23 (Sun) 10:30:00,113.3
