Datetime.2,350659-PNL3 CHUN YAN ST 3 RM B-AMP
24-Jun-23 (Sat) 00:00:00,78.43
24-Jun-23 (Sat) 00:30:00,74.48
24-Jun-23 (Sat) 01:00:00,68.47
24-Jun-23 (Sat) 01:30:00,65.98
24-Jun-23 (Sat) 02:00:00,64.65
24-Jun-23 (Sat) 02:30:00,65.36
24-Jun-23 (Sat) 03:00:00,59.43
24-Jun-23 (Sat) 03:30:00,58.14
24-Jun-23 (Sat) 04:00:00,57.34
24-Jun-23 (Sat) 04:30:00,63.33
24-Jun-23 (Sat) 05:00:00,59.3
24-Jun-23 (Sat) 05:30:00,62.15
24-Jun-23 (Sat) 06:00:00,62.94
24-Jun-23 (Sat) 06:30:00,64.85
24-Jun-23 (Sat) 07:00:00,82.17
24-Jun-23 (Sat) 07:30:00,86.98
24-Jun-23 (Sat) 08:00:00,98.51
24-Jun-23 (Sat) 08:30:00,105.37
24-Jun-23 (Sat) 09:00:00,109.5
24-Jun-23 (Sat) 09:30:00,110.49
24-Jun-23 (Sat) 10:00:00,114.32
24-Jun-23 (Sat) 10:30:00,121.07
24-Jun-23 (Sat) 11:00:00,122.32
24-Jun-23 (Sat) 11:30:00,125.48
24-Jun-23 (Sat) 12:00:00,121.68
24-Jun-23 (Sat) 12:30:00,117.56
24-Jun-23 (Sat) 13:00:00,116.32
24-Jun-23 (Sat) 13:30:00,113.79
24-Jun-23 (Sat) 14:00:00,113.9
24-Jun-23 (Sat) 14:30:00,114.84
24-Jun-23 (Sat) 15:00:00,113.01
24-Jun-23 (Sat) 15:30:00,113.8
24-Jun-23 (Sat) 16:00:00,110.75
24-Jun-23 (Sat) 16:30:00,109.1
24-Jun-23 (Sat) 17:00:00,109.84
24-Jun-23 (Sat) 17:30:00,108.6
24-Jun-23 (Sat) 18:00:00,110.39
24-Jun-23 (Sat) 18:30:00,111.99
24-Jun-23 (Sat) 19:00:00,114.12
24-Jun-23 (Sat) 19:30:00,114.05
