Datetime.2,361626-PNL3 WING SIN HSE-AMP
24-Jun-23 (Sat) 00:00:00,15.76
24-Jun-23 (Sat) 00:30:00,14.44
24-Jun-23 (Sat) 01:00:00,13.38
24-Jun-23 (Sat) 01:30:00,11.64
24-Jun-23 (Sat) 02:00:00,11.46
24-Jun-23 (Sat) 02:30:00,11.7
24-Jun-23 (Sat) 03:00:00,10.9
24-Jun-23 (Sat) 03:30:00,8.94
24-Jun-23 (Sat) 04:00:00,10.25
24-Jun-23 (Sat) 04:30:00,12.94
24-Jun-23 (Sat) 05:00:00,12.27
24-Jun-23 (Sat) 05:30:00,11.38
24-Jun-23 (Sat) 06:00:00,13.69
24-Jun-23 (Sat) 06:30:00,22.52
24-Jun-23 (Sat) 07:00:00,29.16
24-Jun-23 (Sat) 07:30:00,35.86
24-Jun-23 (Sat) 08:00:00,41.4
24-Jun-23 (Sat) 08:30:00,42.88
24-Jun-23 (Sat) 09:00:00,49.38
24-Jun-23 (Sat) 09:30:00,49.38
24-Jun-23 (Sat) 10:00:00,54.87
24-Jun-23 (Sat) 10:30:00,58.66
24-Jun-23 (Sat) 11:00:00,61.1
24-Jun-23 (Sat) 11:30:00,64.29
24-Jun-23 (Sat) 12:00:00,58.67
24-Jun-23 (Sat) 12:30:00,54.57
24-Jun-23 (Sat) 13:00:00,53.51
24-Jun-23 (Sat) 13:30:00,54.67
24-Jun-23 (Sat) 14:00:00,55.6
24-Jun-23 (Sat) 14:30:00,54.63
24-Jun-23 (Sat) 15:00:00,55.41
24-Jun-23 (Sat) 15:30:00,54.63
24-Jun-23 (Sat) 16:00:00,53.62
24-Jun-23 (Sat) 16:30:00,53.19
24-Jun-23 (Sat) 17:00:00,53.97
24-Jun-23 (Sat) 17:30:00,46.4
24-Jun-23 (Sat) 18:00:00,49.46
24-Jun-23 (Sat) 18:30:00,52.81
24-Jun-23 (Sat) 19:00:00,53.79
24-Jun-23 (Sat) 19:30:00,47.17
24-Jun-23 (Sat) 20:00:00,44.71
24-Jun-23 (Sat) 20:30:00,42.65
24-Jun-23 (Sat) 21:00:00,40.39
24-Jun-23 (Sat) 21:30:00,33.95
24-Jun-23 (Sat) 22:00:00,32.33
24-Jun-23 (Sat) 22:30:00,26.49
24-Jun-23 (Sat) 23:00:00,21.13
24-Jun-23 (Sat) 23:30:00,16.17
25-Jun-23 (Sun) 00:00:00,13.2
25-Jun-23 (Sun) 00:30:00,11.9
25-Jun-23 (Sun) 01:00:00,12.73
25-Jun-23 (Sun) 01:30:00,13.18
25-Jun-23 (Sun) 02:00:00,13.46
25-Jun-23 (Sun) 02:30:00,10.56
25-Jun-23 (Sun) 03:00:00,10.9
25-Jun-23 (Sun) 03:30:00,9.34
25-Jun-23 (Sun) 04:00:00,9.43
25-Jun-23 (Sun) 04:30:00,10.64
25-Jun-23 (Sun) 05:00:00,12.34
25-Jun-23 (Sun) 05:30:00,13.46
25-Jun-23 (Sun) 06:00:00,17.03
25-Jun-23 (Sun) 06:30:00,22.66
25-Jun-23 (Sun) 07:00:00,27.91
25-Jun-23 (Sun) 07:30:00,37.8
25-Jun-23 (Sun) 08:00:00,37.05
25-Jun-23 (Sun) 08:30:00,41.78
25-Jun-23 (Sun) 09:00:00,43.55
25-Jun-23 (Sun) 09:30:00,49.36
25-Jun-23 (Sun) 10:00:00,50.74
