Datetime,365435-PNL1 UPPER WTS PH 4 ^A^-AMP
24-Jun-23 (Sat) 00:00:00,48.3
24-Jun-23 (Sat) 00:30:00,44.94
24-Jun-23 (Sat) 01:00:00,39.61
24-Jun-23 (Sat) 01:30:00,39.35
24-Jun-23 (Sat) 02:00:00,40.15
24-Jun-23 (Sat) 02:30:00,38.64
24-Jun-23 (Sat) 03:00:00,37.14
24-Jun-23 (Sat) 03:30:00,36.24
24-Jun-23 (Sat) 04:00:00,34.96
24-Jun-23 (Sat) 04:30:00,38.1
24-Jun-23 (Sat) 05:00:00,35.62
24-Jun-23 (Sat) 05:30:00,35.89
24-Jun-23 (Sat) 06:00:00,38.0
24-Jun-23 (Sat) 06:30:00,42.68
24-Jun-23 (Sat) 07:00:00,53.62
24-Jun-23 (Sat) 07:30:00,56.7
24-Jun-23 (Sat) 08:00:00,59.3
24-Jun-23 (Sat) 08:30:00,65.36
24-Jun-23 (Sat) 09:00:00,69.32
24-Jun-23 (Sat) 09:30:00,68.39
24-Jun-23 (Sat) 10:00:00,71.12
24-Jun-23 (Sat) 10:30:00,73.08
24-Jun-23 (Sat) 11:00:00,79.26
24-Jun-23 (Sat) 11:30:00,80.11
24-Jun-23 (Sat) 12:00:00,73.6
24-Jun-23 (Sat) 12:30:00,74.68
24-Jun-23 (Sat) 13:00:00,72.6
24-Jun-23 (Sat) 13:30:00,70.18
24-Jun-23 (Sat) 14:00:00,71.81
24-Jun-23 (Sat) 14:30:00,70.96
24-Jun-23 (Sat) 15:00:00,71.66
24-Jun-23 (Sat) 15:30:00,70.57
24-Jun-23 (Sat) 16:00:00,69.89
24-Jun-23 (Sat) 16:30:00,71.12
24-Jun-23 (Sat) 17:00:00,68.85
24-Jun-23 (Sat) 17:30:00,67.63
24-Jun-23 (Sat) 18:00:00,66.94
24-Jun-23 (Sat) 18:30:00,72.04
24-Jun-23 (Sat) 19:00:00,72.6
24-Jun-23 (Sat) 19:30:00,71.15
24-Jun-23 (Sat) 20:00:00,68.65
24-Jun-23 (Sat) 20:30:00,67.89
24-Jun-23 (Sat) 21:00:00,65.69
24-Jun-23 (Sat) 21:30:00,61.59
24-Jun-23 (Sat) 22:00:00,59.08
24-Jun-23 (Sat) 22:30:00,57.44
24-Jun-23 (Sat) 23:00:00,51.55
24-Jun-23 (Sat) 23:30:00,45.56
25-Jun-23 (Sun) 00:00:00,44.88
25-Jun-23 (Sun) 00:30:00,40.57
25-Jun-23 (Sun) 01:00:00,39.58
25-Jun-23 (Sun) 01:30:00,38.3
25-Jun-23 (Sun) 02:00:00,38.15
25-Jun-23 (Sun) 02:30:00,33.2
25-Jun-23 (Sun) 03:00:00,33.91
25-Jun-23 (Sun) 03:30:00,31.63
25-Jun-23 (Sun) 04:00:00,32.91
25-Jun-23 (Sun) 04:30:00,34.13
25-Jun-23 (Sun) 05:00:00,33.68
25-Jun-23 (Sun) 05:30:00,35.36
25-Jun-23 (Sun) 06:00:00,37.66
25-Jun-23 (Sun) 06:30:00,41.86
25-Jun-23 (Sun) 07:00:00,47.91
25-Jun-23 (Sun) 07:30:00,55.33
25-Jun-23 (Sun) 08:00:00,57.7
25-Jun-23 (Sun) 08:30:00,64.88
25-Jun-23 (Sun) 09:00:00,62.14
25-Jun-23 (Sun) 09:30:00,68.07
25-Jun-23 (Sun) 10:00:00,70.85
25-Jun-23 (Sun) 10:30:00,72.01
25-Jun-23 (Sun) 11:00:00,69.35
25-Jun-23 (Sun) 11:30:00,72.33
25-Jun-23 (Sun) 12:00:00,74.18
25-Jun-23 (Sun) 12:30:00,71.7
25-Jun-23 (Sun) 13:00:00,71.11
25-Jun-23 (Sun) 13:30:00,71.25
25-Jun-23 (Sun) 14:00:00,71.55
25-Jun-23 (Sun) 14:30:00,70.27
25-Jun-23 (Sun) 15:00:00,71.81
25-Jun-23 (Sun) 15:30:00,70.24
25-Jun-23 (Sun) 16:00:00,66.58
25-Jun-23 (Sun) 16:30:00,69.89
25-Jun-23 (Sun) 17:00:00,69.38
25-Jun-23 (Sun) 17:30:00,69.84
25-Jun-23 (Sun) 18:00:00,72.8
25-Jun-23 (Sun) 18:30:00,72.15
25-Jun-23 (Sun) 19:00:00,72.54
25-Jun-23 (Sun) 19:30:00,75.55
25-Jun-23 (Sun) 20:00:00,73.52
25-Jun-23 (Sun) 20:30:00,70.83
25-Jun-23 (Sun) 21:00:00,70.31
25-Jun-23 (Sun) 21:30:00,66.36
25-Jun-23 (Sun) 22:00:00,62.44
25-Jun-23 (Sun) 22:30:00,58.78
25-Jun-23 (Sun) 23:00:00,56.57
25-Jun-23 (Sun) 23:30:00,45.88
26-Jun-23 (Mon) 00:00:00,43.6
26-Jun-23 (Mon) 00:30:00,40.25
26-Jun-23 (Mon) 01:00:00,40.74
26-Jun-23 (Mon) 01:30:00,37.78
26-Jun-23 (Mon) 02:00:00,37.46
26-Jun-23 (Mon) 02:30:00,33.88
26-Jun-23 (Mon) 03:00:00,32.62
26-Jun-23 (Mon) 03:30:00,32.73
26-Jun-23 (Mon) 04:00:00,32.01
26-Jun-23 (Mon) 04:30:00,33.34
26-Jun-23 (Mon) 05:00:00,31.68
26-Jun-23 (Mon) 05:30:00,32.23
26-Jun-23 (Mon) 06:00:00,34.87
26-Jun-23 (Mon) 06:30:00,39.11
26-Jun-23 (Mon) 07:00:00,48.43
26-Jun-23 (Mon) 07:30:00,52.67
26-Jun-23 (Mon) 08:00:00,46.46
26-Jun-23 (Mon) 08:30:00,50.84
26-Jun-23 (Mon) 09:00:00,53.19
26-Jun-23 (Mon) 09:30:00,54.09
26-Jun-23 (Mon) 10:00:00,57.08
26-Jun-23 (Mon) 10:30:00,58.53
26-Jun-23 (Mon) 11:00:00,60.44
26-Jun-23 (Mon) 11:30:00,62.72
26-Jun-23 (Mon) 12:00:00,62.14
26-Jun-23 (Mon) 12:30:00,64.07
26-Jun-23 (Mon) 13:00:00,64.44
26-Jun-23 (Mon) 13:30:00,63.42
26-Jun-23 (Mon) 14:00:00,68.04
26-Jun-23 (Mon) 14:30:00,59.31
26-Jun-23 (Mon) 15:00:00,64.06
26-Jun-23 (Mon) 15:30:00,59.82
26-Jun-23 (Mon) 16:00:00,60.84
26-Jun-23 (Mon) 16:30:00,55.3
26-Jun-23 (Mon) 17:00:00,61.11
26-Jun-23 (Mon) 17:30:00,58.93
26-Jun-23 (Mon) 18:00:00,58.95
26-Jun-23 (Mon) 18:30:00,66.76
26-Jun-23 (Mon) 19:00:00,71.46
26-Jun-23 (Mon) 19:30:00,73.7
26-Jun-23 (Mon) 20:00:00,71.87
26-Jun-23 (Mon) 20:30:00,67.38
26-Jun-23 (Mon) 21:00:00,68.25
26-Jun-23 (Mon) 21:30:00,61.46
26-Jun-23 (Mon) 22:00:00,65.55
26-Jun-23 (Mon) 22:30:00,55.09
26-Jun-23 (Mon) 23:00:00,52.74
26-Jun-23 (Mon) 23:30:00,44.77
27-Jun-23 (Tue) 00:00:00,41.84
27-Jun-23 (Tue) 00:30:00,42.85
27-Jun-23 (Tue) 01:00:00,41.12
27-Jun-23 (Tue) 01:30:00,36.47
27-Jun-23 (Tue) 02:00:00,36.32
27-Jun-23 (Tue) 02:30:00,34.58
27-Jun-23 (Tue) 03:00:00,32.96
27-Jun-23 (Tue) 03:30:00,31.57
27-Jun-23 (Tue) 04:00:00,33.57
27-Jun-23 (Tue) 04:30:00,34.36
27-Jun-23 (Tue) 05:00:00,33.89
27-Jun-23 (Tue) 05:30:00,32.84
27-Jun-23 (Tue) 06:00:00,34.62
27-Jun-23 (Tue) 06:30:00,37.77
27-Jun-23 (Tue) 07:00:00,51.29
27-Jun-23 (Tue) 07:30:00,52.57
27-Jun-23 (Tue) 08:00:00,50.14
27-Jun-23 (Tue) 08:30:00,51.26
27-Jun-23 (Tue) 09:00:00,57.02
27-Jun-23 (Tue) 09:30:00,60.67
27-Jun-23 (Tue) 10:00:00,60.59
27-Jun-23 (Tue) 10:30:00,61.33
27-Jun-23 (Tue) 11:00:00,63.48
27-Jun-23 (Tue) 11:30:00,67.4
27-Jun-23 (Tue) 12:00:00,68.96
27-Jun-23 (Tue) 12:30:00,64.21
27-Jun-23 (Tue) 13:00:00,62.65
27-Jun-23 (Tue) 13:30:00,64.13
27-Jun-23 (Tue) 14:00:00,65.26
27-Jun-23 (Tue) 14:30:00,64.58
27-Jun-23 (Tue) 15:00:00,62.58
27-Jun-23 (Tue) 15:30:00,65.0
27-Jun-23 (Tue) 16:00:00,60.15
27-Jun-23 (Tue) 16:30:00,62.44
27-Jun-23 (Tue) 17:00:00,59.43
27-Jun-23 (Tue) 17:30:00,59.72
27-Jun-23 (Tue) 18:00:00,61.42
27-Jun-23 (Tue) 18:30:00,66.41
27-Jun-23 (Tue) 19:00:00,71.86
27-Jun-23 (Tue) 19:30:00,72.37
27-Jun-23 (Tue) 20:00:00,68.87
27-Jun-23 (Tue) 20:30:00,67.54
27-Jun-23 (Tue) 21:00:00,69.44
27-Jun-23 (Tue) 21:30:00,63.43
27-Jun-23 (Tue) 22:00:00,61.94
27-Jun-23 (Tue) 22:30:00,57.57
27-Jun-23 (Tue) 23:00:00,53.77
27-Jun-23 (Tue) 23:30:00,45.92
28-Jun-23 (Wed) 00:00:00,45.15
28-Jun-23 (Wed) 00:30:00,45.11
28-Jun-23 (Wed) 01:00:00,43.15
28-Jun-23 (Wed) 01:30:00,38.9
28-Jun-23 (Wed) 02:00:00,38.41
28-Jun-23 (Wed) 02:30:00,36.26
28-Jun-23 (Wed) 03:00:00,35.31
28-Jun-23 (Wed) 03:30:00,32.81
28-Jun-23 (Wed) 04:00:00,32.5
28-Jun-23 (Wed) 04:30:00,33.45
28-Jun-23 (Wed) 05:00:00,35.26
28-Jun-23 (Wed) 05:30:00,34.71
28-Jun-23 (Wed) 06:00:00,36.41
28-Jun-23 (Wed) 06:30:00,41.29
28-Jun-23 (Wed) 07:00:00,47.93
28-Jun-23 (Wed) 07:30:00,50.33
28-Jun-23 (Wed) 08:00:00,48.4
28-Jun-23 (Wed) 08:30:00,51.27
28-Jun-23 (Wed) 09:00:00,53.77
28-Jun-23 (Wed) 09:30:00,56.17
28-Jun-23 (Wed) 10:00:00,58.6
28-Jun-23 (Wed) 10:30:00,59.24
28-Jun-23 (Wed) 11:00:00,58.75
28-Jun-23 (Wed) 11:30:00,65.43
28-Jun-23 (Wed) 12:00:00,66.15
28-Jun-23 (Wed) 12:30:00,63.65
28-Jun-23 (Wed) 13:00:00,62.73
28-Jun-23 (Wed) 13:30:00,63.14
28-Jun-23 (Wed) 14:00:00,59.3
28-Jun-23 (Wed) 14:30:00,61.08
28-Jun-23 (Wed) 15:00:00,60.05
28-Jun-23 (Wed) 15:30:00,55.83
28-Jun-23 (Wed) 16:00:00,57.45
28-Jun-23 (Wed) 16:30:00,57.68
28-Jun-23 (Wed) 17:00:00,57.44
28-Jun-23 (Wed) 17:30:00,60.23
28-Jun-23 (Wed) 18:00:00,60.12
28-Jun-23 (Wed) 18:30:00,68.1
28-Jun-23 (Wed) 19:00:00,73.06
28-Jun-23 (Wed) 19:30:00,71.86
28-Jun-23 (Wed) 20:00:00,75.82
28-Jun-23 (Wed) 20:30:00,71.08
28-Jun-23 (Wed) 21:00:00,64.42
28-Jun-23 (Wed) 21:30:00,67.02
28-Jun-23 (Wed) 22:00:00,60.95
28-Jun-23 (Wed) 22:30:00,48.68
28-Jun-23 (Wed) 23:00:00,50.86
28-Jun-23 (Wed) 23:30:00,43.69
29-Jun-23 (Thu) 00:00:00,41.81
29-Jun-23 (Thu) 00:30:00,38.85
29-Jun-23 (Thu) 01:00:00,40.77
29-Jun-23 (Thu) 01:30:00,36.96
29-Jun-23 (Thu) 02:00:00,36.96
29-Jun-23 (Thu) 02:30:00,32.94
29-Jun-23 (Thu) 03:00:00,34.88
29-Jun-23 (Thu) 03:30:00,33.3
29-Jun-23 (Thu) 04:00:00,30.69
29-Jun-23 (Thu) 04:30:00,32.38
29-Jun-23 (Thu) 05:00:00,32.2
29-Jun-23 (Thu) 05:30:00,29.82
29-Jun-23 (Thu) 06:00:00,35.33
29-Jun-23 (Thu) 06:30:00,41.38
29-Jun-23 (Thu) 07:00:00,52.25
29-Jun-23 (Thu) 07:30:00,54.73
29-Jun-23 (Thu) 08:00:00,51.21
29-Jun-23 (Thu) 08:30:00,52.35
29-Jun-23 (Thu) 09:00:00,53.25
29-Jun-23 (Thu) 09:30:00,59.07
29-Jun-23 (Thu) 10:00:00,61.91
29-Jun-23 (Thu) 10:30:00,60.3
29-Jun-23 (Thu) 11:00:00,63.59
29-Jun-23 (Thu) 11:30:00,65.58
29-Jun-23 (Thu) 12:00:00,64.26
29-Jun-23 (Thu) 12:30:00,63.4
29-Jun-23 (Thu) 13:00:00,65.1
29-Jun-23 (Thu) 13:30:00,63.95
29-Jun-23 (Thu) 14:00:00,59.57
29-Jun-23 (Thu) 14:30:00,59.08
29-Jun-23 (Thu) 15:00:00,60.61
29-Jun-23 (Thu) 15:30:00,57.47
29-Jun-23 (Thu) 16:00:00,58.6
29-Jun-23 (Thu) 16:30:00,58.53
29-Jun-23 (Thu) 17:00:00,57.44
29-Jun-23 (Thu) 17:30:00,61.53
29-Jun-23 (Thu) 18:00:00,60.37
29-Jun-23 (Thu) 18:30:00,69.86
29-Jun-23 (Thu) 19:00:00,75.62
29-Jun-23 (Thu) 19:30:00,75.18
29-Jun-23 (Thu) 20:00:00,73.31
29-Jun-23 (Thu) 20:30:00,70.86
29-Jun-23 (Thu) 21:00:00,64.88
29-Jun-23 (Thu) 21:30:00,65.14
29-Jun-23 (Thu) 22:00:00,64.85
29-Jun-23 (Thu) 22:30:00,59.66
29-Jun-23 (Thu) 23:00:00,53.59
29-Jun-23 (Thu) 23:30:00,43.87
30-Jun-23 (Fri) 00:00:00,42.92
30-Jun-23 (Fri) 00:30:00,42.39
30-Jun-23 (Fri) 01:00:00,41.17
30-Jun-23 (Fri) 01:30:00,40.28
30-Jun-23 (Fri) 02:00:00,38.39
30-Jun-23 (Fri) 02:30:00,36.42
30-Jun-23 (Fri) 03:00:00,36.48
30-Jun-23 (Fri) 03:30:00,36.24
30-Jun-23 (Fri) 04:00:00,35.65
30-Jun-23 (Fri) 04:30:00,35.43
30-Jun-23 (Fri) 05:00:00,34.88
30-Jun-23 (Fri) 05:30:00,34.88
30-Jun-23 (Fri) 06:00:00,40.22
30-Jun-23 (Fri) 06:30:00,42.94
30-Jun-23 (Fri) 07:00:00,53.93
30-Jun-23 (Fri) 07:30:00,56.05
30-Jun-23 (Fri) 08:00:00,51.23
30-Jun-23 (Fri) 08:30:00,57.15
30-Jun-23 (Fri) 09:00:00,58.79
30-Jun-23 (Fri) 09:30:00,55.94
30-Jun-23 (Fri) 10:00:00,56.57
30-Jun-23 (Fri) 10:30:00,62.61
30-Jun-23 (Fri) 11:00:00,61.4
30-Jun-23 (Fri) 11:30:00,68.74
30-Jun-23 (Fri) 12:00:00,66.67
30-Jun-23 (Fri) 12:30:00,62.07
30-Jun-23 (Fri) 13:00:00,63.1
30-Jun-23 (Fri) 13:30:00,63.13
30-Jun-23 (Fri) 14:00:00,63.88
30-Jun-23 (Fri) 14:30:00,66.03
30-Jun-23 (Fri) 15:00:00,63.86
30-Jun-23 (Fri) 15:30:00,61.63
30-Jun-23 (Fri) 16:00:00,62.2
30-Jun-23 (Fri) 16:30:00,58.12
30-Jun-23 (Fri) 17:00:00,61.36
30-Jun-23 (Fri) 17:30:00,61.86
30-Jun-23 (Fri) 18:00:00,63.86
30-Jun-23 (Fri) 18:30:00,65.4
30-Jun-23 (Fri) 19:00:00,72.56
30-Jun-23 (Fri) 19:30:00,71.21
30-Jun-23 (Fri) 20:00:00,74.83
30-Jun-23 (Fri) 20:30:00,72.73
30-Jun-23 (Fri) 21:00:00,70.82
30-Jun-23 (Fri) 21:30:00,64.12
30-Jun-23 (Fri) 22:00:00,64.58
30-Jun-23 (Fri) 22:30:00,55.59
30-Jun-23 (Fri) 23:00:00,56.92
30-Jun-23 (Fri) 23:30:00,47.75
01-Jul-23 (Sat) 00:00:00,46.89
01-Jul-23 (Sat) 00:30:00,40.76
01-Jul-23 (Sat) 01:00:00,43.09
01-Jul-23 (Sat) 01:30:00,40.12
01-Jul-23 (Sat) 02:00:00,41.47
01-Jul-23 (Sat) 02:30:00,36.1
01-Jul-23 (Sat) 03:00:00,37.93
01-Jul-23 (Sat) 03:30:00,34.15
01-Jul-23 (Sat) 04:00:00,35.62
01-Jul-23 (Sat) 04:30:00,35.58
01-Jul-23 (Sat) 05:00:00,34.38
01-Jul-23 (Sat) 05:30:00,37.29
01-Jul-23 (Sat) 06:00:00,41.38
01-Jul-23 (Sat) 06:30:00,44.59
01-Jul-23 (Sat) 07:00:00,55.12
01-Jul-23 (Sat) 07:30:00,59.94
01-Jul-23 (Sat) 08:00:00,59.34
01-Jul-23 (Sat) 08:30:00,61.2
01-Jul-23 (Sat) 09:00:00,63.31
01-Jul-23 (Sat) 09:30:00,59.89
01-Jul-23 (Sat) 10:00:00,69.93
01-Jul-23 (Sat) 10:30:00,73.85
01-Jul-23 (Sat) 11:00:00,68.8
01-Jul-23 (Sat) 11:30:00,73.4
01-Jul-23 (Sat) 12:00:00,74.4
01-Jul-23 (Sat) 12:30:00,66.96
01-Jul-23 (Sat) 13:00:00,70.73
01-Jul-23 (Sat) 13:30:00,70.65
01-Jul-23 (Sat) 14:00:00,69.41
01-Jul-23 (Sat) 14:30:00,65.81
01-Jul-23 (Sat) 15:00:00,67.55
01-Jul-23 (Sat) 15:30:00,70.33
01-Jul-23 (Sat) 16:00:00,67.84
01-Jul-23 (Sat) 16:30:00,70.42
01-Jul-23 (Sat) 17:00:00,68.99
01-Jul-23 (Sat) 17:30:00,70.77
01-Jul-23 (Sat) 18:00:00,70.15
01-Jul-23 (Sat) 18:30:00,71.41
01-Jul-23 (Sat) 19:00:00,70.33
01-Jul-23 (Sat) 19:30:00,67.8
01-Jul-23 (Sat) 20:00:00,67.34
01-Jul-23 (Sat) 20:30:00,63.42
01-Jul-23 (Sat) 21:00:00,64.12
01-Jul-23 (Sat) 21:30:00,62.44
01-Jul-23 (Sat) 22:00:00,59.14
01-Jul-23 (Sat) 22:30:00,51.42
01-Jul-23 (Sat) 23:00:00,48.77
01-Jul-23 (Sat) 23:30:00,44.4
02-Jul-23 (Sun) 00:00:00,41.64
02-Jul-23 (Sun) 00:30:00,41.67
02-Jul-23 (Sun) 01:00:00,40.21
02-Jul-23 (Sun) 01:30:00,38.61
02-Jul-23 (Sun) 02:00:00,36.94
02-Jul-23 (Sun) 02:30:00,36.18
02-Jul-23 (Sun) 03:00:00,35.11
02-Jul-23 (Sun) 03:30:00,33.95
02-Jul-23 (Sun) 04:00:00,32.62
02-Jul-23 (Sun) 04:30:00,32.96
02-Jul-23 (Sun) 05:00:00,32.47
02-Jul-23 (Sun) 05:30:00,31.68
02-Jul-23 (Sun) 06:00:00,39.32
02-Jul-23 (Sun) 06:30:00,43.21
02-Jul-23 (Sun) 07:00:00,50.58
02-Jul-23 (Sun) 07:30:00,57.28
02-Jul-23 (Sun) 08:00:00,55.76
02-Jul-23 (Sun) 08:30:00,54.34
02-Jul-23 (Sun) 09:00:00,61.71
02-Jul-23 (Sun) 09:30:00,69.64
02-Jul-23 (Sun) 10:00:00,64.81
02-Jul-23 (Sun) 10:30:00,71.08
02-Jul-23 (Sun) 11:00:00,69.67
02-Jul-23 (Sun) 11:30:00,69.73
02-Jul-23 (Sun) 12:00:00,73.06
02-Jul-23 (Sun) 12:30:00,67.92
02-Jul-23 (Sun) 13:00:00,71.7
02-Jul-23 (Sun) 13:30:00,66.26
02-Jul-23 (Sun) 14:00:00,68.64
02-Jul-23 (Sun) 14:30:00,67.37
02-Jul-23 (Sun) 15:00:00,64.35
02-Jul-23 (Sun) 15:30:00,69.32
02-Jul-23 (Sun) 16:00:00,66.41
02-Jul-23 (Sun) 16:30:00,68.41
02-Jul-23 (Sun) 17:00:00,67.13
02-Jul-23 (Sun) 17:30:00,67.35
02-Jul-23 (Sun) 18:00:00,69.55
02-Jul-23 (Sun) 18:30:00,72.6
02-Jul-23 (Sun) 19:00:00,70.57
02-Jul-23 (Sun) 19:30:00,70.13
02-Jul-23 (Sun) 20:00:00,70.48
02-Jul-23 (Sun) 20:30:00,67.09
02-Jul-23 (Sun) 21:00:00,61.01
02-Jul-23 (Sun) 21:30:00,61.68
02-Jul-23 (Sun) 22:00:00,56.64
02-Jul-23 (Sun) 22:30:00,55.79
02-Jul-23 (Sun) 23:00:00,45.76
02-Jul-23 (Sun) 23:30:00,44.34
03-Jul-23 (Mon) 00:00:00,42.97
03-Jul-23 (Mon) 00:30:00,39.12
03-Jul-23 (Mon) 01:00:00,39.95
03-Jul-23 (Mon) 01:30:00,36.39
03-Jul-23 (Mon) 02:00:00,34.71
03-Jul-23 (Mon) 02:30:00,34.94
03-Jul-23 (Mon) 03:00:00,31.14
03-Jul-23 (Mon) 03:30:00,30.9
03-Jul-23 (Mon) 04:00:00,30.9
03-Jul-23 (Mon) 04:30:00,30.96
03-Jul-23 (Mon) 05:00:00,30.35
03-Jul-23 (Mon) 05:30:00,33.13
03-Jul-23 (Mon) 06:00:00,38.42
03-Jul-23 (Mon) 06:30:00,40.18
03-Jul-23 (Mon) 07:00:00,47.91
03-Jul-23 (Mon) 07:30:00,54.06
03-Jul-23 (Mon) 08:00:00,47.62
03-Jul-23 (Mon) 08:30:00,49.18
03-Jul-23 (Mon) 09:00:00,54.58
03-Jul-23 (Mon) 09:30:00,58.64
03-Jul-23 (Mon) 10:00:00,56.26
03-Jul-23 (Mon) 10:30:00,63.3
03-Jul-23 (Mon) 11:00:00,64.47
03-Jul-23 (Mon) 11:30:00,67.26
03-Jul-23 (Mon) 12:00:00,63.25
03-Jul-23 (Mon) 12:30:00,62.67
03-Jul-23 (Mon) 13:00:00,60.91
03-Jul-23 (Mon) 13:30:00,62.93
03-Jul-23 (Mon) 14:00:00,64.94
03-Jul-23 (Mon) 14:30:00,59.16
03-Jul-23 (Mon) 15:00:00,59.16
