Datetime.3,365435-PNL4 L/TX D2-AMP
24-Jun-23 (Sat) 00:00:00,18.31
24-Jun-23 (Sat) 00:30:00,17.18
24-Jun-23 (Sat) 01:00:00,16.65
24-Jun-23 (Sat) 01:30:00,16.14
24-Jun-23 (Sat) 02:00:00,15.05
24-Jun-23 (Sat) 02:30:00,16.09
24-Jun-23 (Sat) 03:00:00,14.47
24-Jun-23 (Sat) 03:30:00,14.83
24-Jun-23 (Sat) 04:00:00,14.08
24-Jun-23 (Sat) 04:30:00,14.9
24-Jun-23 (Sat) 05:00:00,13.85
24-Jun-23 (Sat) 05:30:00,14.07
24-Jun-23 (Sat) 06:00:00,12.46
24-Jun-23 (Sat) 06:30:00,11.58
24-Jun-23 (Sat) 07:00:00,12.15
24-Jun-23 (Sat) 07:30:00,11.65
24-Jun-23 (Sat) 08:00:00,10.48
24-Jun-23 (Sat) 08:30:00,9.56
24-Jun-23 (Sat) 09:00:00,10.4
24-Jun-23 (Sat) 09:30:00,9.72
24-Jun-23 (Sat) 10:00:00,9.3
24-Jun-23 (Sat) 10:30:00,8.37
24-Jun-23 (Sat) 11:00:00,8.58
24-Jun-23 (Sat) 11:30:00,7.84
24-Jun-23 (Sat) 12:00:00,7.42
24-Jun-23 (Sat) 12:30:00,8.6
24-Jun-23 (Sat) 13:00:00,8.22
24-Jun-23 (Sat) 13:30:00,9.42
24-Jun-23 (Sat) 14:00:00,8.71
24-Jun-23 (Sat) 14:30:00,9.36
24-Jun-23 (Sat) 15:00:00,8.22
24-Jun-23 (Sat) 15:30:00,8.35
24-Jun-23 (Sat) 16:00:00,8.62
24-Jun-23 (Sat) 16:30:00,9.29
24-Jun-23 (Sat) 17:00:00,9.08
24-Jun-23 (Sat) 17:30:00,9.56
24-Jun-23 (Sat) 18:00:00,9.33
24-Jun-23 (Sat) 18:30:00,11.16
24-Jun-23 (Sat) 19:00:00,10.94
24-Jun-23 (Sat) 19:30:00,12.7
24-Jun-23 (Sat) 20:00:00,14.08
24-Jun-23 (Sat) 20:30:00,12.84
24-Jun-23 (Sat) 21:00:00,14.93
24-Jun-23 (Sat) 21:30:00,14.31
24-Jun-23 (Sat) 22:00:00,16.43
24-Jun-23 (Sat) 22:30:00,16.33
24-Jun-23 (Sat) 23:00:00,15.16
24-Jun-23 (Sat) 23:30:00,15.96
25-Jun-23 (Sun) 00:00:00,16.1
25-Jun-23 (Sun) 00:30:00,16.32
25-Jun-23 (Sun) 01:00:00,15.41
25-Jun-23 (Sun) 01:30:00,14.39
25-Jun-23 (Sun) 02:00:00,13.33
25-Jun-23 (Sun) 02:30:00,12.99
25-Jun-23 (Sun) 03:00:00,12.64
25-Jun-23 (Sun) 03:30:00,12.4
25-Jun-23 (Sun) 04:00:00,12.59
25-Jun-23 (Sun) 04:30:00,11.95
25-Jun-23 (Sun) 05:00:00,12.46
25-Jun-23 (Sun) 05:30:00,11.41
25-Jun-23 (Sun) 06:00:00,11.61
25-Jun-23 (Sun) 06:30:00,10.42
25-Jun-23 (Sun) 07:00:00,11.05
25-Jun-23 (Sun) 07:30:00,10.04
25-Jun-23 (Sun) 08:00:00,10.82
25-Jun-23 (Sun) 08:30:00,10.67
25-Jun-23 (Sun) 09:00:00,10.77
25-Jun-23 (Sun) 09:30:00,9.89
25-Jun-23 (Sun) 10:00:00,10.24
25-Jun-23 (Sun) 10:30:00,9.63
25-Jun-23 (Sun) 11:00:00,9.35
25-Jun-23 (Sun) 11:30:00,9.57
25-Jun-23 (Sun) 12:00:00,10.46
25-Jun-23 (Sun) 12:30:00,8.9
25-Jun-23 (Sun) 13:00:00,9.04
25-Jun-23 (Sun) 13:30:00,9.46
25-Jun-23 (Sun) 14:00:00,9.17
25-Jun-23 (Sun) 14:30:00,9.28
25-Jun-23 (Sun) 15:00:00,9.57
25-Jun-23 (Sun) 15:30:00,9.46
