Datetime.1,371611-PNL2 BISHOP FORD MEM SCH-AMP
24-Jun-23 (Sat) 00:00:00,78.84
24-Jun-23 (Sat) 00:30:00,74.4
24-Jun-23 (Sat) 01:00:00,69.9
24-Jun-23 (Sat) 01:30:00,66.59
24-Jun-23 (Sat) 02:00:00,65.28
24-Jun-23 (Sat) 02:30:00,65.63
24-Jun-23 (Sat) 03:00:00,60.59
24-Jun-23 (Sat) 03:30:00,58.63
24-Jun-23 (Sat) 04:00:00,57.68
24-Jun-23 (Sat) 04:30:00,63.16
24-Jun-23 (Sat) 05:00:00,59.53
24-Jun-23 (Sat) 05:30:00,62.69
24-Jun-23 (Sat) 06:00:00,62.69
24-Jun-23 (Sat) 06:30:00,64.91
24-Jun-23 (Sat) 07:00:00,82.84
24-Jun-23 (Sat) 07:30:00,87.97
24-Jun-23 (Sat) 08:00:00,100.62
24-Jun-23 (Sat) 08:30:00,104.85
24-Jun-23 (Sat) 09:00:00,109.78
24-Jun-23 (Sat) 09:30:00,111.71
24-Jun-23 (Sat) 10:00:00,115.79
24-Jun-23 (Sat) 10:30:00,121.07
24-Jun-23 (Sat) 11:00:00,123.04
24-Jun-23 (Sat) 11:30:00,125.75
24-Jun-23 (Sat) 12:00:00,123.94
24-Jun-23 (Sat) 12:30:00,118.81
24-Jun-23 (Sat) 13:00:00,117.73
24-Jun-23 (Sat) 13:30:00,114.31
24-Jun-23 (Sat) 14:00:00,114.15
24-Jun-23 (Sat) 14:30:00,115.19
24-Jun-23 (Sat) 15:00:00,111.97
24-Jun-23 (Sat) 15:30:00,114.15
24-Jun-23 (Sat) 16:00:00,112.78
24-Jun-23 (Sat) 16:30:00,109.81
24-Jun-23 (Sat) 17:00:00,112.25
24-Jun-23 (Sat) 17:30:00,109.91
24-Jun-23 (Sat) 18:00:00,111.94
24-Jun-23 (Sat) 18:30:00,113.03
24-Jun-23 (Sat) 19:00:00,114.47
24-Jun-23 (Sat) 19:30:00,114.34
24-Jun-23 (Sat) 20:00:00,121.01
24-Jun-23 (Sat) 20:30:00,110.97
24-Jun-23 (Sat) 21:00:00,105.47
24-Jun-23 (Sat) 21:30:00,101.09
