Datetime,381789-PNL1 L/TX D3-AMP
24-Jun-23 (Sat) 00:00:00,12.41
24-Jun-23 (Sat) 00:30:00,15.4
24-Jun-23 (Sat) 01:00:00,11.67
24-Jun-23 (Sat) 01:30:00,11.78
24-Jun-23 (Sat) 02:00:00,11.15
24-Jun-23 (Sat) 02:30:00,11.49
24-Jun-23 (Sat) 03:00:00,11.5
24-Jun-23 (Sat) 03:30:00,11.31
24-Jun-23 (Sat) 04:00:00,12.05
24-Jun-23 (Sat) 04:30:00,11.04
24-Jun-23 (Sat) 05:00:00,10.46
24-Jun-23 (Sat) 05:30:00,10.97
24-Jun-23 (Sat) 06:00:00,9.33
24-Jun-23 (Sat) 06:30:00,9.91
24-Jun-23 (Sat) 07:00:00,9.99
24-Jun-23 (Sat) 07:30:00,10.87
24-Jun-23 (Sat) 08:00:00,9.8
24-Jun-23 (Sat) 08:30:00,9.46
24-Jun-23 (Sat) 09:00:00,8.87
24-Jun-23 (Sat) 09:30:00,8.71
24-Jun-23 (Sat) 10:00:00,8.64
24-Jun-23 (Sat) 10:30:00,7.48
24-Jun-23 (Sat) 11:00:00,12.26
24-Jun-23 (Sat) 11:30:00,9.0
24-Jun-23 (Sat) 12:00:00,8.04
24-Jun-23 (Sat) 12:30:00,8.46
24-Jun-23 (Sat) 13:00:00,7.68
24-Jun-23 (Sat) 13:30:00,7.61
24-Jun-23 (Sat) 14:00:00,9.54
24-Jun-23 (Sat) 14:30:00,7.93
24-Jun-23 (Sat) 15:00:00,11.58
24-Jun-23 (Sat) 15:30:00,7.8
24-Jun-23 (Sat) 16:00:00,8.14
24-Jun-23 (Sat) 16:30:00,9.51
24-Jun-23 (Sat) 17:00:00,7.52
24-Jun-23 (Sat) 17:30:00,8.24
24-Jun-23 (Sat) 18:00:00,8.71
24-Jun-23 (Sat) 18:30:00,9.44
24-Jun-23 (Sat) 19:00:00,11.93
24-Jun-23 (Sat) 19:30:00,13.2
24-Jun-23 (Sat) 20:00:00,15.75
24-Jun-23 (Sat) 20:30:00,12.83
24-Jun-23 (Sat) 21:00:00,15.9
24-Jun-23 (Sat) 21:30:00,13.52
24-Jun-23 (Sat) 22:00:00,13.38
24-Jun-23 (Sat) 22:30:00,14.09
24-Jun-23 (Sat) 23:00:00,13.81
24-Jun-23 (Sat) 23:30:00,12.42
25-Jun-23 (Sun) 00:00:00,12.61
25-Jun-23 (Sun) 00:30:00,11.97
25-Jun-23 (Sun) 01:00:00,12.49
25-Jun-23 (Sun) 01:30:00,10.69
25-Jun-23 (Sun) 02:00:00,10.76
25-Jun-23 (Sun) 02:30:00,10.83
25-Jun-23 (Sun) 03:00:00,10.39
25-Jun-23 (Sun) 03:30:00,10.6
25-Jun-23 (Sun) 04:00:00,10.01
25-Jun-23 (Sun) 04:30:00,11.03
25-Jun-23 (Sun) 05:00:00,9.54
25-Jun-23 (Sun) 05:30:00,9.3
25-Jun-23 (Sun) 06:00:00,8.58
25-Jun-23 (Sun) 06:30:00,9.17
25-Jun-23 (Sun) 07:00:00,9.86
25-Jun-23 (Sun) 07:30:00,9.72
25-Jun-23 (Sun) 08:00:00,8.6
25-Jun-23 (Sun) 08:30:00,9.1
25-Jun-23 (Sun) 09:00:00,8.0
25-Jun-23 (Sun) 09:30:00,9.11
25-Jun-23 (Sun) 10:00:00,9.8
25-Jun-23 (Sun) 10:30:00,8.18
25-Jun-23 (Sun) 11:00:00,7.92
25-Jun-23 (Sun) 11:30:00,12.16
25-Jun-23 (Sun) 12:00:00,8.31
25-Jun-23 (Sun) 12:30:00,8.53
25-Jun-23 (Sun) 13:00:00,7.93
25-Jun-23 (Sun) 13:30:00,7.63
25-Jun-23 (Sun) 14:00:00,8.05
25-Jun-23 (Sun) 14:30:00,8.88
25-Jun-23 (Sun) 15:00:00,8.92
25-Jun-23 (Sun) 15:30:00,8.09
25-Jun-23 (Sun) 16:00:00,9.14
25-Jun-23 (Sun) 16:30:00,7.92
25-Jun-23 (Sun) 17:00:00,9.08
25-Jun-23 (Sun) 17:30:00,13.76
25-Jun-23 (Sun) 18:00:00,9.9
25-Jun-23 (Sun) 18:30:00,9.35
25-Jun-23 (Sun) 19:00:00,10.93
25-Jun-23 (Sun) 19:30:00,17.88
25-Jun-23 (Sun) 20:00:00,13.52
25-Jun-23 (Sun) 20:30:00,13.22
25-Jun-23 (Sun) 21:00:00,17.06
25-Jun-23 (Sun) 21:30:00,16.85
25-Jun-23 (Sun) 22:00:00,17.14
25-Jun-23 (Sun) 22:30:00,17.92
25-Jun-23 (Sun) 23:00:00,13.88
25-Jun-23 (Sun) 23:30:00,13.29
26-Jun-23 (Mon) 00:00:00,14.93
26-Jun-23 (Mon) 00:30:00,11.84
26-Jun-23 (Mon) 01:00:00,12.58
26-Jun-23 (Mon) 01:30:00,11.27
26-Jun-23 (Mon) 02:00:00,11.05
26-Jun-23 (Mon) 02:30:00,10.64
26-Jun-23 (Mon) 03:00:00,11.15
26-Jun-23 (Mon) 03:30:00,10.46
26-Jun-23 (Mon) 04:00:00,10.0
26-Jun-23 (Mon) 04:30:00,10.15
26-Jun-23 (Mon) 05:00:00,9.75
26-Jun-23 (Mon) 05:30:00,10.12
26-Jun-23 (Mon) 06:00:00,9.34
26-Jun-23 (Mon) 06:30:00,9.9
26-Jun-23 (Mon) 07:00:00,11.39
26-Jun-23 (Mon) 07:30:00,8.06
26-Jun-23 (Mon) 08:00:00,8.56
26-Jun-23 (Mon) 08:30:00,8.18
26-Jun-23 (Mon) 09:00:00,8.25
26-Jun-23 (Mon) 09:30:00,7.2
26-Jun-23 (Mon) 10:00:00,10.79
26-Jun-23 (Mon) 10:30:00,7.08
26-Jun-23 (Mon) 11:00:00,7.81
26-Jun-23 (Mon) 11:30:00,7.84
26-Jun-23 (Mon) 12:00:00,8.33
26-Jun-23 (Mon) 12:30:00,7.27
26-Jun-23 (Mon) 13:00:00,7.78
26-Jun-23 (Mon) 13:30:00,9.72
26-Jun-23 (Mon) 14:00:00,7.81
26-Jun-23 (Mon) 14:30:00,7.12
26-Jun-23 (Mon) 15:00:00,7.35
26-Jun-23 (Mon) 15:30:00,8.35
26-Jun-23 (Mon) 16:00:00,6.98
26-Jun-23 (Mon) 16:30:00,7.12
26-Jun-23 (Mon) 17:00:00,8.35
26-Jun-23 (Mon) 17:30:00,8.8
26-Jun-23 (Mon) 18:00:00,9.08
26-Jun-23 (Mon) 18:30:00,11.29
26-Jun-23 (Mon) 19:00:00,10.7
26-Jun-23 (Mon) 19:30:00,12.79
26-Jun-23 (Mon) 20:00:00,13.72
26-Jun-23 (Mon) 20:30:00,15.08
26-Jun-23 (Mon) 21:00:00,13.75
26-Jun-23 (Mon) 21:30:00,14.39
26-Jun-23 (Mon) 22:00:00,19.24
26-Jun-23 (Mon) 22:30:00,15.82
26-Jun-23 (Mon) 23:00:00,16.16
26-Jun-23 (Mon) 23:30:00,14.79
27-Jun-23 (Tue) 00:00:00,11.51
27-Jun-23 (Tue) 00:30:00,12.5
27-Jun-23 (Tue) 01:00:00,11.52
27-Jun-23 (Tue) 01:30:00,11.26
27-Jun-23 (Tue) 02:00:00,11.59
27-Jun-23 (Tue) 02:30:00,10.04
27-Jun-23 (Tue) 03:00:00,9.84
27-Jun-23 (Tue) 03:30:00,11.66
27-Jun-23 (Tue) 04:00:00,9.72
27-Jun-23 (Tue) 04:30:00,10.06
27-Jun-23 (Tue) 05:00:00,10.21
27-Jun-23 (Tue) 05:30:00,9.93
27-Jun-23 (Tue) 06:00:00,9.08
27-Jun-23 (Tue) 06:30:00,9.88
27-Jun-23 (Tue) 07:00:00,10.22
27-Jun-23 (Tue) 07:30:00,9.75
27-Jun-23 (Tue) 08:00:00,8.58
27-Jun-23 (Tue) 08:30:00,9.75
27-Jun-23 (Tue) 09:00:00,7.79
27-Jun-23 (Tue) 09:30:00,7.63
27-Jun-23 (Tue) 10:00:00,6.78
27-Jun-23 (Tue) 10:30:00,6.75
27-Jun-23 (Tue) 11:00:00,9.33
27-Jun-23 (Tue) 11:30:00,7.28
27-Jun-23 (Tue) 12:00:00,7.28
27-Jun-23 (Tue) 12:30:00,6.92
27-Jun-23 (Tue) 13:00:00,6.68
27-Jun-23 (Tue) 13:30:00,6.86
27-Jun-23 (Tue) 14:00:00,7.19
27-Jun-23 (Tue) 14:30:00,7.51
27-Jun-23 (Tue) 15:00:00,7.45
27-Jun-23 (Tue) 15:30:00,7.67
27-Jun-23 (Tue) 16:00:00,7.63
27-Jun-23 (Tue) 16:30:00,8.11
27-Jun-23 (Tue) 17:00:00,8.53
27-Jun-23 (Tue) 17:30:00,7.89
27-Jun-23 (Tue) 18:00:00,9.32
27-Jun-23 (Tue) 18:30:00,11.73
27-Jun-23 (Tue) 19:00:00,11.93
27-Jun-23 (Tue) 19:30:00,14.59
27-Jun-23 (Tue) 20:00:00,13.89
27-Jun-23 (Tue) 20:30:00,15.2
27-Jun-23 (Tue) 21:00:00,14.9
27-Jun-23 (Tue) 21:30:00,20.17
27-Jun-23 (Tue) 22:00:00,14.4
27-Jun-23 (Tue) 22:30:00,15.54
27-Jun-23 (Tue) 23:00:00,19.62
27-Jun-23 (Tue) 23:30:00,13.74
28-Jun-23 (Wed) 00:00:00,12.76
28-Jun-23 (Wed) 00:30:00,12.45
28-Jun-23 (Wed) 01:00:00,16.38
28-Jun-23 (Wed) 01:30:00,11.44
28-Jun-23 (Wed) 02:00:00,11.17
28-Jun-23 (Wed) 02:30:00,11.05
28-Jun-23 (Wed) 03:00:00,11.2
28-Jun-23 (Wed) 03:30:00,10.75
28-Jun-23 (Wed) 04:00:00,12.31
28-Jun-23 (Wed) 04:30:00,9.77
28-Jun-23 (Wed) 05:00:00,9.51
28-Jun-23 (Wed) 05:30:00,9.51
28-Jun-23 (Wed) 06:00:00,8.98
28-Jun-23 (Wed) 06:30:00,8.64
28-Jun-23 (Wed) 07:00:00,9.7
28-Jun-23 (Wed) 07:30:00,9.21
28-Jun-23 (Wed) 08:00:00,9.65
28-Jun-23 (Wed) 08:30:00,8.77
28-Jun-23 (Wed) 09:00:00,8.34
28-Jun-23 (Wed) 09:30:00,8.49
28-Jun-23 (Wed) 10:00:00,6.84
28-Jun-23 (Wed) 10:30:00,7.54
28-Jun-23 (Wed) 11:00:00,8.73
28-Jun-23 (Wed) 11:30:00,7.23
28-Jun-23 (Wed) 12:00:00,7.6
28-Jun-23 (Wed) 12:30:00,7.89
28-Jun-23 (Wed) 13:00:00,7.79
28-Jun-23 (Wed) 13:30:00,8.8
28-Jun-23 (Wed) 14:00:00,7.43
28-Jun-23 (Wed) 14:30:00,6.6
28-Jun-23 (Wed) 15:00:00,8.11
28-Jun-23 (Wed) 15:30:00,7.4
28-Jun-23 (Wed) 16:00:00,6.82
28-Jun-23 (Wed) 16:30:00,7.26
28-Jun-23 (Wed) 17:00:00,8.64
28-Jun-23 (Wed) 17:30:00,10.39
28-Jun-23 (Wed) 18:00:00,8.79
28-Jun-23 (Wed) 18:30:00,11.08
28-Jun-23 (Wed) 19:00:00,11.79
28-Jun-23 (Wed) 19:30:00,11.43
28-Jun-23 (Wed) 20:00:00,18.2
28-Jun-23 (Wed) 20:30:00,12.73
28-Jun-23 (Wed) 21:00:00,13.2
28-Jun-23 (Wed) 21:30:00,17.93
28-Jun-23 (Wed) 22:00:00,15.28
28-Jun-23 (Wed) 22:30:00,14.34
28-Jun-23 (Wed) 23:00:00,13.12
