Datetime,JUN P23
24-Jun-23 (Sat) 00:00:00,85.87
24-Jun-23 (Sat) 00:30:00,86.3
24-Jun-23 (Sat) 01:00:00,77.81
24-Jun-23 (Sat) 01:30:00,77.85
24-Jun-23 (Sat) 02:00:00,75.85
24-Jun-23 (Sat) 02:30:00,71.47
24-Jun-23 (Sat) 03:00:00,69.37
24-Jun-23 (Sat) 03:30:00,68.42
24-Jun-23 (Sat) 04:00:00,68.45
24-Jun-23 (Sat) 04:30:00,68.54
24-Jun-23 (Sat) 05:00:00,67.55
24-Jun-23 (Sat) 05:30:00,69.65
24-Jun-23 (Sat) 06:00:00,76.64
24-Jun-23 (Sat) 06:30:00,74.32
24-Jun-23 (Sat) 07:00:00,88.23
24-Jun-23 (Sat) 07:30:00,91.35
24-Jun-23 (Sat) 08:00:00,100.17
24-Jun-23 (Sat) 08:30:00,105.54
24-Jun-23 (Sat) 09:00:00,109.52
24-Jun-23 (Sat) 09:30:00,113.81
24-Jun-23 (Sat) 10:00:00,115.45
24-Jun-23 (Sat) 10:30:00,116.32
24-Jun-23 (Sat) 11:00:00,121.28
24-Jun-23 (Sat) 11:30:00,121.75
24-Jun-23 (Sat) 12:00:00,115.05
24-Jun-23 (Sat) 12:30:00,116.01
24-Jun-23 (Sat) 13:00:00,118.0
24-Jun-23 (Sat) 13:30:00,115.15
24-Jun-23 (Sat) 14:00:00,112.3
24-Jun-23 (Sat) 14:30:00,112.26
24-Jun-23 (Sat) 15:00:00,112.02
24-Jun-23 (Sat) 15:30:00,109.45
24-Jun-23 (Sat) 16:00:00,108.26
24-Jun-23 (Sat) 16:30:00,107.92
24-Jun-23 (Sat) 17:00:00,106.58
24-Jun-23 (Sat) 17:30:00,111.09
24-Jun-23 (Sat) 18:00:00,110.71
24-Jun-23 (Sat) 18:30:00,115.43
24-Jun-23 (Sat) 19:00:00,117.6
24-Jun-23 (Sat) 19:30:00,117.86
24-Jun-23 (Sat) 20:00:00,118.52
24-Jun-23 (Sat) 20:30:00,114.06
24-Jun-23 (Sat) 21:00:00,110.49
24-Jun-23 (Sat) 21:30:00,114.95
24-Jun-23 (Sat) 22:00:00,108.6
24-Jun-23 (Sat) 22:30:00,98.14
24-Jun-23 (Sat) 23:00:00,93.95
24-Jun-23 (Sat) 23:30:00,86.13
25-Jun-23 (Sun) 00:00:00,84.78
25-Jun-23 (Sun) 00:30:00,78.0
25-Jun-23 (Sun) 01:00:00,73.42
25-Jun-23 (Sun) 01:30:00,71.18
25-Jun-23 (Sun) 02:00:00,68.98
25-Jun-23 (Sun) 02:30:00,64.76
25-Jun-23 (Sun) 03:00:00,62.71
25-Jun-23 (Sun) 03:30:00,64.81
25-Jun-23 (Sun) 04:00:00,61.99
25-Jun-23 (Sun) 04:30:00,64.31
25-Jun-23 (Sun) 05:00:00,63.02
25-Jun-23 (Sun) 05:30:00,63.54
25-Jun-23 (Sun) 06:00:00,70.81
25-Jun-23 (Sun) 06:30:00,70.78
25-Jun-23 (Sun) 07:00:00,84.97
25-Jun-23 (Sun) 07:30:00,88.01
25-Jun-23 (Sun) 08:00:00,94.4
25-Jun-23 (Sun) 08:30:00,96.66
25-Jun-23 (Sun) 09:00:00,103.23
25-Jun-23 (Sun) 09:30:00,109.23
25-Jun-23 (Sun) 10:00:00,111.98
25-Jun-23 (Sun) 10:30:00,109.13
25-Jun-23 (Sun) 11:00:00,116.66
25-Jun-23 (Sun) 11:30:00,113.37
25-Jun-23 (Sun) 12:00:00,109.03
25-Jun-23 (Sun) 12:30:00,109.96
25-Jun-23 (Sun) 13:00:00,112.62
25-Jun-23 (Sun) 13:30:00,109.88
25-Jun-23 (Sun) 14:00:00,109.05
