Datetime.2,JUN P36
24-Jun-23 (Sat) 00:00:00,97.74
24-Jun-23 (Sat) 00:30:00,96.88
24-Jun-23 (Sat) 01:00:00,87.97
24-Jun-23 (Sat) 01:30:00,88.61
24-Jun-23 (Sat) 02:00:00,86.26
24-Jun-23 (Sat) 02:30:00,81.38
24-Jun-23 (Sat) 03:00:00,79.82
24-Jun-23 (Sat) 03:30:00,77.47
24-Jun-23 (Sat) 04:00:00,78.18
24-Jun-23 (Sat) 04:30:00,77.47
24-Jun-23 (Sat) 05:00:00,77.47
24-Jun-23 (Sat) 05:30:00,80.4
24-Jun-23 (Sat) 06:00:00,92.64
24-Jun-23 (Sat) 06:30:00,89.97
24-Jun-23 (Sat) 07:00:00,108.14
24-Jun-23 (Sat) 07:30:00,112.93
24-Jun-23 (Sat) 08:00:00,119.86
24-Jun-23 (Sat) 08:30:00,127.37
24-Jun-23 (Sat) 09:00:00,135.75
24-Jun-23 (Sat) 09:30:00,139.66
24-Jun-23 (Sat) 10:00:00,142.7
24-Jun-23 (Sat) 10:30:00,144.86
24-Jun-23 (Sat) 11:00:00,149.98
24-Jun-23 (Sat) 11:30:00,151.45
24-Jun-23 (Sat) 12:00:00,143.24
24-Jun-23 (Sat) 12:30:00,145.87
24-Jun-23 (Sat) 13:00:00,147.81
24-Jun-23 (Sat) 13:30:00,142.71
24-Jun-23 (Sat) 14:00:00,139.88
24-Jun-23 (Sat) 14:30:00,142.15
24-Jun-23 (Sat) 15:00:00,140.26
24-Jun-23 (Sat) 15:30:00,139.93
24-Jun-23 (Sat) 16:00:00,135.83
24-Jun-23 (Sat) 16:30:00,136.17
24-Jun-23 (Sat) 17:00:00,134.26
24-Jun-23 (Sat) 17:30:00,138.11
24-Jun-23 (Sat) 18:00:00,138.5
24-Jun-23 (Sat) 18:30:00,144.54
24-Jun-23 (Sat) 19:00:00,143.8
24-Jun-23 (Sat) 19:30:00,144.87
24-Jun-23 (Sat) 20:00:00,144.98
24-Jun-23 (Sat) 20:30:00,139.39
24-Jun-23 (Sat) 21:00:00,138.6
24-Jun-23 (Sat) 21:30:00,141.82
24-Jun-23 (Sat) 22:00:00,133.15
24-Jun-23 (Sat) 22:30:00,116.88
24-Jun-23 (Sat) 23:00:00,112.63
24-Jun-23 (Sat) 23:30:00,97.01
25-Jun-23 (Sun) 00:00:00,93.86
25-Jun-23 (Sun) 00:30:00,87.04
25-Jun-23 (Sun) 01:00:00,85.02
25-Jun-23 (Sun) 01:30:00,78.18
25-Jun-23 (Sun) 02:00:00,78.45
25-Jun-23 (Sun) 02:30:00,73.57
25-Jun-23 (Sun) 03:00:00,71.61
25-Jun-23 (Sun) 03:30:00,72.0
25-Jun-23 (Sun) 04:00:00,70.44
25-Jun-23 (Sun) 04:30:00,72.98
25-Jun-23 (Sun) 05:00:00,74.02
25-Jun-23 (Sun) 05:30:00,71.62
25-Jun-23 (Sun) 06:00:00,86.68
25-Jun-23 (Sun) 06:30:00,88.81
25-Jun-23 (Sun) 07:00:00,103.21
25-Jun-23 (Sun) 07:30:00,107.07
25-Jun-23 (Sun) 08:00:00,114.07
25-Jun-23 (Sun) 08:30:00,116.55
25-Jun-23 (Sun) 09:00:00,127.36
25-Jun-23 (Sun) 09:30:00,133.74
25-Jun-23 (Sun) 10:00:00,140.32
25-Jun-23 (Sun) 10:30:00,139.38
25-Jun-23 (Sun) 11:00:00,145.15
25-Jun-23 (Sun) 11:30:00,142.22
25-Jun-23 (Sun) 12:00:00,138.86
25-Jun-23 (Sun) 12:30:00,139.75
25-Jun-23 (Sun) 13:00:00,145.04
25-Jun-23 (Sun) 13:30:00,140.32
25-Jun-23 (Sun) 14:00:00,139.75
25-Jun-23 (Sun) 14:30:00,138.66
25-Jun-23 (Sun) 15:00:00,135.12
25-Jun-23 (Sun) 15:30:00,139.55
25-Jun-23 (Sun) 16:00:00,138.12
25-Jun-23 (Sun) 16:30:00,134.08
25-Jun-23 (Sun) 17:00:00,137.44
25-Jun-23 (Sun) 17:30:00,139.39
25-Jun-23 (Sun) 18:00:00,142.51
25-Jun-23 (Sun) 18:30:00,144.86
25-Jun-23 (Sun) 19:00:00,147.15
25-Jun-23 (Sun) 19:30:00,149.15
25-Jun-23 (Sun) 20:00:00,146.96
25-Jun-23 (Sun) 20:30:00,145.6
25-Jun-23 (Sun) 21:00:00,140.02
25-Jun-23 (Sun) 21:30:00,144.62
25-Jun-23 (Sun) 22:00:00,138.32
25-Jun-23 (Sun) 22:30:00,122.48
25-Jun-23 (Sun) 23:00:00,112.64
25-Jun-23 (Sun) 23:30:00,98.08
26-Jun-23 (Mon) 00:00:00,92.12
26-Jun-23 (Mon) 00:30:00,89.19
26-Jun-23 (Mon) 01:00:00,86.97
26-Jun-23 (Mon) 01:30:00,80.14
26-Jun-23 (Mon) 02:00:00,80.4
26-Jun-23 (Mon) 02:30:00,75.52
26-Jun-23 (Mon) 03:00:00,75.14
26-Jun-23 (Mon) 03:30:00,72.59
26-Jun-23 (Mon) 04:00:00,72.59
26-Jun-23 (Mon) 04:30:00,70.64
26-Jun-23 (Mon) 05:00:00,77.57
26-Jun-23 (Mon) 05:30:00,75.64
26-Jun-23 (Mon) 06:00:00,82.75
26-Jun-23 (Mon) 06:30:00,87.07
26-Jun-23 (Mon) 07:00:00,101.57
26-Jun-23 (Mon) 07:30:00,110.09
26-Jun-23 (Mon) 08:00:00,116.93
26-Jun-23 (Mon) 08:30:00,128.07
26-Jun-23 (Mon) 09:00:00,139.57
26-Jun-23 (Mon) 09:30:00,143.24
26-Jun-23 (Mon) 10:00:00,148.06
26-Jun-23 (Mon) 10:30:00,150.04
26-Jun-23 (Mon) 11:00:00,155.97
26-Jun-23 (Mon) 11:30:00,150.85
26-Jun-23 (Mon) 12:00:00,157.94
26-Jun-23 (Mon) 12:30:00,156.33
26-Jun-23 (Mon) 13:00:00,155.14
26-Jun-23 (Mon) 13:30:00,155.0
26-Jun-23 (Mon) 14:00:00,155.17
26-Jun-23 (Mon) 14:30:00,151.7
26-Jun-23 (Mon) 15:00:00,152.77
26-Jun-23 (Mon) 15:30:00,152.55
26-Jun-23 (Mon) 16:00:00,153.81
26-Jun-23 (Mon) 16:30:00,148.77
26-Jun-23 (Mon) 17:00:00,151.61
26-Jun-23 (Mon) 17:30:00,149.15
26-Jun-23 (Mon) 18:00:00,150.48
26-Jun-23 (Mon) 18:30:00,157.29
26-Jun-23 (Mon) 19:00:00,154.92
26-Jun-23 (Mon) 19:30:00,154.32
26-Jun-23 (Mon) 20:00:00,152.33
26-Jun-23 (Mon) 20:30:00,147.27
26-Jun-23 (Mon) 21:00:00,143.59
26-Jun-23 (Mon) 21:30:00,144.96
26-Jun-23 (Mon) 22:00:00,134.7
26-Jun-23 (Mon) 22:30:00,117.52
26-Jun-23 (Mon) 23:00:00,112.63
26-Jun-23 (Mon) 23:30:00,96.72
27-Jun-23 (Tue) 00:00:00,92.45
27-Jun-23 (Tue) 00:30:00,86.3
27-Jun-23 (Tue) 01:00:00,84.04
27-Jun-23 (Tue) 01:30:00,81.38
27-Jun-23 (Tue) 02:00:00,77.48
27-Jun-23 (Tue) 02:30:00,75.52
27-Jun-23 (Tue) 03:00:00,73.3
27-Jun-23 (Tue) 03:30:00,72.27
27-Jun-23 (Tue) 04:00:00,72.32
27-Jun-23 (Tue) 04:30:00,70.37
27-Jun-23 (Tue) 05:00:00,75.14
27-Jun-23 (Tue) 05:30:00,75.91
27-Jun-23 (Tue) 06:00:00,84.13
27-Jun-23 (Tue) 06:30:00,86.26
27-Jun-23 (Tue) 07:00:00,106.16
27-Jun-23 (Tue) 07:30:00,113.01
27-Jun-23 (Tue) 08:00:00,120.54
27-Jun-23 (Tue) 08:30:00,130.87
27-Jun-23 (Tue) 09:00:00,147.32
27-Jun-23 (Tue) 09:30:00,146.82
27-Jun-23 (Tue) 10:00:00,145.73
27-Jun-23 (Tue) 10:30:00,149.75
27-Jun-23 (Tue) 11:00:00,161.76
27-Jun-23 (Tue) 11:30:00,161.53
27-Jun-23 (Tue) 12:00:00,160.51
27-Jun-23 (Tue) 12:30:00,154.61
27-Jun-23 (Tue) 13:00:00,154.45
27-Jun-23 (Tue) 13:30:00,161.53
27-Jun-23 (Tue) 14:00:00,155.89
27-Jun-23 (Tue) 14:30:00,154.23
27-Jun-23 (Tue) 15:00:00,151.87
27-Jun-23 (Tue) 15:30:00,153.92
27-Jun-23 (Tue) 16:00:00,149.78
27-Jun-23 (Tue) 16:30:00,149.81
27-Jun-23 (Tue) 17:00:00,151.7
27-Jun-23 (Tue) 17:30:00,152.73
27-Jun-23 (Tue) 18:00:00,156.19
27-Jun-23 (Tue) 18:30:00,156.87
27-Jun-23 (Tue) 19:00:00,155.45
27-Jun-23 (Tue) 19:30:00,154.21
27-Jun-23 (Tue) 20:00:00,152.68
27-Jun-23 (Tue) 20:30:00,149.35
27-Jun-23 (Tue) 21:00:00,145.8
27-Jun-23 (Tue) 21:30:00,146.17
27-Jun-23 (Tue) 22:00:00,138.57
27-Jun-23 (Tue) 22:30:00,121.43
27-Jun-23 (Tue) 23:00:00,117.89
27-Jun-23 (Tue) 23:30:00,98.96
28-Jun-23 (Wed) 00:00:00,94.79
28-Jun-23 (Wed) 00:30:00,92.44
28-Jun-23 (Wed) 01:00:00,86.0
28-Jun-23 (Wed) 01:30:00,82.09
28-Jun-23 (Wed) 02:00:00,82.36
28-Jun-23 (Wed) 02:30:00,78.18
28-Jun-23 (Wed) 03:00:00,76.29
28-Jun-23 (Wed) 03:30:00,74.55
28-Jun-23 (Wed) 04:00:00,74.54
28-Jun-23 (Wed) 04:30:00,76.89
28-Jun-23 (Wed) 05:00:00,81.74
28-Jun-23 (Wed) 05:30:00,74.55
28-Jun-23 (Wed) 06:00:00,82.66
28-Jun-23 (Wed) 06:30:00,94.44
28-Jun-23 (Wed) 07:00:00,108.07
28-Jun-23 (Wed) 07:30:00,112.51
28-Jun-23 (Wed) 08:00:00,121.38
28-Jun-23 (Wed) 08:30:00,130.64
28-Jun-23 (Wed) 09:00:00,136.46
28-Jun-23 (Wed) 09:30:00,138.55
28-Jun-23 (Wed) 10:00:00,149.3
28-Jun-23 (Wed) 10:30:00,147.8
28-Jun-23 (Wed) 11:00:00,150.26
28-Jun-23 (Wed) 11:30:00,154.38
28-Jun-23 (Wed) 12:00:00,152.96
28-Jun-23 (Wed) 12:30:00,152.67
28-Jun-23 (Wed) 13:00:00,150.72
28-Jun-23 (Wed) 13:30:00,153.02
28-Jun-23 (Wed) 14:00:00,149.04
28-Jun-23 (Wed) 14:30:00,145.8
28-Jun-23 (Wed) 15:00:00,142.7
28-Jun-23 (Wed) 15:30:00,143.49
28-Jun-23 (Wed) 16:00:00,145.25
28-Jun-23 (Wed) 16:30:00,142.87
28-Jun-23 (Wed) 17:00:00,146.63
28-Jun-23 (Wed) 17:30:00,149.93
28-Jun-23 (Wed) 18:00:00,150.87
28-Jun-23 (Wed) 18:30:00,151.43
28-Jun-23 (Wed) 19:00:00,154.47
28-Jun-23 (Wed) 19:30:00,151.99
28-Jun-23 (Wed) 20:00:00,149.38
28-Jun-23 (Wed) 20:30:00,144.75
28-Jun-23 (Wed) 21:00:00,140.58
28-Jun-23 (Wed) 21:30:00,144.16
28-Jun-23 (Wed) 22:00:00,131.57
28-Jun-23 (Wed) 22:30:00,112.74
28-Jun-23 (Wed) 23:00:00,110.7
28-Jun-23 (Wed) 23:30:00,94.24
29-Jun-23 (Thu) 00:00:00,89.24
29-Jun-23 (Thu) 00:30:00,85.04
29-Jun-23 (Thu) 01:00:00,85.29
29-Jun-23 (Thu) 01:30:00,81.19
29-Jun-23 (Thu) 02:00:00,79.16
29-Jun-23 (Thu) 02:30:00,74.35
29-Jun-23 (Thu) 03:00:00,75.23
29-Jun-23 (Thu) 03:30:00,72.59
29-Jun-23 (Thu) 04:00:00,71.64
29-Jun-23 (Thu) 04:30:00,73.57
29-Jun-23 (Thu) 05:00:00,73.96
29-Jun-23 (Thu) 05:30:00,76.09
29-Jun-23 (Thu) 06:00:00,86.77
29-Jun-23 (Thu) 06:30:00,90.7
29-Jun-23 (Thu) 07:00:00,110.87
29-Jun-23 (Thu) 07:30:00,116.84
29-Jun-23 (Thu) 08:00:00,120.1
29-Jun-23 (Thu) 08:30:00,131.58
29-Jun-23 (Thu) 09:00:00,142.07
29-Jun-23 (Thu) 09:30:00,147.99
29-Jun-23 (Thu) 10:00:00,150.93
29-Jun-23 (Thu) 10:30:00,149.83
29-Jun-23 (Thu) 11:00:00,154.39
29-Jun-23 (Thu) 11:30:00,155.42
29-Jun-23 (Thu) 12:00:00,153.99
29-Jun-23 (Thu) 12:30:00,153.73
29-Jun-23 (Thu) 13:00:00,158.87
29-Jun-23 (Thu) 13:30:00,153.76
29-Jun-23 (Thu) 14:00:00,152.03
29-Jun-23 (Thu) 14:30:00,151.8
29-Jun-23 (Thu) 15:00:00,149.62
29-Jun-23 (Thu) 15:30:00,152.08
29-Jun-23 (Thu) 16:00:00,149.12
29-Jun-23 (Thu) 16:30:00,152.05
29-Jun-23 (Thu) 17:00:00,151.73
29-Jun-23 (Thu) 17:30:00,152.95
29-Jun-23 (Thu) 18:00:00,154.0
29-Jun-23 (Thu) 18:30:00,152.68
29-Jun-23 (Thu) 19:00:00,161.48
29-Jun-23 (Thu) 19:30:00,161.37
29-Jun-23 (Thu) 20:00:00,157.17
29-Jun-23 (Thu) 20:30:00,147.22
29-Jun-23 (Thu) 21:00:00,144.65
29-Jun-23 (Thu) 21:30:00,143.82
29-Jun-23 (Thu) 22:00:00,139.25
29-Jun-23 (Thu) 22:30:00,117.91
29-Jun-23 (Thu) 23:00:00,115.51
29-Jun-23 (Thu) 23:30:00,99.68
30-Jun-23 (Fri) 00:00:00,96.56
30-Jun-23 (Fri) 00:30:00,92.51
30-Jun-23 (Fri) 01:00:00,88.22
30-Jun-23 (Fri) 01:30:00,88.61
30-Jun-23 (Fri) 02:00:00,82.09
30-Jun-23 (Fri) 02:30:00,77.27
30-Jun-23 (Fri) 03:00:00,77.47
30-Jun-23 (Fri) 03:30:00,75.32
30-Jun-23 (Fri) 04:00:00,75.31
30-Jun-23 (Fri) 04:30:00,77.86
30-Jun-23 (Fri) 05:00:00,75.52
30-Jun-23 (Fri) 05:30:00,77.48
30-Jun-23 (Fri) 06:00:00,90.77
30-Jun-23 (Fri) 06:30:00,95.44
30-Jun-23 (Fri) 07:00:00,108.91
30-Jun-23 (Fri) 07:30:00,114.98
30-Jun-23 (Fri) 08:00:00,126.6
30-Jun-23 (Fri) 08:30:00,133.47
30-Jun-23 (Fri) 09:00:00,142.75
30-Jun-23 (Fri) 09:30:00,141.98
30-Jun-23 (Fri) 10:00:00,
30-Jun-23 (Fri) 10:30:00,150.72
30-Jun-23 (Fri) 11:00:00,155.11
30-Jun-23 (Fri) 11:30:00,158.01
30-Jun-23 (Fri) 12:00:00,155.9
30-Jun-23 (Fri) 12:30:00,148.5
30-Jun-23 (Fri) 13:00:00,147.07
30-Jun-23 (Fri) 13:30:00,154.92
30-Jun-23 (Fri) 14:00:00,154.73
30-Jun-23 (Fri) 14:30:00,152.94
30-Jun-23 (Fri) 15:00:00,153.7
30-Jun-23 (Fri) 15:30:00,149.14
30-Jun-23 (Fri) 16:00:00,149.79
30-Jun-23 (Fri) 16:30:00,154.21
30-Jun-23 (Fri) 17:00:00,152.74
30-Jun-23 (Fri) 17:30:00,152.2
30-Jun-23 (Fri) 18:00:00,153.62
30-Jun-23 (Fri) 18:30:00,153.24
30-Jun-23 (Fri) 19:00:00,157.1
30-Jun-23 (Fri) 19:30:00,153.28
30-Jun-23 (Fri) 20:00:00,152.08
30-Jun-23 (Fri) 20:30:00,150.59
30-Jun-23 (Fri) 21:00:00,145.92
30-Jun-23 (Fri) 21:30:00,148.21
30-Jun-23 (Fri) 22:00:00,138.37
30-Jun-23 (Fri) 22:30:00,127.1
30-Jun-23 (Fri) 23:00:00,122.01
30-Jun-23 (Fri) 23:30:00,101.87
01-Jul-23 (Sat) 00:00:00,95.76
01-Jul-23 (Sat) 00:30:00,93.1
01-Jul-23 (Sat) 01:00:00,90.98
01-Jul-23 (Sat) 01:30:00,88.61
01-Jul-23 (Sat) 02:00:00,86.27
01-Jul-23 (Sat) 02:30:00,81.38
01-Jul-23 (Sat) 03:00:00,77.21
01-Jul-23 (Sat) 03:30:00,77.18
01-Jul-23 (Sat) 04:00:00,79.11
01-Jul-23 (Sat) 04:30:00,76.21
01-Jul-23 (Sat) 05:00:00,76.39
01-Jul-23 (Sat) 05:30:00,81.0
01-Jul-23 (Sat) 06:00:00,87.25
01-Jul-23 (Sat) 06:30:00,91.23
01-Jul-23 (Sat) 07:00:00,111.28
01-Jul-23 (Sat) 07:30:00,113.95
01-Jul-23 (Sat) 08:00:00,117.59
01-Jul-23 (Sat) 08:30:00,122.18
01-Jul-23 (Sat) 09:00:00,132.05
01-Jul-23 (Sat) 09:30:00,131.26
01-Jul-23 (Sat) 10:00:00,134.15
01-Jul-23 (Sat) 10:30:00,141.95
01-Jul-23 (Sat) 11:00:00,140.71
01-Jul-23 (Sat) 11:30:00,139.93
01-Jul-23 (Sat) 12:00:00,138.74
01-Jul-23 (Sat) 12:30:00,135.05
01-Jul-23 (Sat) 13:00:00,137.33
01-Jul-23 (Sat) 13:30:00,135.41
01-Jul-23 (Sat) 14:00:00,134.46
01-Jul-23 (Sat) 14:30:00,132.6
01-Jul-23 (Sat) 15:00:00,136.48
01-Jul-23 (Sat) 15:30:00,132.18
01-Jul-23 (Sat) 16:00:00,133.24
01-Jul-23 (Sat) 16:30:00,132.97
01-Jul-23 (Sat) 17:00:00,134.29
01-Jul-23 (Sat) 17:30:00,136.85
01-Jul-23 (Sat) 18:00:00,136.62
01-Jul-23 (Sat) 18:30:00,137.41
01-Jul-23 (Sat) 19:00:00,142.95
01-Jul-23 (Sat) 19:30:00,143.98
01-Jul-23 (Sat) 20:00:00,141.71
01-Jul-23 (Sat) 20:30:00,136.66
01-Jul-23 (Sat) 21:00:00,135.31
01-Jul-23 (Sat) 21:30:00,137.35
01-Jul-23 (Sat) 22:00:00,128.27
01-Jul-23 (Sat) 22:30:00,110.7
01-Jul-23 (Sat) 23:00:00,111.07
01-Jul-23 (Sat) 23:30:00,96.96
02-Jul-23 (Sun) 00:00:00,91.85
02-Jul-23 (Sun) 00:30:00,87.04
02-Jul-23 (Sun) 01:00:00,83.07
02-Jul-23 (Sun) 01:30:00,80.41
02-Jul-23 (Sun) 02:00:00,80.4
02-Jul-23 (Sun) 02:30:00,76.23
02-Jul-23 (Sun) 03:00:00,71.35
02-Jul-23 (Sun) 03:30:00,71.61
02-Jul-23 (Sun) 04:00:00,70.35
02-Jul-23 (Sun) 04:30:00,72.98
02-Jul-23 (Sun) 05:00:00,72.98
02-Jul-23 (Sun) 05:30:00,72.59
02-Jul-23 (Sun) 06:00:00,86.59
02-Jul-23 (Sun) 06:30:00,92.48
02-Jul-23 (Sun) 07:00:00,104.65
02-Jul-23 (Sun) 07:30:00,110.99
02-Jul-23 (Sun) 08:00:00,110.28
02-Jul-23 (Sun) 08:30:00,114.02
02-Jul-23 (Sun) 09:00:00,132.46
02-Jul-23 (Sun) 09:30:00,130.92
02-Jul-23 (Sun) 10:00:00,
02-Jul-23 (Sun) 10:30:00,135.39
02-Jul-23 (Sun) 11:00:00,142.17
02-Jul-23 (Sun) 11:30:00,141.93
02-Jul-23 (Sun) 12:00:00,138.37
02-Jul-23 (Sun) 12:30:00,141.69
02-Jul-23 (Sun) 13:00:00,143.98
02-Jul-23 (Sun) 13:30:00,141.27
02-Jul-23 (Sun) 14:00:00,137.53
02-Jul-23 (Sun) 14:30:00,137.12
02-Jul-23 (Sun) 15:00:00,136.0
02-Jul-23 (Sun) 15:30:00,137.02
02-Jul-23 (Sun) 16:00:00,134.12
02-Jul-23 (Sun) 16:30:00,133.87
02-Jul-23 (Sun) 17:00:00,133.88
02-Jul-23 (Sun) 17:30:00,137.12
02-Jul-23 (Sun) 18:00:00,143.43
02-Jul-23 (Sun) 18:30:00,144.85
02-Jul-23 (Sun) 19:00:00,145.36
02-Jul-23 (Sun) 19:30:00,142.32
02-Jul-23 (Sun) 20:00:00,139.87
02-Jul-23 (Sun) 20:30:00,138.07
02-Jul-23 (Sun) 21:00:00,131.49
02-Jul-23 (Sun) 21:30:00,135.12
02-Jul-23 (Sun) 22:00:00,124.11
02-Jul-23 (Sun) 22:30:00,110.34
02-Jul-23 (Sun) 23:00:00,102.19
02-Jul-23 (Sun) 23:30:00,91.17
03-Jul-23 (Mon) 00:00:00,87.26
03-Jul-23 (Mon) 00:30:00,79.16
03-Jul-23 (Mon) 01:00:00,78.24
03-Jul-23 (Mon) 01:30:00,76.23
03-Jul-23 (Mon) 02:00:00,72.6
03-Jul-23 (Mon) 02:30:00,68.42
03-Jul-23 (Mon) 03:00:00,65.76
03-Jul-23 (Mon) 03:30:00,65.76
03-Jul-23 (Mon) 04:00:00,66.45
03-Jul-23 (Mon) 04:30:00,66.73
03-Jul-23 (Mon) 05:00:00,69.88
03-Jul-23 (Mon) 05:30:00,72.01
03-Jul-23 (Mon) 06:00:00,81.98
03-Jul-23 (Mon) 06:30:00,86.63
03-Jul-23 (Mon) 07:00:00,105.12
03-Jul-23 (Mon) 07:30:00,112.01
03-Jul-23 (Mon) 08:00:00,118.58
03-Jul-23 (Mon) 08:30:00,126.31
03-Jul-23 (Mon) 09:00:00,142.56
03-Jul-23 (Mon) 09:30:00,147.13
03-Jul-23 (Mon) 10:00:00,149.01
03-Jul-23 (Mon) 10:30:00,150.74
03-Jul-23 (Mon) 11:00:00,154.92
03-Jul-23 (Mon) 11:30:00,151.91
03-Jul-23 (Mon) 12:00:00,153.66
03-Jul-23 (Mon) 12:30:00,154.04
03-Jul-23 (Mon) 13:00:00,148.82
03-Jul-23 (Mon) 13:30:00,150.04
03-Jul-23 (Mon) 14:00:00,150.33
03-Jul-23 (Mon) 14:30:00,148.56
03-Jul-23 (Mon) 15:00:00,147.86
03-Jul-23 (Mon) 15:30:00,149.76
03-Jul-23 (Mon) 16:00:00,147.65
03-Jul-23 (Mon) 16:30:00,145.27
03-Jul-23 (Mon) 17:00:00,146.13
03-Jul-23 (Mon) 17:30:00,149.14
03-Jul-23 (Mon) 18:00:00,151.7
03-Jul-23 (Mon) 18:30:00,150.07
03-Jul-23 (Mon) 19:00:00,156.12
03-Jul-23 (Mon) 19:30:00,152.27
03-Jul-23 (Mon) 20:00:00,152.34
03-Jul-23 (Mon) 20:30:00,146.69
03-Jul-23 (Mon) 21:00:00,146.11
03-Jul-23 (Mon) 21:30:00,144.95
03-Jul-23 (Mon) 22:00:00,134.42
03-Jul-23 (Mon) 22:30:00,115.36
03-Jul-23 (Mon) 23:00:00,108.02
03-Jul-23 (Mon) 23:30:00,95.83
04-Jul-23 (Tue) 00:00:00,91.24
04-Jul-23 (Tue) 00:30:00,85.3
04-Jul-23 (Tue) 01:00:00,83.33
04-Jul-23 (Tue) 01:30:00,79.16
04-Jul-23 (Tue) 02:00:00,76.5
04-Jul-23 (Tue) 02:30:00,74.34
04-Jul-23 (Tue) 03:00:00,72.59
04-Jul-23 (Tue) 03:30:00,70.58
04-Jul-23 (Tue) 04:00:00,68.48
04-Jul-23 (Tue) 04:30:00,71.03
04-Jul-23 (Tue) 05:00:00,70.35
04-Jul-23 (Tue) 05:30:00,70.38
04-Jul-23 (Tue) 06:00:00,85.94
04-Jul-23 (Tue) 06:30:00,91.45
04-Jul-23 (Tue) 07:00:00,105.87
04-Jul-23 (Tue) 07:30:00,113.52
04-Jul-23 (Tue) 08:00:00,119.89
04-Jul-23 (Tue) 08:30:00,130.13
04-Jul-23 (Tue) 09:00:00,141.64
04-Jul-23 (Tue) 09:30:00,151.11
04-Jul-23 (Tue) 10:00:00,146.26
04-Jul-23 (Tue) 10:30:00,150.5
04-Jul-23 (Tue) 11:00:00,155.57
04-Jul-23 (Tue) 11:30:00,157.85
04-Jul-23 (Tue) 12:00:00,155.47
04-Jul-23 (Tue) 12:30:00,158.51
04-Jul-23 (Tue) 13:00:00,156.94
04-Jul-23 (Tue) 13:30:00,159.37
04-Jul-23 (Tue) 14:00:00,157.14
04-Jul-23 (Tue) 14:30:00,152.7
04-Jul-23 (Tue) 15:00:00,139.39
04-Jul-23 (Tue) 15:30:00,144.15
04-Jul-23 (Tue) 16:00:00,142.07
04-Jul-23 (Tue) 16:30:00,146.08
04-Jul-23 (Tue) 17:00:00,147.33
04-Jul-23 (Tue) 17:30:00,148.08
04-Jul-23 (Tue) 18:00:00,152.78
04-Jul-23 (Tue) 18:30:00,152.51
04-Jul-23 (Tue) 19:00:00,159.63
04-Jul-23 (Tue) 19:30:00,155.38
04-Jul-23 (Tue) 20:00:00,153.33
04-Jul-23 (Tue) 20:30:00,151.99
04-Jul-23 (Tue) 21:00:00,146.02
04-Jul-23 (Tue) 21:30:00,148.36
04-Jul-23 (Tue) 22:00:00,135.12
04-Jul-23 (Tue) 22:30:00,122.57
04-Jul-23 (Tue) 23:00:00,116.81
04-Jul-23 (Tue) 23:30:00,105.39
05-Jul-23 (Wed) 00:00:00,93.84
05-Jul-23 (Wed) 00:30:00,89.01
05-Jul-23 (Wed) 01:00:00,84.31
05-Jul-23 (Wed) 01:30:00,82.09
05-Jul-23 (Wed) 02:00:00,80.12
05-Jul-23 (Wed) 02:30:00,75.32
05-Jul-23 (Wed) 03:00:00,75.46
05-Jul-23 (Wed) 03:30:00,73.57
05-Jul-23 (Wed) 04:00:00,75.91
05-Jul-23 (Wed) 04:30:00,73.57
05-Jul-23 (Wed) 05:00:00,74.25
05-Jul-23 (Wed) 05:30:00,74.34
05-Jul-23 (Wed) 06:00:00,85.64
05-Jul-23 (Wed) 06:30:00,92.25
05-Jul-23 (Wed) 07:00:00,108.09
05-Jul-23 (Wed) 07:30:00,116.66
05-Jul-23 (Wed) 08:00:00,126.64
05-Jul-23 (Wed) 08:30:00,132.67
05-Jul-23 (Wed) 09:00:00,146.31
05-Jul-23 (Wed) 09:30:00,147.79
05-Jul-23 (Wed) 10:00:00,154.72
05-Jul-23 (Wed) 10:30:00,154.73
05-Jul-23 (Wed) 11:00:00,156.66
05-Jul-23 (Wed) 11:30:00,158.63
05-Jul-23 (Wed) 12:00:00,157.85
05-Jul-23 (Wed) 12:30:00,158.15
05-Jul-23 (Wed) 13:00:00,155.63
05-Jul-23 (Wed) 13:30:00,161.45
05-Jul-23 (Wed) 14:00:00,160.79
05-Jul-23 (Wed) 14:30:00,159.9
05-Jul-23 (Wed) 15:00:00,157.64
05-Jul-23 (Wed) 15:30:00,156.67
05-Jul-23 (Wed) 16:00:00,155.38
05-Jul-23 (Wed) 16:30:00,155.76
05-Jul-23 (Wed) 17:00:00,153.93
05-Jul-23 (Wed) 17:30:00,160.28
